0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,1048.37,1169.23,-796.65,-255.21,0.00,0.00,117.37,110.11,227.48
Mar 05,1361.36,1050.46,-868.44,-322.80,0.00,0.00,-140.78,227.48,86.70
Mar 06,1201.90,1282.26,-881.51,-331.87,0.00,0.00,68.88,86.70,155.58
Mar 07,2189.26,1732.67,-2131.23,359.36,0.00,0.00,-39.20,155.58,116.38
Mar 08,2964.22,2091.03,-2128.52,48.61,0.00,0.00,11.12,116.35,127.47
Mar 09,2247.84,1953.15,-1781.77,-185.47,0.00,0.00,-14.09,127.47,113.38
Mar 10,2500.78,2023.55,-1217.78,-686.98,0.00,0.00,118.79,-102.87,15.92
Mar 11,1594.70,1006.94,-433.27,-574.94,0.00,0.00,-1.27,15.92,14.65
Mar 12,1541.79,791.21,-467.96,-326.88,0.00,0.00,-3.63,14.65,11.02
Mar 13,1528.88,848.57,-1156.98,313.66,0.00,0.00,5.25,11.02,16.27
Mar 14,984.99,62.28,221.49,-273.74,0.00,0.00,10.03,16.27,26.30
Mar 15,684.92,449.64,25.47,-448.22,0.00,0.00,26.89,26.30,53.19
Mar 16,1236.74,1328.21,-686.27,-663.06,0.00,4.03,-17.09,53.19,36.10
Mar 17,2124.94,2259.32,-844.04,-1403.75,0.00,0.00,11.53,23.06,34.59
Mar 18,2513.14,2355.52,-1924.73,-451.23,0.00,11.93,-8.51,34.58,26.07
Mar 19,1311.69,2555.50,-2263.06,-298.97,0.00,0.00,-6.53,26.07,19.54
Mar 20,1291.63,3315.03,-4459.97,993.24,0.00,0.00,-151.70,202.73,51.03
Mar 21,932.89,2397.35,-2207.88,-1512.03,0.00,0.00,-1322.56,1391.78,69.22
Mar 22,2881.16,2656.24,-3485.71,-776.60,0.00,0.00,-1606.07,1658.76,52.69
Mar 23,2645.24,2318.83,-2190.23,-164.81,0.00,0.00,-36.21,52.69,16.48
Mar 24,1201.56,1777.59,-5586.25,3840.35,0.00,0.00,31.69,16.48,48.17
