0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Jun 04,339.53,598.16,-391.35,-171.35,0.20,0.00,35.26,37.12,72.78
Jun 05,338.93,265.74,239.51,-493.71,0.00,0.00,11.54,72.99,84.53
Jun 06,653.83,774.04,-133.33,-641.79,0.00,0.00,-1.08,107.30,106.22
Jun 07,1177.69,997.93,-341.46,-381.57,0.18,0.00,274.90,106.22,380.94
Jun 08,875.25,1056.84,-148.53,-602.26,0.11,0.00,305.94,380.94,686.88
Jun 09,1193.92,587.94,306.83,-215.82,0.00,0.00,678.95,686.88,1365.83
Jun 10,1152.82,739.26,-1399.11,583.38,-2.69,0.00,-79.16,144.00,64.84
Jun 11,1289.88,1519.39,-535.03,-882.58,1.08,0.00,102.86,64.84,167.70
Jun 12,2360.74,2160.10,-1342.76,-837.12,-13.23,0.00,-33.01,167.70,134.69
Jun 13,4451.20,4170.15,-2985.48,-1175.37,-9.78,21.60,21.12,134.69,155.81
Jun 14,7397.66,6147.22,-4655.54,-1397.67,-9.09,0.00,84.92,155.81,240.73
Jun 15,7698.54,5335.67,-1763.04,-3360.21,-20.42,0.00,192.00,240.73,432.73
Mar 16,5781.55,3154.30,-770.52,-2698.98,7.64,0.00,-307.56,432.73,125.17
Mar 17,8276.00,6995.00,-2643.00,-4112.00,-13.00,0.00,227.00,125.00,352.00
Mar 18,9125.00,6339.00,-973.00,-5547.00,39.00,0.00,-142.00,352.00,210.00
Mar 19,9931.00,8676.00,995.00,-5335.00,-23.00,0.00,4313.00,210.00,4523.00
Mar 20,11177.00,9855.00,-11091.00,-1988.00,-8.00,0.00,-3232.00,4523.00,1291.00
Mar 21,12410.00,15765.00,-4548.00,-9649.00,14.00,0.00,1582.00,1294.00,2876.00
Mar 22,13268.00,10591.00,2232.00,-12775.00,-17.00,0.00,31.00,2876.00,2907.00
Mar 23,14716.00,13538.00,-798.00,-13267.00,-6.00,0.00,-533.00,2907.00,2374.00
Mar 24,15456.00,15282.00,-2331.00,-14480.00,-8.00,0.00,-1537.00,2374.00,837.00
