0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 11,9041.94,4130.41,-3213.56,192.32,0.00,0.00,1109.17,1486.99,2596.16
Mar 12,10165.30,5606.85,-5144.90,0.00,0.00,0.00,461.96,2596.16,3058.12
Mar 13,11447.06,5525.98,-4960.15,0.00,0.00,0.00,565.82,1226.43,1792.25
Mar 14,12078.73,5415.38,-5504.63,-116.69,0.00,0.00,-205.95,1792.25,1586.30
Mar 20,33575.15,7360.98,-7772.69,37.97,0.00,0.00,-373.74,6148.73,5774.98
Mar 21,39610.64,9703.05,-8995.29,678.29,0.00,0.00,1386.05,5774.98,7161.03
Mar 22,47371.96,5540.01,-1401.66,-237.90,0.00,0.00,3900.45,7161.03,11061.47
Mar 23,59608.98,6881.61,-10072.42,1984.71,0.00,0.00,-1206.10,12004.38,10798.28
Mar 24,64775.05,10725.18,-13631.77,-403.38,0.00,0.00,-3309.98,10798.28,7488.31
