0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,1072.46,972.93,-376.38,-583.63,0.00,0.00,12.92,24.33,37.25
Mar 05,1217.25,746.83,-562.85,-203.51,0.00,0.00,-19.53,37.12,17.59
Mar 06,1412.24,936.08,-323.49,-471.23,0.00,0.00,141.36,17.60,158.96
Mar 07,1246.10,625.05,-273.13,-474.34,0.00,0.00,-122.42,158.72,36.30
Mar 08,1410.28,1211.78,-781.01,-432.33,0.00,0.00,-1.56,16.66,15.10
Mar 09,1781.46,1359.03,-861.19,-499.93,0.00,0.00,-2.09,15.19,13.10
Mar 10,2831.73,2686.64,-527.63,-2109.31,0.00,0.00,49.70,13.45,63.15
Mar 11,2404.76,2254.16,-1322.31,-955.23,0.00,0.00,-23.38,62.61,39.23
Mar 12,2864.71,2359.78,92.79,-2458.16,0.00,0.00,-5.59,39.32,33.73
Mar 13,2529.20,1890.43,-732.94,-1056.27,0.00,0.00,101.22,33.73,134.95
Mar 14,2867.25,2963.41,-1619.32,-1414.93,0.00,2.30,-68.54,134.95,66.41
Mar 15,3328.82,2250.00,12.08,-2230.52,0.00,0.00,31.56,66.41,97.97
Mar 16,4394.58,3913.79,-2271.34,-1683.95,0.00,0.00,-41.50,97.97,56.47
Mar 17,3377.12,4028.02,-1943.94,-2095.63,0.00,0.00,-11.55,26.95,15.40
Mar 18,3697.36,3980.86,-1915.22,-2046.66,0.00,0.00,18.98,15.40,34.38
Mar 19,3384.87,979.05,1321.23,-2293.98,0.00,0.00,6.30,34.38,40.68
Mar 20,3633.26,5410.10,-2883.10,-2419.77,0.00,0.00,107.23,40.68,147.91
Mar 21,2964.20,4172.70,-2209.90,-1941.49,0.00,0.00,21.31,147.91,169.22
Mar 22,2473.02,2020.27,-151.94,-1938.87,0.00,0.00,-70.54,169.22,98.68
Mar 23,2910.58,2579.08,-468.81,-2040.58,0.00,0.00,69.69,98.68,168.37
Mar 24,3967.96,4906.53,-1801.88,-2733.13,0.00,0.00,371.52,168.37,539.89
