0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,1245.67,1113.33,-1165.93,-99.77,0.00,0.00,-152.38,465.71,313.33
Mar 05,1913.29,1760.93,-2008.95,396.12,0.00,0.00,148.11,291.68,439.78
Mar 06,2102.68,708.34,-1324.97,1128.78,0.00,0.00,512.15,439.78,951.93
Mar 07,3504.63,3336.56,-5636.32,1989.04,0.00,0.00,-310.72,951.93,641.21
Mar 08,3025.61,2139.84,-5362.50,2719.88,0.00,0.00,-502.77,642.15,139.38
Mar 09,2690.32,3170.39,-5773.42,3298.83,0.00,0.00,695.80,139.38,835.18
Mar 10,2264.56,1717.28,-4074.59,1653.97,0.00,0.00,-703.34,835.18,131.84
Mar 11,2594.74,2257.37,-2164.03,-0.22,0.00,0.00,93.12,131.84,224.96
Mar 12,2736.95,2122.07,-6366.96,4733.56,0.00,0.00,488.67,224.96,713.63
Mar 13,2046.63,-352.34,-8242.07,8086.16,0.00,0.00,-508.25,713.63,205.38
Mar 14,1685.38,2031.37,-3403.05,1601.19,0.00,0.00,229.51,205.38,434.89
Mar 15,1246.91,1029.27,-318.13,-842.46,0.00,0.00,-131.32,434.89,303.57
Mar 16,652.83,3640.66,-1050.47,-2930.97,0.00,0.00,-340.78,563.20,222.42
Mar 17,2153.24,5897.60,-1240.53,-583.54,0.00,0.00,4073.53,233.89,4307.42
Mar 18,2228.82,4414.39,2282.65,-9187.57,4.02,0.00,-2486.51,4295.96,1809.45
Mar 19,1810.44,2918.36,-554.05,-2657.20,2.13,0.00,-290.76,1805.44,1514.68
Mar 20,952.00,2786.00,-2244.00,1181.00,0.00,0.00,1723.00,1508.00,3231.00
Mar 21,1574.00,5564.00,-3486.00,-4306.00,0.00,0.00,-2228.00,3231.00,1003.00
Mar 22,8457.00,5208.00,-1937.00,-869.00,0.00,0.00,2402.00,1003.00,3405.00
Mar 23,4875.00,4836.00,-1481.00,-6290.00,0.00,0.00,-2935.00,3405.00,470.00
Mar 24,4995.00,8112.00,312.00,-8036.00,0.00,0.00,388.00,470.00,858.00
