0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Dec 04,1505.32,1301.60,315.04,-1725.06,0.00,0.00,-108.42,806.46,698.05
Dec 05,1604.47,2018.13,386.16,-2748.25,0.00,0.00,-343.96,698.99,355.03
Dec 06,1861.68,1594.82,-197.95,-1344.73,0.00,0.00,52.15,364.79,416.94
Dec 07,2184.53,1680.11,1023.76,-2921.34,0.00,0.00,-217.47,418.33,200.86
Mar 09,3025.12,2028.65,878.19,-1330.36,0.00,0.00,1576.49,200.86,1777.35
Mar 10,2707.07,3432.37,-1137.46,-2180.32,0.00,0.00,114.59,1777.62,1892.21
Mar 11,2730.20,1891.78,-294.02,-2276.08,0.00,0.00,-678.32,906.47,228.15
Mar 12,3350.16,2869.56,-452.45,-1722.32,0.00,0.00,694.79,228.15,922.94
Mar 13,4349.48,3529.58,34.33,-4160.44,0.00,0.00,-596.53,922.94,326.41
Mar 14,4799.71,3724.15,-513.16,-2916.79,0.00,0.00,294.20,326.41,620.61
Mar 15,5523.12,3103.76,448.04,-3450.44,0.00,0.00,101.36,620.61,721.97
Mar 16,5977.00,3974.00,-51.00,-4008.00,0.00,0.00,-85.00,720.00,635.00
Mar 17,6155.00,4953.00,-752.00,-4264.00,0.00,0.00,-63.00,635.00,572.00
Mar 18,7347.00,5916.00,-1264.00,-4651.00,0.00,0.00,1.00,572.00,573.00
Mar 19,8522.00,5728.00,-264.00,-5462.00,0.00,0.00,2.00,573.00,575.00
Mar 20,9092.00,7305.00,1926.00,-6676.00,0.00,0.00,2555.00,575.00,3130.00
Mar 21,10490.00,8957.00,-1367.00,-9280.00,0.00,0.00,-1690.00,3430.00,1740.00
Mar 22,11739.00,8964.00,-1732.00,-7984.00,0.00,0.00,-752.00,1740.00,988.00
Mar 23,13079.00,9626.00,-1062.00,-8966.00,0.00,0.00,-402.00,988.00,586.00
Mar 24,13675.00,14884.00,-4971.00,-9890.00,0.00,0.00,23.00,586.00,609.00
