0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,1470.47,1633.97,-1332.01,-94.48,-6.59,0.00,200.89,1638.51,1839.40
Mar 05,2184.49,1359.70,-939.88,-580.10,3.96,0.00,-156.32,1839.40,1683.08
Mar 06,2724.00,2237.00,-392.00,244.00,7.00,0.00,2096.00,1683.00,3779.00
Mar 07,4129.00,3256.00,-1065.00,-316.00,-0.04,0.00,1871.00,3779.00,5650.00
Mar 08,5100.00,3816.00,-978.00,-777.00,18.00,0.00,2079.00,5610.00,7689.00
Mar 09,6714.00,5152.00,-195.00,-2430.00,0.73,0.00,2600.00,7689.00,10289.00
Mar 10,7472.00,5876.00,-3314.00,-1486.00,-68.00,0.00,1008.00,10289.00,11297.00
Mar 11,8821.00,4270.00,3235.00,-3642.00,5.00,0.00,3868.00,11297.00,15165.00
Mar 12,11096.00,5955.00,565.00,-2298.00,60.00,110.00,4392.00,15165.00,19557.00
Mar 13,12274.00,6942.00,-2824.00,-3319.00,45.00,0.00,844.00,19557.00,20401.00
Mar 14,14002.00,9148.00,-2307.00,-3177.00,34.00,0.00,3698.00,20402.00,24100.00
Mar 15,16798.00,7955.00,665.00,-4961.00,-37.00,0.00,3622.00,24100.00,27722.00
Mar 16,12693.00,9578.00,-1207.00,-6908.00,-9.00,0.00,1454.00,27722.00,29176.00
Mar 17,13818.00,10478.00,-13494.00,-6968.00,-39.00,0.00,-10023.00,29176.00,19153.00
Mar 18,16155.00,12475.00,5684.00,-20536.00,-6.00,0.00,-2383.00,19153.00,16770.00
Mar 19,14702.00,13989.00,-587.00,-14571.00,-50.00,0.00,-1219.00,16770.00,15551.00
Mar 20,15543.00,15572.00,-116.00,-17391.00,-54.00,0.00,-1989.00,15551.00,13562.00
Mar 21,18048.00,19902.00,-6309.00,-9566.00,23.00,0.00,4050.00,13562.00,17612.00
Mar 22,21235.00,22096.00,-3150.00,-24275.00,-13.00,0.00,-5342.00,17612.00,12270.00
Mar 23,23268.00,19169.00,821.00,-25857.00,131.00,0.00,-5736.00,12270.00,6534.00
Mar 24,27234.00,20787.00,-3261.00,-15825.00,-44.00,0.00,1657.00,6534.00,8191.00
