0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,2319.06,1893.27,-1791.29,-446.64,0.00,0.00,-344.66,378.66,34.00
Mar 05,2673.07,1851.20,-1438.95,-417.09,0.00,0.00,-4.84,60.50,55.66
Mar 06,3269.19,1929.68,-175.31,-954.21,0.00,0.00,800.16,55.66,855.82
Mar 07,3926.70,2141.19,-1082.78,-1014.07,0.00,0.00,44.34,855.82,900.16
Mar 08,4571.77,2722.96,-1736.78,-1316.09,0.00,0.00,-329.91,900.16,570.25
Mar 09,4825.74,3279.03,-1260.74,-1556.15,0.00,0.00,462.14,570.25,1032.39
Mar 10,6015.31,4630.65,-3531.56,-1009.86,0.00,0.00,89.23,993.70,1082.93
Mar 11,7268.16,5332.69,-684.67,-3551.64,0.00,0.00,1096.38,1082.54,2178.92
Mar 12,8897.53,6015.59,-2210.19,-3246.55,0.00,0.00,558.85,2178.92,2737.77
Mar 13,10684.18,6709.89,-3580.78,-3232.55,0.00,0.00,-103.44,259.34,155.90
Mar 14,12659.11,6962.30,-2823.29,-4173.85,0.00,0.00,-34.84,155.90,121.06
Mar 15,13997.52,9308.87,-4822.57,-4573.61,0.00,2.54,-84.77,121.06,36.29
Mar 16,14958.39,9251.35,-3750.33,-5461.52,0.00,0.00,39.50,36.29,75.79
Mar 17,15502.96,10002.02,-2780.33,-7137.62,0.00,0.00,84.07,72.19,156.26
Mar 18,16851.70,12650.85,-6691.24,-6019.85,0.00,0.00,-60.24,156.26,96.02
Mar 19,18444.16,11749.05,-5081.75,-6600.57,0.00,0.00,66.73,96.02,162.75
Mar 20,19166.81,13806.18,-5516.71,-7890.87,0.00,0.00,398.60,162.75,561.35
Mar 21,17164.15,11493.95,6497.89,-18378.89,0.00,56.95,-330.10,561.35,231.25
Mar 22,19829.53,14807.79,-1517.06,-13337.03,0.00,0.00,-46.30,231.28,184.98
Mar 23,24750.41,17911.70,-5159.37,-12730.43,0.00,0.00,21.90,184.98,206.88
Mar 24,26315.77,16118.23,2127.55,-18255.03,0.00,0.00,-9.25,206.88,197.63
