0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,299.40,890.67,-91.28,-767.09,0.00,0.00,32.30,9.01,41.31
Mar 05,1475.94,1998.40,-409.52,-1594.59,0.00,0.00,-5.71,45.69,39.98
Mar 06,1301.14,1574.96,-1304.11,-265.00,0.00,0.00,5.85,43.23,49.08
Mar 07,1915.18,2822.26,-2244.55,-384.39,0.00,0.00,193.32,49.08,242.40
Mar 08,2484.12,3552.70,-5636.36,2124.93,0.00,0.00,41.27,265.55,306.82
Mar 09,677.63,4056.12,-5834.86,1848.53,0.00,0.00,69.79,306.82,376.61
Mar 10,2819.65,3297.76,-3147.78,-261.78,0.00,0.00,-111.80,376.61,264.81
Mar 11,2778.53,2042.98,-7160.31,5279.39,0.00,0.00,162.06,264.81,426.87
Mar 12,2094.56,2139.32,-3928.13,1967.60,0.00,0.00,178.79,426.87,605.66
Mar 13,2504.12,3924.66,-4451.23,123.98,0.00,0.00,-402.59,605.66,203.07
Mar 14,1955.33,5274.18,-4737.54,-366.37,0.00,50.16,220.43,203.07,423.50
Mar 15,3248.92,6360.48,-4168.95,-1805.37,0.00,0.00,386.16,423.50,809.66
Mar 16,-5239.27,5669.49,-5032.77,-981.53,0.00,0.00,-344.81,809.90,465.09
Mar 17,5131.00,8561.00,-6284.00,-2030.00,0.00,0.00,247.00,465.00,712.00
Mar 18,7075.00,12174.00,-6134.00,-6301.00,0.00,0.00,-261.00,712.00,451.00
Mar 19,11707.00,15578.00,-11432.00,725.00,0.00,0.00,4871.00,495.00,5366.00
Mar 20,4292.00,14110.00,-19092.00,3054.00,0.00,0.00,-1928.00,5366.00,3438.00
Mar 21,12196.00,17733.00,-2609.00,-7441.00,0.00,0.00,7683.00,3438.00,11121.00
Mar 22,24715.00,23335.00,-17652.00,-9134.00,0.00,0.00,-3451.00,11121.00,7670.00
Mar 23,6968.00,20444.00,-7361.00,-7085.00,0.00,0.00,5998.00,7670.00,13668.00
Mar 24,12102.00,5449.00,-8729.00,-5477.00,0.00,42.00,-8715.00,13668.00,4953.00
