0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,768.83,330.41,200.21,-475.79,0.00,0.00,54.83,320.44,375.27
Mar 05,1286.14,112.01,236.28,104.46,0.00,0.00,452.75,375.27,828.02
Mar 06,1383.40,1369.25,-1326.30,-287.77,0.00,0.00,-244.82,828.02,583.20
Mar 07,2004.89,2130.45,-1588.17,-31.05,0.00,0.00,511.23,583.20,1094.43
Mar 08,3155.47,1945.24,-5241.89,3166.68,0.00,0.00,-129.97,1094.43,964.46
Mar 09,3940.41,1478.57,-3308.53,1640.79,0.00,0.00,-189.17,964.46,775.29
Mar 10,5880.67,5482.75,-6071.73,1245.56,0.00,0.00,656.58,775.29,1431.87
Mar 11,5568.56,3833.30,-2409.98,-1124.84,0.00,0.00,298.48,1431.87,1730.35
Mar 12,6255.33,1081.58,-1922.28,1015.61,0.00,0.00,174.91,1730.35,1905.26
Mar 13,6457.09,2114.75,464.93,-2990.26,0.00,0.00,-410.58,1905.26,1494.68
Mar 14,6679.41,1047.24,-1214.32,504.05,0.00,0.00,336.97,1457.15,1794.12
Mar 15,6344.06,3143.13,-1909.24,-1436.55,0.00,0.00,-202.66,1794.12,1591.46
Mar 16,6128.83,3255.72,-522.06,-2567.21,0.00,0.00,166.45,1591.46,1757.91
Mar 17,5863.87,5979.69,-46.44,-6073.16,0.00,0.00,-139.91,2078.06,1938.15
Mar 18,6831.85,2951.81,1787.06,-3489.36,0.00,0.00,1249.51,1938.24,3187.75
Mar 19,389.51,2556.42,1585.19,-4605.59,0.00,0.00,-463.98,3187.75,2723.77
Mar 20,7224.30,-121.30,-6833.74,7418.62,0.00,0.00,463.58,2723.70,3187.28
Mar 21,18455.65,8350.79,-591.89,-7851.77,0.00,0.00,-92.87,3187.28,3094.41
Mar 22,9741.41,5998.79,4525.87,-8360.36,28.98,0.00,2193.28,3524.95,5718.23
Mar 23,9832.70,7263.96,-1752.71,-7441.39,14.40,0.00,-1915.74,5718.23,3802.49
Mar 24,10868.32,8293.55,6361.89,-14522.06,3.34,0.00,136.72,3802.49,3939.21
