0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 12,537.25,324.95,-36.00,-297.30,0.00,0.00,-8.34,131.28,122.94
Mar 13,737.71,482.92,-90.60,-401.67,0.00,0.00,-9.35,122.94,113.59
Mar 14,887.01,613.09,162.35,-743.48,0.00,0.00,31.95,113.59,145.54
Mar 15,943.17,580.47,-97.88,-494.69,0.00,0.00,-12.11,145.54,133.43
Mar 16,1153.17,769.38,34.24,-816.72,0.00,1.85,-11.26,133.43,122.18
Mar 17,937.60,1047.20,-927.60,-43.70,-7.50,0.00,68.40,122.20,190.60
Mar 18,1160.10,710.90,-249.80,-407.60,3.50,2.20,59.20,190.60,249.80
Mar 19,1475.10,1247.50,-682.70,-595.20,-4.10,0.00,-34.50,249.90,215.40
Mar 20,1552.40,1644.10,-578.20,-918.50,8.60,0.00,156.00,215.40,371.40
Mar 21,1788.40,2179.30,-1637.00,-513.30,1.20,0.00,30.20,372.30,402.50
Mar 22,2260.90,1607.00,-668.70,-1047.00,-10.20,0.00,-118.90,402.50,283.60
Mar 23,4256.30,2883.10,-238.90,-1979.90,62.30,0.00,726.60,1333.00,2059.60
Mar 24,4485.90,5529.60,-3832.50,-2162.60,-1.60,0.00,-467.10,2061.80,1594.70
