0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,408.71,740.90,-107.36,-643.93,0.00,0.00,-10.39,243.72,233.33
Mar 05,700.62,379.21,-174.30,192.45,0.00,0.00,397.36,233.33,630.69
Mar 06,889.49,686.90,-502.66,-89.78,0.00,0.00,94.47,630.69,725.15
Mar 07,1315.69,1168.95,-950.39,418.08,0.00,0.00,636.64,725.15,1361.79
Mar 08,1241.57,825.83,-2075.08,811.34,0.00,0.00,-437.91,1361.79,923.88
Mar 09,1026.20,1631.30,-1941.00,696.91,0.00,0.00,387.21,1174.62,1561.83
Mar 10,2756.00,2336.49,-1345.44,-783.87,0.00,0.00,207.18,1543.63,1750.81
Mar 11,3402.13,2979.78,-3734.99,-383.75,0.00,2.32,-1136.64,1750.81,614.17
Mar 12,3497.62,2734.95,-1936.54,-306.15,0.00,81.80,574.06,614.17,1188.23
Mar 13,4356.47,4145.71,-2895.95,-1221.89,0.00,-0.02,27.85,1136.11,1163.96
Mar 14,4316.64,3727.64,-2407.08,-823.93,0.00,45.02,541.65,1163.96,1705.61
Mar 15,3833.17,3219.49,-2423.09,-1584.82,0.00,0.00,-788.42,1705.61,917.19
Mar 16,4215.72,5470.50,-3537.93,-2007.20,-0.17,0.00,-74.80,917.11,842.31
Mar 17,4174.15,3710.00,-2781.83,-1161.49,0.09,-75.19,-308.42,842.31,533.89
Mar 18,5668.76,7027.08,-5110.42,-1033.31,0.71,0.00,884.06,533.89,1417.95
Mar 19,6354.74,4923.87,-2548.71,-1555.22,-0.31,0.00,819.63,1417.95,2237.58
Mar 20,5130.01,3677.83,-2575.72,-1015.46,-0.72,0.00,85.93,2237.58,2323.51
Mar 21,5123.55,9119.89,-14563.81,3859.82,-0.10,0.00,-1584.20,2323.51,739.31
Mar 22,6444.13,7093.69,-4358.89,-2885.19,0.07,0.00,-150.32,867.54,717.22
Mar 23,9560.32,9129.30,-4753.48,-3783.75,0.78,0.00,592.85,717.26,1310.11
Mar 24,13482.97,11279.16,-5182.51,-5537.51,0.12,0.00,559.26,1310.11,1869.37
