0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,769.80,1035.90,-1551.10,-234.00,0.00,0.00,-749.20,989.40,240.20
Mar 05,1304.90,1073.70,-192.70,-91.80,0.00,0.00,789.20,240.20,1029.40
Mar 06,1750.00,1222.60,-530.70,-319.70,0.00,0.00,372.20,1029.40,1401.60
Mar 07,2279.80,2028.00,-2436.80,430.00,0.00,0.00,21.20,1401.60,1422.80
Mar 08,2503.00,1830.40,-3061.50,132.30,0.00,0.00,-1098.80,1422.80,324.00
Mar 09,1675.80,1193.30,951.40,-536.20,0.00,0.00,1608.50,330.50,1939.00
Mar 10,3592.50,2887.40,-4783.30,55.10,0.00,0.00,-1840.80,1939.00,98.20
Mar 11,3108.80,2819.40,343.00,-752.10,0.00,0.00,2410.30,98.20,2508.50
Mar 12,2146.20,2229.40,-2918.30,616.50,0.00,0.00,-72.40,2508.50,2436.10
Mar 13,2991.00,4301.10,-3491.00,-966.30,0.00,105.10,-51.10,176.10,125.00
Mar 14,3658.50,4903.50,-4892.90,-65.90,0.00,0.00,-55.30,125.00,69.70
Mar 15,4868.20,6410.60,-4499.90,-1962.10,0.00,0.00,-51.40,69.70,18.30
Mar 16,7443.70,8484.50,-7227.40,-1236.40,0.00,0.00,20.70,17.70,38.40
Mar 17,9960.30,10279.30,-9177.90,-1129.30,0.00,2.50,-25.40,38.40,13.00
Mar 18,11003.40,11785.00,-8282.10,-3446.00,0.00,0.00,56.90,13.00,69.90
Mar 19,10465.60,6593.20,-3538.30,-2947.80,0.00,0.00,107.10,69.90,177.00
Mar 20,7064.80,3405.10,-463.90,-3100.00,0.00,0.00,-158.80,177.00,18.20
Mar 21,5159.40,8838.80,-7283.90,-1540.80,0.00,0.00,14.10,18.20,32.30
Mar 22,4582.30,1791.20,-189.00,-1602.50,0.00,0.00,-0.30,32.30,32.00
Mar 23,10159.10,9228.00,-8018.20,-1208.40,0.00,0.00,1.40,32.00,33.40
Mar 24,17040.40,15167.00,-10682.80,-4061.90,0.00,0.00,422.30,33.40,455.70
