0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Dec 05,469.06,403.06,-130.36,-295.94,0.00,0.00,-23.24,164.31,141.07
Dec 06,480.52,418.55,-121.73,-283.76,0.00,0.00,13.06,141.07,154.13
Dec 07,628.61,519.19,-168.71,-372.45,0.00,0.00,-21.97,154.13,132.16
Dec 08,772.83,723.57,-251.92,-375.22,0.00,0.00,96.43,132.16,228.59
Dec 09,916.98,927.91,-255.22,-542.44,0.00,0.00,130.25,228.59,358.84
Dec 10,1145.11,1036.82,-445.89,-543.81,0.00,0.00,47.13,358.84,405.97
Dec 11,1387.92,1158.17,-1528.47,323.19,0.00,0.00,-47.11,398.45,351.34
Dec 12,1552.62,1693.38,-940.83,-513.16,0.00,0.00,239.39,351.34,590.73
Dec 13,1678.02,1796.40,-440.94,-580.12,0.00,0.00,775.34,590.73,1366.07
Dec 14,1774.35,1644.02,-431.70,-1635.28,0.00,0.00,-422.96,1366.07,943.11
Dec 15,813.63,1098.10,-70.48,-498.32,0.00,0.00,529.30,943.11,1472.41
Dec 16,1441.54,1465.91,-127.41,-666.55,0.00,0.00,671.95,1472.41,2144.36
Dec 17,1839.30,1817.79,-130.56,-996.62,0.00,0.00,690.61,2150.67,2841.28
Dec 18,2428.95,2052.45,-52.41,-1317.42,0.00,0.00,682.62,2841.28,3523.90
Dec 19,2674.99,2233.67,82.99,-3539.95,0.00,0.00,-1223.29,3523.90,2300.61
Dec 20,2812.79,2454.48,-321.46,-1955.89,0.00,0.00,177.13,2300.61,2477.74
Dec 21,2883.77,2271.37,-1957.04,-2018.63,0.00,0.00,-1704.30,2477.74,773.44
Dec 22,3255.97,2737.43,-391.73,-2122.74,0.00,0.00,222.96,773.44,996.40
Dec 23,4038.29,3392.19,-926.99,-2436.47,0.00,0.00,28.73,996.40,1025.13
Mar 24,5288.87,4174.79,-1237.42,-3134.92,0.00,0.00,-197.55,996.40,798.85
