0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,5908.00,5744.30,-2337.10,838.50,0.00,0.00,4245.70,2389.40,6635.10
Mar 05,6068.00,5047.30,-6417.90,813.80,0.00,0.00,-556.80,6635.10,6078.30
Mar 06,6271.20,6206.40,-2713.60,-1099.70,0.00,0.00,2393.10,6078.30,8471.40
Mar 07,8896.50,8065.30,-3145.80,-76.30,0.00,0.00,4843.20,8471.40,13314.60
Mar 08,10529.40,10171.10,-6203.80,-2348.70,0.00,0.00,1618.60,13314.60,14933.20
Mar 09,9467.80,9688.10,-7500.40,-849.30,0.00,0.00,1338.40,14933.20,16271.60
Mar 10,10807.60,10594.20,-10497.70,-1908.60,0.00,0.00,-1812.10,16271.60,14459.50
Mar 11,12049.60,11085.03,-7655.69,-1703.56,0.00,0.00,1725.78,14459.48,16185.26
Mar 12,12326.16,13866.57,-11036.61,-2869.11,0.00,0.00,-39.15,16185.26,16146.11
Mar 13,16578.63,15495.17,-14016.89,-752.41,0.00,0.00,725.87,16141.83,16867.70
Mar 14,13904.65,15732.18,-13979.71,-3308.99,0.19,0.00,-1556.33,16867.70,15311.37
Mar 15,10546.65,14234.70,-14562.60,-1878.08,0.02,0.00,-2205.96,15311.37,13105.41
Mar 16,10595.77,23987.38,-18346.09,-4549.62,0.08,0.00,1091.75,280.65,1372.40
Mar 17,12387.90,20013.92,-24414.12,3184.98,-0.06,0.00,-1215.28,1372.40,157.12
Mar 18,13042.50,19248.35,-20388.19,1043.21,0.00,0.00,-96.63,157.12,60.49
Mar 19,7776.05,16030.47,-20894.22,4827.65,-0.01,0.00,-36.11,60.49,24.38
Mar 20,20317.07,22014.26,-27677.12,5658.88,-0.03,0.00,-4.01,24.38,20.37
Mar 21,17434.63,27057.78,-17341.63,-9646.47,0.00,0.00,69.68,20.37,90.05
Mar 22,19165.75,35388.19,-16365.84,-19095.36,0.00,0.00,-73.01,90.05,17.04
Mar 23,24067.09,35398.57,-14062.76,-21450.16,0.00,0.00,-114.35,117.48,3.13
Mar 24,23545.17,34830.91,-15118.16,-19518.72,0.00,0.00,194.03,3.13,197.16
