0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,13638.41,11991.68,-7563.71,-1795.34,0.00,0.00,2632.63,6109.02,8741.65
Mar 05,19647.70,15611.00,-8450.59,-6435.20,0.00,0.00,725.22,8741.65,9466.86
Mar 06,21392.37,20624.23,-12200.29,-9077.98,0.00,0.00,-654.04,9466.86,8812.82
Mar 07,23980.26,22910.02,-5046.97,-7395.08,0.00,0.00,10467.97,8812.82,19280.79
Mar 08,25234.70,21527.63,-10239.43,-8151.34,0.00,0.00,3136.86,19280.79,22417.66
Mar 09,23895.42,22272.74,-17459.91,-8134.27,0.00,0.00,-3321.44,22417.66,19096.21
Mar 10,24983.84,20388.01,-13237.10,-8016.08,0.00,0.00,-865.18,19096.21,18231.04
Mar 11,27616.37,39338.37,-24644.27,-11722.63,0.00,0.00,2971.47,11509.62,14481.09
Mar 12,36642.57,35919.31,-26316.98,-3958.85,0.00,0.00,5643.48,14481.09,20124.57
Mar 13,30544.33,32201.23,-23659.45,-15447.75,0.00,0.00,-6905.98,20124.57,13218.59
Mar 14,32431.93,37809.58,-30471.91,-9757.37,0.00,0.00,-2419.71,13218.59,10798.88
Mar 15,26555.24,24972.12,-24913.30,-8097.63,0.00,0.00,-8038.81,10798.88,2760.07
Mar 16,16139.93,39893.85,-32682.71,-7315.75,0.00,0.00,-104.61,118.54,13.93
Mar 17,17899.98,32787.66,-21303.50,-11455.43,0.00,0.00,28.73,13.93,42.66
Mar 18,19945.26,37536.85,-53730.38,16180.47,0.00,0.00,-13.06,42.66,29.60
Mar 19,26715.79,42252.01,-22019.85,-20245.61,0.00,0.00,-13.46,29.60,16.14
Mar 20,13444.54,57785.25,-34958.27,-22747.10,0.00,0.00,79.88,16.14,96.03
Mar 21,11246.44,27665.09,-20656.96,-6984.25,0.00,0.00,23.88,96.03,119.90
Mar 22,40305.74,49301.43,-23502.02,-25869.20,0.00,0.00,-69.80,119.90,50.11
Mar 23,38828.87,79120.99,-55648.49,-23445.41,0.00,0.00,27.09,50.11,77.19
Mar 24,53016.21,65335.53,-42693.57,-22684.60,0.00,0.00,-42.64,77.19,34.55
