0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,714.29,3752.89,-3060.85,-50.42,0.00,0.00,641.62,147.36,788.98
Mar 05,908.37,2839.51,-3041.64,17.12,0.00,0.00,-185.01,788.98,603.97
Mar 06,1168.99,3686.80,-4602.82,901.10,0.00,0.00,-14.92,603.97,589.05
Mar 07,1482.00,4345.53,-6735.76,2998.00,0.00,0.00,607.77,589.05,1196.82
Mar 08,1730.53,2989.52,-5342.00,3021.25,0.00,0.00,668.77,1196.82,1865.59
Mar 09,2228.57,6641.09,-9156.75,3078.95,0.00,0.00,563.29,1865.59,2428.88
Mar 10,2626.32,6619.17,-9660.86,3890.45,0.00,0.00,848.76,2428.88,3277.64
Mar 11,3824.73,5564.99,-13128.33,7965.76,0.00,0.00,402.42,3277.64,3680.06
Mar 12,4597.60,6402.53,-15834.33,8088.62,0.00,0.00,-1343.18,3680.06,2336.88
Mar 13,5644.86,11046.04,-21710.70,9989.75,0.00,0.00,-674.91,2336.88,1661.97
Mar 14,6263.75,15259.33,-26377.63,13873.85,0.00,0.00,2755.55,1661.97,4417.52
Mar 15,6289.38,15041.77,-23843.45,6447.14,0.00,0.00,-2354.54,4417.52,2062.98
Mar 16,7618.78,16151.11,-21147.61,5387.24,0.00,0.00,390.74,2062.98,2453.72
Mar 17,9569.76,21250.90,-23433.64,3870.53,0.00,0.00,1687.79,1540.64,3228.43
Mar 18,10476.85,21880.78,-24626.63,1033.63,0.00,0.00,-1712.22,3228.43,1516.21
Mar 19,11488.98,23148.92,-18648.45,-2373.54,0.00,0.00,2126.93,1516.21,3643.14
Mar 20,14687.14,29530.10,-9665.58,-18711.99,0.00,0.00,1152.53,3643.14,4795.67
Mar 21,15109.36,27532.46,-7721.72,-20185.83,0.00,0.00,-375.09,4805.14,4430.05
Mar 22,20327.48,24640.20,2188.54,-28801.32,0.00,0.00,-1972.58,4430.05,2457.47
Mar 23,17214.69,35268.25,-4315.83,-29263.65,0.00,0.00,1688.77,2457.47,4146.24
Mar 24,18006.22,34790.13,-10433.54,-25882.28,0.00,0.00,-1525.69,4146.24,2620.55
