0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
,29468.00,35285.00,-55998.00,-940.00,0.00,0.00,-21653.00,33224.00,11571.00
Mar 04,6301.14,11777.56,-10563.07,-1137.46,0.00,0.00,77.03,147.21,224.24
Mar 05,9068.68,17288.58,-8162.34,-5741.69,0.00,0.00,3384.55,224.24,3608.79
Mar 06,10704.06,10301.58,-12130.88,366.67,0.00,0.00,-1462.63,3608.79,2146.16
Mar 07,14520.47,16870.55,-18567.01,306.08,0.00,0.00,-1390.38,3225.73,1835.35
Mar 08,23010.14,17426.74,-23955.08,8973.04,0.00,0.00,2444.70,1835.35,4280.05
Mar 09,18433.23,18245.86,-24084.20,23732.58,0.00,0.00,17894.24,4282.29,22176.53
Mar 10,20547.44,20490.22,-18204.50,-10999.60,0.00,0.00,-8713.88,22176.53,13462.65
Mar 11,25242.00,33280.00,-20333.00,725.00,0.00,0.00,13672.00,13463.00,27135.00
Mar 12,25750.00,26974.00,-3046.00,-11465.00,0.00,0.00,12463.00,27135.00,39598.00
Mar 13,26284.00,32995.00,-14797.00,-8249.00,0.00,0.00,9949.00,39598.00,49547.00
Mar 14,27818.00,42160.00,-64013.00,5530.00,0.00,0.00,-16323.00,49547.00,33224.00
Mar 15,29468.00,35285.00,-55998.00,-940.00,0.00,0.00,-21653.00,33224.00,11571.00
Mar 16,35701.00,44082.00,-42329.00,-6432.00,0.00,0.00,-4679.00,11571.00,6892.00
Mar 17,40777.00,51450.00,-54949.00,-1639.00,0.00,0.00,-5138.00,6892.00,1754.00
Mar 18,45725.00,62000.00,-59109.00,-1914.00,0.00,0.00,977.00,1754.00,2731.00
Mar 19,47367.00,29191.00,-53949.00,25795.00,0.00,0.00,1037.00,2731.00,3768.00
Mar 20,40316.00,77533.00,-143625.00,70767.00,0.00,42.00,4717.00,3768.00,8485.00
Mar 21,27212.00,-512.00,74257.00,-76657.00,0.00,0.00,-2912.00,8485.00,5573.00
Mar 22,46786.00,67491.00,-45315.00,-6035.00,0.00,0.00,16141.00,5573.00,21714.00
Mar 23,55572.00,48050.00,-584.00,-7369.00,0.00,-5000.00,35097.00,21714.00,56811.00
Mar 24,55273.00,73998.00,-38292.00,-27465.00,0.00,0.00,8241.00,61007.00,69248.00
