0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 12,12791.83,6467.87,-4967.68,0.00,0.00,0.00,1500.19,803.21,2303.40
Mar 13,10520.10,1129.96,-1222.07,-58.11,0.00,0.00,-150.22,2303.40,2153.19
Mar 14,10936.98,168.27,-710.25,-58.11,0.00,0.00,-600.09,3561.67,2961.58
Mar 15,13055.64,2711.49,-178.24,-117.00,0.00,0.00,2416.25,2961.58,5377.83
Mar 16,16105.00,5777.94,-7203.73,-143.99,0.00,0.00,-1569.78,5377.83,3808.04
Mar 17,21497.21,8525.12,-9031.24,-144.43,-0.52,0.00,-651.08,3808.04,3156.97
Mar 18,0.00,10394.97,-8909.81,-221.25,0.15,0.00,1264.05,3140.53,4404.59
Mar 19,0.00,13472.86,-13552.86,-241.06,0.46,0.00,-320.61,4404.59,4083.98
Mar 20,0.00,19298.59,-16986.90,-198.48,0.51,0.00,2113.72,4083.98,6197.71
Mar 21,0.00,23877.64,-19202.71,2.65,-0.59,0.00,4676.99,6197.71,10874.70
Mar 22,59936.13,21851.94,-21611.01,-231.01,0.00,0.00,9.92,10874.70,10884.62
Mar 23,67342.92,28656.05,-30203.00,-415.10,0.00,0.00,-1962.05,10884.62,8922.57
Mar 24,81130.51,29121.86,-31221.33,-227.32,0.00,0.00,-2326.79,8922.57,6595.77
