0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,55.73,-281.10,-12.73,349.84,0.00,0.00,56.00,53.21,109.21
Mar 05,77.87,-556.73,12.58,611.45,0.00,0.00,67.29,109.21,176.50
Mar 06,216.17,-3308.64,-122.54,3438.18,0.00,0.00,7.00,176.50,183.51
Mar 07,289.22,-2564.34,-527.12,4351.95,0.00,0.00,1260.49,204.44,1464.93
Mar 08,605.83,-5802.79,-1428.06,6462.63,0.00,0.00,-768.22,1440.22,671.99
Mar 09,920.63,-1554.95,262.97,5230.53,0.00,0.00,3938.55,671.99,4610.54
Mar 10,1324.59,867.66,-1961.81,-1043.29,0.00,0.00,-2137.45,4610.54,2473.10
Mar 11,1848.93,-2045.44,-3.18,1241.90,0.00,0.00,-806.72,2458.10,1651.38
Mar 12,1880.91,-865.31,-15.18,3056.58,0.00,0.00,2176.09,1651.38,3827.47
Mar 13,2016.19,-7003.46,-41.12,7685.91,0.00,1.15,642.47,3827.47,4469.94
Mar 14,1828.04,-3778.44,-66.64,4687.82,0.00,0.00,842.73,4469.94,5312.67
Mar 15,1842.39,-9906.14,-42.15,8123.95,0.00,0.00,-1824.34,5312.67,3488.33
Mar 16,1781.43,-7906.00,-36.99,5241.45,0.00,17.00,-2684.53,3488.33,803.80
Mar 17,1923.93,-2691.62,-16.87,3046.32,0.00,0.00,337.84,803.80,1141.63
Mar 18,3801.80,-13160.10,103.15,13016.86,0.00,0.00,-40.09,1130.80,1090.71
Mar 19,3778.27,-5534.98,-76.14,5549.55,0.00,0.00,-61.57,1090.71,1029.14
Mar 20,3438.67,-2463.58,-55.20,4578.63,0.00,0.00,2059.85,1029.14,3088.99
Mar 21,3278.01,-4238.76,-24.89,12225.59,0.00,0.00,7961.94,3088.99,11050.93
Mar 22,3549.25,-8859.02,-34.33,8504.86,0.00,0.00,-388.49,11050.93,10662.44
Mar 23,8184.89,-15841.33,-180.06,9646.84,0.00,5217.41,-1157.14,10662.44,9505.30
Mar 24,9683.64,-27653.08,-238.33,24399.48,0.00,0.00,-3491.93,9505.30,6013.37
