0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,120.23,105.40,-5.00,-99.35,0.00,0.00,1.04,5.24,6.29
Mar 05,162.15,49.83,64.93,-76.36,0.00,0.00,38.40,7.93,46.34
Mar 06,230.52,140.68,-129.05,-51.38,0.00,0.00,-39.74,46.36,6.62
Mar 07,349.77,76.22,-737.34,676.03,0.00,0.00,14.91,6.62,21.53
Mar 08,385.86,87.97,-54.07,-41.16,0.00,0.00,-7.26,21.30,14.04
Mar 09,229.06,5.82,369.82,-344.12,0.00,0.00,31.53,14.12,45.65
Mar 15,349.05,50.22,126.16,-166.08,0.00,2.37,12.67,2.29,14.96
Mar 16,660.97,131.48,380.23,-293.77,0.00,0.00,217.94,14.96,232.90
Mar 17,386.19,506.90,60.42,-612.28,0.00,0.00,-44.96,46.96,2.00
Mar 18,723.47,198.70,142.69,-134.84,0.00,0.00,206.55,2.00,208.55
Mar 19,575.92,97.47,345.57,-247.16,0.00,0.00,195.88,208.55,404.43
Mar 20,729.41,745.03,-708.24,-197.98,0.00,0.00,-161.19,404.43,243.24
Mar 21,836.14,1064.23,-332.05,-330.68,0.00,0.00,401.50,243.24,644.74
Mar 22,1151.09,1158.32,-1064.31,-411.35,0.00,0.00,-317.34,644.74,327.40
Mar 23,1267.37,1019.27,-601.34,-567.80,0.00,0.00,-149.87,327.40,177.53
Mar 24,1352.06,1454.41,-1963.92,403.18,0.00,0.00,-106.33,188.05,81.72
