0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,2665.96,2914.44,-1882.63,-1154.19,0.00,0.00,-122.38,373.12,250.74
Mar 05,5297.28,3816.83,-2604.13,-1216.72,0.00,0.00,-4.02,250.74,246.72
Mar 06,5239.96,3631.39,-2464.59,-1125.13,0.00,0.00,41.67,246.72,288.39
Mar 07,6261.65,5118.10,-5427.60,7702.46,0.00,0.00,7392.96,288.39,7681.35
Mar 08,7066.36,6254.20,-29318.58,15848.07,0.00,0.00,-7216.31,7681.35,465.04
Mar 09,7315.61,7397.22,-9428.08,3156.42,0.00,0.00,1125.56,465.04,1590.60
Mar 10,7214.30,8369.22,-5254.84,-1473.13,0.00,0.00,1641.25,1592.89,3234.14
Mar 11,9776.85,8339.00,-13084.86,5650.99,0.00,0.00,905.13,3191.29,4096.42
Mar 12,9857.35,10256.47,-2859.11,-7599.35,0.00,0.00,-201.99,4102.52,3900.53
Mar 13,7836.60,11068.67,-8522.40,-4281.59,0.00,0.00,-1735.32,3900.53,2165.21
Mar 14,9713.50,12432.80,-9837.42,-3825.98,0.00,0.00,-1230.60,2139.93,909.33
Mar 15,8508.89,4851.89,-2382.10,-2957.21,0.02,0.00,-487.40,909.33,421.93
Mar 16,6126.52,7567.68,-5405.22,-1631.04,-0.12,0.00,531.30,421.93,953.23
Mar 17,5356.93,11166.64,-3956.40,-7279.71,0.00,0.00,-69.47,974.68,905.21
Mar 18,6638.25,11791.45,-12273.35,4165.58,0.00,0.00,3683.68,905.21,4588.89
Mar 19,16227.25,15193.11,-16349.98,-2887.17,0.00,0.00,-4044.04,4588.89,544.85
Mar 20,6610.98,13453.66,-17634.66,4629.79,0.00,0.00,448.79,544.85,993.64
Mar 21,18609.84,37554.77,-13665.22,-23385.49,0.00,0.00,504.06,1717.25,2221.31
Mar 22,44090.65,41986.12,-34167.79,-7368.05,0.00,0.00,450.28,2221.31,2671.59
Mar 23,21021.92,14226.93,-11060.61,-4978.93,0.00,0.00,-1812.61,2671.59,858.98
Mar 24,9172.15,27328.27,-15557.89,-8414.51,0.00,0.00,3355.87,1185.60,4541.47
