0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,3.22,0.64,-374.50,374.98,0.00,0.00,1.12,1.13,2.25
Mar 05,2308.65,1978.99,-2813.85,953.35,0.00,0.00,118.49,2.25,120.74
Mar 06,3074.35,2344.42,-1464.97,-882.30,2.25,0.00,-5.10,176.27,171.17
Mar 07,4170.68,3551.26,-2076.42,-1075.35,13.52,0.00,385.97,171.17,557.14
Mar 08,5003.86,3827.91,-2404.90,-1424.77,27.86,0.00,-29.62,557.14,527.52
Mar 09,5139.68,4874.12,-3162.22,-1588.25,0.00,0.00,123.65,417.00,540.65
Mar 10,6370.38,6264.74,-4556.64,-1969.65,0.00,0.00,-261.55,554.83,293.28
Mar 11,8700.43,5719.88,-841.76,-4605.61,11.39,0.00,283.90,293.28,577.18
Mar 12,13366.33,3174.63,433.36,-3897.22,31.02,0.00,-258.21,577.18,318.97
Mar 13,15703.18,9156.95,-3482.98,-5655.80,-16.68,3.39,4.88,318.97,323.85
Mar 14,23544.47,12941.93,-7189.32,-5684.32,43.66,2.57,114.52,323.85,438.37
Mar 15,24549.97,16319.89,611.01,-16914.20,-27.26,1.97,-8.59,438.37,429.78
Mar 16,29339.00,17986.00,-4518.00,-9586.00,40.00,0.00,3922.00,461.00,4383.00
Mar 17,23653.00,23132.00,-15782.00,-10891.00,-52.00,0.00,-3593.00,4383.00,790.00
Mar 18,25241.00,21587.00,5634.00,-26827.00,94.00,0.00,488.00,790.00,1278.00
Mar 19,30065.00,23998.00,5883.00,-27825.00,-7.00,0.00,2049.00,1278.00,3327.00
Mar 20,33260.00,26603.00,12829.00,-39045.00,138.00,0.00,525.00,3327.00,3852.00
Mar 21,30960.00,33822.00,-4576.00,-32023.00,37.00,0.00,-2740.00,3852.00,1112.00
Mar 22,38187.00,36127.00,3642.00,-32797.00,113.00,0.00,7085.00,1112.00,8197.00
Mar 23,39106.00,37029.00,3250.00,-47224.00,210.00,0.00,-6735.00,8197.00,1462.00
Mar 24,43559.00,39142.00,10807.00,-47793.00,26.00,0.00,2182.00,1462.00,3644.00
