0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,109.15,40.02,-55.47,-54.62,0.00,0.00,-70.07,104.35,34.28
Mar 05,137.21,255.94,-128.25,-39.62,0.00,0.00,88.07,34.28,122.35
Mar 06,240.64,133.47,-205.45,-0.73,0.00,0.00,-72.70,122.35,49.65
Mar 07,651.68,3.24,-142.36,122.71,0.00,0.00,-16.42,49.65,33.23
Mar 08,834.70,209.70,-198.30,35.60,0.00,0.00,47.00,29.50,76.50
Mar 09,1090.50,1200.30,-620.40,-164.50,0.00,0.00,415.40,76.50,3.50
Mar 10,874.20,1412.50,-2571.00,803.80,0.00,0.00,-354.70,494.30,139.60
Mar 11,806.00,470.60,-131.70,-286.70,0.00,0.00,52.20,139.60,191.80
Mar 12,646.90,665.40,-400.90,-321.60,0.00,0.00,-57.10,191.80,134.70
Mar 13,817.20,642.70,-595.40,88.90,0.00,0.00,136.20,134.70,270.90
Mar 14,3117.80,1294.20,-455.00,-917.40,0.00,2096.40,2018.20,270.30,2288.50
Mar 15,2930.50,2068.50,-1701.70,-731.00,0.00,64.90,-299.30,999.60,700.30
Mar 16,3923.30,2882.80,-1088.90,-791.80,0.00,5.50,1007.60,700.30,1707.90
Mar 17,3878.70,3332.20,-2586.50,-1478.80,-3.20,0.00,-736.30,1708.00,971.70
Mar 18,4906.50,3358.30,-2271.10,-1209.50,38.80,0.00,-83.50,971.70,888.20
Mar 19,5427.30,3634.40,-1542.50,-2035.90,12.90,0.00,68.90,889.20,958.10
Mar 20,5332.20,2380.40,3252.10,-4842.40,53.80,0.00,843.90,959.90,1803.80
Mar 21,5526.60,6851.90,-5620.80,-2066.10,19.20,0.00,-815.80,1803.80,988.00
Mar 22,6284.60,2969.40,1672.20,-4457.10,21.90,0.00,206.40,988.00,1194.40
Mar 23,4904.10,4102.10,676.80,-4991.50,57.10,0.00,-155.50,1249.50,1094.00
Mar 24,2564.70,5005.30,47.20,-4727.30,-4.00,0.00,321.20,1094.00,1415.20
