0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,49.20,381.35,-163.04,-176.60,0.00,0.00,41.80,0.03,41.83
Mar 05,43.24,337.42,-87.18,-235.81,0.00,0.00,14.43,41.83,56.26
Mar 06,285.59,551.63,-357.24,-191.02,0.00,0.00,3.37,58.23,61.60
Mar 07,1166.19,1113.09,-1046.25,-38.84,0.00,0.00,27.99,61.60,89.59
Mar 08,1507.01,1375.26,-1441.79,77.63,0.00,0.00,11.10,89.59,100.69
Mar 09,1361.46,1457.57,-1645.43,191.66,0.00,0.00,3.80,100.69,104.49
Mar 10,1588.16,1571.93,-851.66,-741.03,0.00,0.00,-20.76,104.49,83.73
Mar 11,1783.30,2033.92,-1608.06,-431.36,0.00,0.00,-5.50,150.29,144.79
Mar 12,3392.87,3443.40,-2926.04,-473.96,0.00,0.00,43.40,144.79,188.19
Mar 13,3825.40,3552.42,-4282.25,682.91,0.00,0.00,-46.92,189.58,142.66
Mar 14,2775.51,3241.57,-2209.56,-897.17,0.00,0.00,134.84,142.66,277.50
Mar 15,2886.25,4082.93,-1879.74,-2266.75,0.00,0.00,-63.56,277.50,213.94
Mar 16,3298.56,4354.40,-3756.70,-582.42,0.00,0.00,15.28,60.49,75.77
Mar 17,3775.95,4722.87,-2365.12,-2382.64,0.00,0.00,-24.89,75.77,50.88
Mar 18,3301.84,3617.68,1891.89,-5496.54,0.00,0.00,13.03,50.88,63.91
Mar 19,3492.38,6116.32,-4000.34,-1768.80,0.00,12.39,359.57,63.91,423.48
Mar 20,5219.76,8275.94,-3968.01,-4591.35,0.00,0.00,-283.42,423.48,140.06
Mar 21,7896.07,11551.00,-8986.53,-2585.95,0.00,0.00,-21.48,140.06,118.58
Mar 22,8293.09,8669.66,789.27,-9500.93,0.00,0.00,-42.00,118.58,76.58
Mar 23,7246.37,9348.18,-6753.57,-2370.09,0.00,0.00,224.52,76.58,301.10
Mar 24,9315.98,10898.79,-7830.00,-2860.52,0.00,0.00,208.27,334.13,542.40
