0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,1082.27,913.91,-1062.09,28.57,0.00,0.00,-119.61,409.70,290.09
Mar 05,1757.02,1666.42,-874.58,-550.61,0.00,0.00,246.80,290.09,536.90
Mar 06,2340.43,1912.25,-1694.42,59.80,0.00,0.00,277.63,545.38,823.00
Mar 07,3176.20,2674.60,-1881.90,238.50,0.00,0.00,1031.20,818.00,1849.20
Mar 08,3469.70,715.90,-1127.50,2290.90,0.00,0.00,1879.30,1852.80,3732.10
Mar 09,3547.90,4344.50,-3662.70,-70.70,0.00,0.00,611.10,3798.10,4409.20
Mar 10,5688.80,4477.40,-3064.60,-96.20,0.00,0.00,1316.60,4347.70,5664.30
Mar 11,5705.50,3711.20,-1474.00,-2733.30,32.30,2.80,-461.00,5664.30,5203.30
Mar 12,5918.60,2997.90,-339.80,-1723.80,95.20,0.00,1029.50,5203.30,6232.80
Mar 13,7205.10,6119.20,-3573.10,-1005.50,27.10,0.00,1567.70,6232.70,7800.40
Mar 14,9608.20,6588.60,239.60,-4088.60,-49.30,64.20,2754.50,7800.40,10554.90
Mar 15,10557.00,7703.60,-1495.00,-1836.10,15.10,0.00,4387.60,10554.90,14942.50
Mar 16,8200.50,6686.70,-9805.00,-3489.70,31.30,0.00,-6576.70,14919.80,8343.10
Mar 17,8161.70,7370.70,-7890.80,-4367.60,-93.20,0.00,-4980.90,8343.10,3362.20
Mar 18,7722.80,6470.90,5002.30,-12918.40,5.20,0.00,-1440.00,3362.20,1922.20
Mar 19,7614.00,10210.10,-370.60,-1395.10,3.00,20.30,8467.70,1922.20,10389.90
Mar 20,8680.70,9068.10,3202.70,-12233.00,16.30,0.00,54.10,10389.90,10444.00
Mar 21,10060.90,12727.70,-1275.00,-12105.70,-7.80,0.00,-660.80,10444.00,9783.20
Mar 22,12135.30,7240.50,-12611.10,494.70,-9.20,0.00,-4885.10,9783.20,4898.10
Mar 23,9176.70,11191.60,-4761.60,-6803.60,2.50,0.00,-371.10,4898.10,4527.00
Mar 24,9118.60,14215.90,2237.00,-17158.70,-30.60,0.00,-736.40,4527.00,3790.60
