Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,FOB Value Of Goods,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves Excluding Revaluation Reserves,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Mar-04,0,92.67,186.6,907.0220513,488.21,488.21,10.64,42.14,1638.01,1638.51,1839.4,221.24,41.51,77.15937805,197.02,0,1.65,35.63,0,186.6,129.5,58.49,69.35,18.38,6.57,30.65,0.04,620.53,31269.82,33.32,4531.54,48920.36,0,-6.59,724.68,0,0,0,0,0,6.91,-94.48,-1332.01,1633.97,200.89,26.11,337.05,1470.47,186.6,1027.38,5749.47027,203.48,11.36,69.36,3.18,0,0,0.44,337.05,387.05,387.05,383.87,387.05,35.73,255.31,30.88,220.66,30.88,220.66,10.11,6.91,1.65,10.26,3220.11,3220.11,30.64,24.2,38.22,38.22,714.42,0,832.68,549.08,0,7291.577436,50,5136.95,1883.52,3103.64,1323.08,0,1308.9,2033.31,0,3220.11,33.32,3,0,632.51,0,62.08
Jun-04,0,92.67,186.6,907.0220513,488.21,488.21,10.64,42.14,1638.01,1638.51,1839.4,221.24,41.51,86.31406403,197.02,0,1.65,35.63,0,186.6,129.5,58.49,69.35,18.38,6.57,30.65,0.04,691.27,31269.82,33.43,4531.54,48920.36,0,-6.59,724.68,0,0,0,0,0,6.91,-94.48,-1332.01,1633.97,200.89,26.11,394.47,1470.47,186.6,1027.38,5749.47027,203.48,11.36,100.64,17.99,0,0,0.44,394.47,459.47,459.47,441.48,459.47,35.73,255.31,30.88,220.66,30.88,220.66,10.11,6.91,1.65,10.26,3695.78,3220.11,30.64,24.2,38.22,38.22,714.42,0,832.68,549.08,0,7291.577436,65,5136.95,1883.52,3103.64,1323.08,0,1471.39,2033.31,0,3220.11,33.32,3,0,632.51,0,49.38
Sep-04,0,92.67,186.6,907.0220513,488.21,488.21,10.64,42.14,1638.01,1638.51,1839.4,221.24,41.51,105.96875,197.02,0,1.65,35.63,0,186.6,129.5,58.49,69.35,18.38,6.57,30.65,0.04,779.55,31269.82,133.93,4531.54,48920.36,0,-6.59,724.68,0,0,0,0,0,6.91,-94.48,-1332.01,1633.97,200.89,26.11,454.85,1470.47,186.6,1027.38,5749.47027,203.48,11.36,130.41,30.23,0,0,0.44,454.85,533.35,533.35,503.12,533.35,35.73,255.31,30.88,220.66,30.88,220.66,10.11,6.91,1.65,10.26,3937.53,3220.11,30.64,24.2,38.22,38.22,714.42,0,832.68,549.08,0,7291.577436,78.5,5136.95,1883.52,3103.64,1323.08,0,1689.56,2033.31,0,3220.11,33.32,3,0,632.51,0,56.55
Dec-04,0,92.67,186.6,907.0220513,488.21,488.21,10.64,42.14,1638.01,1638.51,1839.4,221.24,41.51,130.7312469,197.02,0,1.65,35.63,0,186.6,129.5,58.49,69.35,18.38,6.57,30.65,0.04,856.62,31269.82,134.73,4531.54,48920.36,0,-6.59,724.68,0,0,0,0,0,6.91,-94.48,-1332.01,1633.97,200.89,26.11,495.97,1470.47,186.6,1027.38,5749.47027,203.48,11.36,103.53,46.77,0,0,0.44,495.97,588.97,588.97,542.2,588.97,35.73,255.31,30.88,220.66,30.88,220.66,10.11,6.91,1.65,10.26,4608.96,3220.11,30.64,24.2,38.22,38.22,714.42,0,832.68,549.08,0,7291.577436,93,5136.95,1883.52,3103.64,1323.08,0,1798.52,2033.31,0,3220.11,33.32,3,0,632.51,0,69.38
Mar-05,0,104.12,70.21,129.25,193.72,193.72,130.87,317.52,1481.54,1839.4,1683.08,80.12,85.72,141.0749969,289.87,0,2.77,34.03,0,70.21,11.5,14.28,16.3,24.25,8.67,83.7,0.03,854.56,59467.96,135.29,2762.96,6103.02,1494.42,3.96,42.14,0,0,0,0,0,8.89,-580.1,-939.88,1359.7,-156.32,27.69,559.09,2184.49,70.21,1328.7,1328.7,0,577.6,138.35,32.51,0,0,11.3,513.9,602.7,602.7,570.19,602.7,35.75,90.65,31.84,80.73,31.84,80.73,11.63,8.89,2.77,9.18,5106.44,5106.44,83.69,28.83,36.24,36.24,253.52,0,984.96,767.48,0,1134.76,88.8,6587.77,6587.77,3730.62,1346.04,0,1900.19,2857.15,0,5106.44,135.29,5241.73,0.96,1252.82,0,92.91
Jun-05,0,104.12,70.21,129.25,193.72,193.72,130.87,317.52,1481.54,1839.4,1683.08,80.12,85.72,147.390625,289.87,0,2.77,34.03,0,70.21,11.5,14.28,16.3,24.25,8.67,83.7,0.03,913.64,59467.96,135.71,2762.96,6103.02,1494.42,3.96,42.14,0,0,0,0,0,8.89,-580.1,-939.88,1359.7,-156.32,27.69,523.85,2184.49,70.21,1328.7,1328.7,0,577.6,150.52,30.32,0,0,11.3,523.85,602.85,602.85,572.53,602.85,35.75,90.65,31.84,80.73,31.84,80.73,11.63,8.89,2.77,9.18,5729.35,5106.44,83.69,28.83,36.24,36.24,253.52,0,984.96,767.48,0,1134.76,79,6587.77,6587.77,3730.62,1346.04,0,1967.17,2857.15,0,5106.44,135.29,5241.73,0.96,1252.82,0,74.84
Sep-05,0,104.12,70.21,129.25,193.72,193.72,130.87,317.52,1481.54,1839.4,1683.08,80.12,85.72,157.2062531,289.87,0,2.77,34.03,0,70.21,11.5,14.28,16.3,24.25,8.67,83.7,0.03,1004,59467.96,136,2762.96,6103.02,1494.42,3.96,42.14,0,0,0,0,0,8.89,-580.1,-939.88,1359.7,-156.32,27.69,592,2184.49,70.21,1328.7,1328.7,0,577.6,163,45,0,0,11.3,592,659,659,614,659,35.75,90.65,31.84,80.73,31.84,80.73,11.63,8.89,2.77,9.18,6269,5106.44,83.69,28.83,36.24,36.24,253.52,0,984.96,767.48,0,1134.76,67,6587.77,6587.77,3730.62,1346.04,0,2170,2857.15,0,5106.44,135.29,5241.73,0.96,1252.82,0,90
Dec-05,0,104.12,70.21,129.25,193.72,193.72,130.87,317.52,1481.54,1839.4,1683.08,80.12,85.72,187.3031311,289.87,0,2.77,34.03,0,70.21,11.5,14.28,16.3,24.25,8.67,83.7,0.03,1141,59467.96,137,2762.96,6103.02,1494.42,3.96,42.14,0,0,0,0,0,8.89,-580.1,-939.88,1359.7,-156.32,27.69,642,2184.49,70.21,1328.7,1328.7,0,577.6,135,-2,0,0,11.3,642,722,722,724,722,35.75,90.65,31.84,80.73,31.84,80.73,11.63,8.89,2.77,9.18,7113,5106.44,83.69,28.83,36.24,36.24,253.52,0,984.96,767.48,0,1134.76,80,6587.77,6587.77,3730.62,1346.04,0,2398,2857.15,0,5106.44,135.29,5241.73,0.96,1252.82,0,109
Mar-06,0,99.05,87.72,129.25,249.89,249.89,211,571,3279,1683,3779,102.54,56.26,186.3374939,523,0,2.73,56,0,87.72,45,43.74,51.13,25.21,8.75,48.87,0.03,1212,78992.46,138,3327,8649,2133,7,0,0,0,0,0,0,9.11,244,-392,2237,2096,26.81,664,2724,87.72,876,876,0,802,168,70,0,0,0,664,741,741,671,741,34.7,113.51,30.17,98.7,30.17,98.7,11.93,9.11,2.73,8,6759,6759,48.86,26.56,35.1,35.1,327.1,0,1252,1409,0,1562,77,9114,9114,6049,2217,0,2493,3065,0,6759,138,6897,6,1518,0,134
Jun-06,0,99.05,87.72,129.25,249.89,249.89,211,571,3279,1683,3779,102.54,56.26,192.4343719,523,0,2.73,56,0,87.72,45,43.74,51.13,25.21,8.75,48.87,0.03,1403,78992.46,138,3327,8649,2133,7,0,0,0,0,0,0,9.11,244,-392,2237,2096,26.81,805,2724,87.72,876,876,0,802,212,129,0,0,0,805,909,909,780,909,34.7,113.51,30.17,98.7,30.17,98.7,11.93,9.11,2.73,8,7690,6759,48.86,26.56,35.1,35.1,327.1,0,1252,1409,0,1562,104,9114,9114,6049,2217,0,2867,3065,0,6759,138,6897,6,1518,0,97
