Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Earnings,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Mar-04,0,0,4.17,176.815641,12.92,12.92,0,0,2.25,1.13,2.25,4.4,72.66,38.38750076,0.33,0,0.02,0,0.98,4.17,1.2,27.34,28.85,0,0,71.15,0,409.74,0,47.83,0,225.55,0,0,2.79,0,0,0,0,0,0,374.98,-374.5,0.64,1.12,0,424.6,3.22,4.17,417.39,37.5,0,0.18,51328.33333,850.43,25.77,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,0,4.86,0,4.63,0,4.57,0,0,0.02,0,10.64,71.14,2.31,31.58,32.24,0,375,9.77,4.93,0,225.55,66.83,655.21,655.21,12.27,607.15,7.97,23891.57379,642.94,0.98,10.64,36.44,47.08,227.04,0.25,0,29.6
Jun-04,0,0,4.17,176.815641,12.92,12.92,0,0,2.25,1.13,2.25,4.4,72.66,87.25,0.33,0,0.02,0,0.98,4.17,1.2,27.34,28.85,0,0,71.15,0,409.74,0,47.83,0,225.55,0,0,2.79,0,0,0,0,0,0,374.98,-374.5,0.64,1.12,0,424.6,3.22,4.17,417.39,37.5,0,0.18,51328.33333,850.43,25.77,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,0,4.86,0,4.63,0,4.57,0,0,0.02,0,10.64,71.14,2.31,31.58,32.24,0,375,9.77,4.93,0,225.55,66.83,655.21,655.21,12.27,607.15,7.97,23891.57379,642.94,0.98,10.64,36.44,47.08,227.04,0.25,0,29.6
Sep-04,0,0,4.17,176.815641,12.92,12.92,0,0,2.25,1.13,2.25,4.4,72.66,128.3874969,0.33,0,0.02,0,0.98,4.17,1.2,27.34,28.85,0,0,71.15,0,419.67,0,48.01,0,225.55,0,0,2.92,0,0,0,0,0,0,374.98,-374.5,0.64,1.12,0,342.19,3.22,4.17,417.39,37.5,0,0.18,51328.33333,987.94,10.75,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,0,4.86,0,4.63,0,4.57,0,0,0.02,0,10.64,71.14,2.31,31.58,32.24,0,375,9.77,4.93,0,225.55,76.98,655.21,655.21,12.27,607.15,7.97,23891.57379,642.94,0.98,10.64,36.44,47.08,227.04,0.25,0,30.73
Dec-04,0,0,4.17,176.815641,12.92,12.92,0,0,2.25,1.13,2.25,4.4,72.66,166.9324951,0.33,0,0.02,0,0.98,4.17,1.2,27.34,28.85,0,0,71.15,0,459.21,0,48.01,0,225.55,0,0,3.08,0,0,0,0,0,0,374.98,-374.5,0.64,1.12,0,643.81,3.22,4.17,417.39,37.5,0,0.18,51328.33333,1001.35,123.06,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,0,4.86,0,4.63,0,4.57,0,0,0.02,0,10.64,71.14,2.31,31.58,32.24,0,375,9.77,4.93,0,225.55,82.78,655.21,655.21,12.27,607.15,7.97,23891.57379,642.94,0.98,10.64,36.44,47.08,227.04,0.25,0,29.63
Mar-05,0,169.39,38.15,9.11,69.17,69.17,50.28,120.28,120.74,2.25,120.74,40.92,71.9,179.0075073,407.76,0,1.71,4.83,69.15,38.15,11.5,28.1,30.14,28.05,8.54,69.86,0.03,470.36,68786.33,48.01,3079.08,1028.44,0,0,1.59,0,0,9.73,0,0,8.54,953.35,-2813.85,1978.99,118.49,22.74,426.7,2308.65,38.15,1404.42,1024.53,0,268.6,13.37,1122.13,-30.33,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.45,51.08,28.8,48.3,28.67,48.09,20.71,8.54,1.71,0,3273.04,69.85,38.53,53.86,55.14,167.7,111.01,730.92,527.58,0,908.16,53.91,4752.8,4752.8,2315.11,1352.87,0.04,23891.57379,2437.69,78.88,3273.04,48.01,3321.05,445.68,1463.45,0,42.64
Jun-05,0,169.39,38.15,9.11,69.17,69.17,50.28,120.28,120.74,2.25,120.74,40.92,71.9,169.7624969,407.76,0,1.71,4.83,69.15,38.15,11.5,28.1,30.14,28.05,8.54,69.86,0.03,504.28,68786.33,48.01,3079.08,1028.44,0,0,0.59,0,0,9.73,0,0,8.54,953.35,-2813.85,1978.99,118.49,22.74,578.86,2308.65,38.15,1404.42,1024.53,0,268.6,13.37,1052.55,26.26,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.45,51.08,28.8,48.3,28.67,48.09,20.71,8.54,1.71,0,3273.04,69.85,38.53,53.86,55.14,167.7,111.01,730.92,527.58,0,908.16,93.43,4752.8,4752.8,2315.11,1352.87,0.04,23891.57379,2437.69,78.88,3273.04,48.01,3321.05,445.68,1463.45,0,46.61
Sep-05,0,169.39,38.15,9.11,69.17,69.17,50.28,120.28,120.74,2.25,120.74,40.92,71.9,185.2949982,407.76,0,1.71,4.83,69.15,38.15,11.5,28.1,30.14,28.05,8.54,69.86,0.03,989.37,68786.33,48.01,3079.08,1028.44,0,0,0.08,0,0,9.73,0,0,8.54,953.35,-2813.85,1978.99,118.49,22.74,620.32,2308.65,38.15,1404.42,1024.53,0,268.6,13.37,759.09,11.24,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.45,51.08,28.8,48.3,28.67,48.09,20.71,8.54,1.71,0,3273.04,69.85,38.53,53.86,55.14,167.7,111.01,730.92,527.58,0,908.16,90.54,4752.8,4752.8,2315.11,1352.87,0.04,23891.57379,2437.69,78.88,3273.04,48.01,3321.05,445.68,1463.45,0,56.33
Dec-05,0,169.39,38.15,9.11,69.17,69.17,50.28,120.28,120.74,2.25,120.74,40.92,71.9,212.8574982,407.76,0,1.71,4.83,69.15,38.15,11.5,28.1,30.14,28.05,8.54,69.86,0.03,1086.86,68786.33,48.01,3079.08,1028.44,0,0,1.24,0,0,9.73,0,0,8.54,953.35,-2813.85,1978.99,118.49,22.74,679.65,2308.65,38.15,1404.42,1024.53,0,268.6,13.37,808.59,7.74,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.45,51.08,28.8,48.3,28.67,48.09,20.71,8.54,1.71,0,3273.04,69.85,38.53,53.86,55.14,167.7,111.01,730.92,527.58,0,908.16,88.34,4752.8,4752.8,2315.11,1352.87,0.04,23891.57379,2437.69,78.88,3273.04,48.01,3321.05,445.68,1463.45,0,63.25
Mar-06,0,151.26,55.53,9.11,114.64,114.64,122.02,280,171.17,176.27,171.17,60.79,77.8,239.4375,851.64,0,2.29,28.46,67.34,55.53,13.5,22.2,24.31,28.03,8.33,75.69,0.03,1232.45,93523.69,48.93,4427.57,1449.78,2.25,12.71,1.22,22.94,489.56,8.98,0,0,8.34,-882.3,-1464.97,2344.42,-5.1,24.19,750.06,3074.35,55.53,1963.52,1583.63,0,434.81,26.03,982.97,6.95,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,29.7,68.18,27.41,62.92,27.37,62.83,16.7,8.34,2.28,96.28,5560.4,75.68,36.59,47.78,48.43,229.52,26.52,1462.11,540.54,0,1157.07,50.05,7424.61,7424.61,3982.85,1738.96,0.01,23891.57379,3441.76,76.32,5560.4,48.93,5609.33,737.09,2326.63,0,75.41
Jun-06,0,151.26,55.53,9.11,114.64,114.64,122.02,280,171.17,176.27,171.17,60.79,77.8,217.3450012,851.64,0,2.29,28.46,67.34,55.53,13.5,22.2,24.31,28.03,8.33,75.69,0.03,1429.75,93523.69,48.93,4427.57,1449.78,2.25,12.71,0.09,22.94,489.56,8.98,0,0,8.34,-882.3,-1464.97,2344.42,-5.1,24.19,796.69,3074.35,55.53,1963.52,1583.63,0,434.81,26.03,1091.26,31.66,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,29.7,68.18,27.41,62.92,27.37,62.83,16.7,8.34,2.28,96.28,5560.4,75.68,36.59,47.78,48.43,229.52,26.52,1462.11,540.54,0,1157.07,79.41,7424.61,7424.61,3982.85,1738.96,0.01,23891.57379,3441.76,76.32,5560.4,48.93,5609.33,737.09,2326.63,0,68.7
