Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Increase/Decrease in Stocks,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Earnings,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Mar-04,0,97.08,39.31,45.38,150.7,150.7,0,139.71,290.09,409.7,290.09,45.82,36.71,51.04500198,387.99,0,1.13,31.55,0,39.31,29,63.29,73.78,25.48,6.12,26.22,0.03,257,31450.76,46.6,2122.32,794.73,0,-1.190140845,13.72,1.1,102.08,50.3,6.11,0,0,6.16,28.57,-1062.09,913.91,-119.61,17.81,259,1082.27,39.31,2456.03,654.63,0,603.75,3831.66,467,36.8,0,0,0,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,24.03,53.03,21.08,46.52,21.01,46.37,9.02,6.16,1.07,270.73,3461.04,26.21,17.29,26.03,26.08,220.61,94.58,552.34,824.57,0,641.29,74.4,5289.17,5289.17,2006.85,1775.47,0.03,10700.14265,3282.32,6.11,3461.04,46.55,3507.59,252.57,1062.34,0,44.3
Jun-04,0,97.08,39.31,45.38,150.7,150.7,0,139.71,290.09,409.7,290.09,45.82,36.71,59.86125183,387.99,0,1.13,31.55,0,39.31,29,63.29,73.78,25.48,6.12,26.22,0.03,4698.173418,31450.76,139.7,2122.32,794.73,0,-1.190140845,13.72,1,102.08,50.3,6.11,0,0,6.16,28.57,-1062.09,913.91,-119.61,17.81,326.8,1082.27,39.31,2456.03,654.63,0,603.75,3831.66,749.7,26.8,0,0,0,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,24.03,53.03,21.08,46.52,21.01,46.37,9.02,6.16,1.07,270.73,3461.04,26.21,17.29,26.03,26.08,220.61,94.58,552.34,824.57,0,641.29,59.8,5289.17,5289.17,2006.85,1775.47,0.03,10700.14265,3282.32,6.11,3461.04,46.55,3507.59,252.57,1062.34,0,37.2
Sep-04,0,97.08,39.31,45.38,150.7,150.7,0,139.71,290.09,409.7,290.09,45.82,36.71,67.13999939,387.99,0,1.13,31.55,0,39.31,29,63.29,73.78,25.48,6.12,26.22,0.03,671.3,31450.76,139.8,2122.32,794.73,0,-1.190140845,13.72,1.7,102.08,50.3,6.11,0,0,6.16,28.57,-1062.09,913.91,-119.61,17.81,370.1,1082.27,39.31,2456.03,654.63,0,603.75,3831.66,165.2,16.9,0,0,0,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,24.03,53.03,21.08,46.52,21.01,46.37,9.02,6.16,1.07,270.73,3461.04,26.21,17.29,26.03,26.08,220.61,94.58,552.34,824.57,0,641.29,66.7,5289.17,5289.17,2006.85,1775.47,0.03,10700.14265,3282.32,6.11,3461.04,46.55,3507.59,252.57,1062.34,0,42.6
Dec-04,0,97.08,39.31,45.38,150.7,150.7,0,139.71,290.09,409.7,290.09,45.82,36.71,84.24000549,387.99,0,1.13,31.55,0,39.31,29,63.29,73.78,25.48,6.12,26.22,0.03,771.6,31450.76,140.4,2122.32,794.73,0,-1.190140845,13.72,1.9,102.08,50.3,6.11,0,0,6.16,28.57,-1062.09,913.91,-119.61,17.81,376.5,1082.27,39.31,2456.03,654.63,0,603.75,3831.66,128.5,18.7,0,0,0,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,24.03,53.03,21.08,46.52,21.01,46.37,9.02,6.16,1.07,270.73,3461.04,26.21,17.29,26.03,26.08,220.61,94.58,552.34,824.57,0,641.29,70,5289.17,5289.17,2006.85,1775.47,0.03,10700.14265,3282.32,6.11,3461.04,46.55,3507.59,252.57,1062.34,0,49.8
Mar-05,0,108.1,21.25,138.51,69.54,69.54,0,250.24,536.9,290.09,536.9,23.89,79.08,75.48188019,676.65,0,1.48,34.56,2.7,21.25,5,20.92,23.53,23.99,6.46,76.47,0.03,792.4,46741.78,140.7,3654.94,1158.2,0,-1.190140845,15.72,1,127.37,56.79,5.7,0,0,6.53,-550.61,-874.58,1666.42,246.8,20.66,421.4,1757.02,21.25,2859.51,782.71,0,884.45,5363.44,154.7,28.9,0,0,11.38,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,26.93,27.7,24.36,25.05,24.29,24.97,9.65,6.53,1.4,249.7,4751.73,76.46,22.34,30.49,30.55,102.81,56.4,556.14,523.7,0,892.24,65.7,6690.57,6690.57,2638.3,1788.53,0.01,10700.14265,4052.27,8.4,4751.73,140.71,4892.44,323.98,1406.51,0,56.4
Jun-05,0,108.1,21.25,138.51,69.54,69.54,0,250.24,536.9,290.09,536.9,23.89,79.08,86.20875549,676.65,0,1.48,34.56,2.7,21.25,5,20.92,23.53,23.99,6.46,76.47,0.03,902.5,46741.78,141,3654.94,1158.2,0,-1.190140845,15.72,0.6,127.37,56.79,5.7,0,0,6.53,-550.61,-874.58,1666.42,246.8,20.66,404.9,1757.02,21.25,2859.51,782.71,0,884.45,5363.44,96.1,8.3,0,0,11.38,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,26.93,27.7,24.36,25.05,24.29,24.97,9.65,6.53,1.4,249.7,4751.73,76.46,22.34,30.49,30.55,102.81,56.4,556.14,523.7,0,892.24,62.1,6690.57,6690.57,2638.3,1788.53,0.01,10700.14265,4052.27,8.4,4751.73,140.71,4892.44,323.98,1406.51,0,56.3
Sep-05,0,108.1,21.25,138.51,69.54,69.54,0,250.24,536.9,290.09,536.9,23.89,79.08,83.5762558,676.65,0,1.48,34.56,2.7,21.25,5,20.92,23.53,23.99,6.46,76.47,0.03,962.9,46741.78,283,3654.94,1158.2,0,12.8,15.72,0.3,127.37,56.79,5.7,0,0,6.53,-550.61,-874.58,1666.42,246.8,20.66,453,1757.02,21.25,2859.51,782.71,0,884.45,5363.44,132.5,38.6,0,0,11.38,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,26.93,27.7,24.36,25.05,24.29,24.97,9.65,6.53,1.4,249.7,4751.73,76.46,22.34,30.49,30.55,102.81,56.4,556.14,523.7,0,892.24,82.4,6690.57,6690.57,2638.3,1788.53,0.01,10700.14265,4052.27,8.4,4751.73,140.71,4892.44,323.98,1406.51,0,58.5
Dec-05,0,108.1,21.25,138.51,69.54,69.54,0,250.24,536.9,290.09,536.9,23.89,79.08,104.2537537,676.65,0,1.48,34.56,2.7,21.25,5,20.92,23.53,23.99,6.46,76.47,0.03,1048.8,46741.78,284.1,3654.94,1158.2,0,-1.190140845,15.72,1.9,127.37,56.79,5.7,0,0,6.53,-550.61,-874.58,1666.42,246.8,20.66,505.1,1757.02,21.25,2859.51,782.71,0,884.45,5363.44,243.5,35.9,0,0,11.38,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,26.93,27.7,24.36,25.05,24.29,24.97,9.65,6.53,1.4,249.7,4751.73,76.46,22.34,30.49,30.55,102.81,56.4,556.14,523.7,0,892.24,85.1,6690.57,6690.57,2638.3,1788.53,0.01,10700.14265,4052.27,8.4,4751.73,140.71,4892.44,323.98,1406.51,0,60.4
Mar-06,0,110.36,14.17,279.69,45.03,45.03,0,612.36,823,545.38,823,16.22,69.18,125.9325027,509.18,0,1.43,38.14,0,14.17,5,30.82,35.28,29.92,7.71,64.72,0.03,1364.8,78862.7,285.2,3081.66,1730.61,0,-1.190140845,15.87,0.3,148.65,68.8,5.27,0,0,7.79,59.8,-1694.42,1912.25,277.63,19.75,657.5,2340.43,14.17,3459.2,514.23,0,1413.95,7067.84,508.2,48.9,0,0,0,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,25.77,18.49,22.91,16.44,22.88,16.42,12.4,7.79,1.37,386.38,6135.3,64.71,21.8,31.4,31.46,71.73,44.89,1098.82,1011.56,0,1102.38,90.4,9266.49,9266.49,4038.54,2833.28,0.01,10700.14265,5227.95,5.27,6135.3,285.15,6420.45,362.88,1968.07,0,117.1
Jun-06,0,110.36,14.17,279.69,45.03,45.03,0,612.36,823,545.38,823,16.22,69.18,115.5037537,509.18,0,1.43,38.14,0,14.17,5,30.82,35.28,29.92,7.71,64.72,0.03,1276.9,78862.7,286.4,3081.66,1730.61,0,-1.190140845,15.87,0.1,148.65,68.8,5.27,0,0,7.79,59.8,-1694.42,1912.25,277.63,19.75,619.1,2340.43,14.17,3459.2,514.23,0,1413.95,7067.84,294.1,50.3,0,0,0,1829.364706,2341.161765,2445.560294,1965.935294,2341.161765,25.77,18.49,22.91,16.44,22.88,16.42,12.4,7.79,1.37,386.38,6135.3,64.71,21.8,31.4,31.46,71.73,44.89,1098.82,1011.56,0,1102.38,98,9266.49,9266.49,4038.54,2833.28,0.01,10700.14265,5227.95,5.27,6135.3,285.15,6420.45,362.88,1968.07,0,81.1
