0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,2946.11,,--,2254.94,104.59,--,69.79,29.98,--,--,--,--,--,444.80,42.01,106.71,148.72,78.21,70.51,--,70.51,-32.13,102.64,--,--,102.64,109.98,--,--,,0.93,0.93,,0.93,0.93,,--,--,,,--,--,--,,--,--,--
Dec '19,--,3825.64,,--,3048.07,-209.49,--,70.23,29.97,--,--,--,--,--,544.99,341.87,81.27,423.14,108.63,314.51,--,314.51,106.43,208.08,--,--,208.08,109.98,--,--,,1.89,1.89,,1.89,1.89,,--,--,,,--,--,--,,--,--,--
Mar '20,--,4000.59,,--,3539.59,-408.80,--,70.53,30.99,--,--,--,--,--,912.90,-144.62,145.71,1.09,114.15,-113.06,--,-113.06,-32.46,-80.60,--,--,-80.60,109.98,--,--,,-0.73,-0.73,,-0.73,-0.73,,--,--,,,--,--,--,,--,--,--
Jun '20,--,1991.84,,--,1385.03,254.78,--,84.47,30.48,--,--,--,--,--,312.74,-75.66,109.15,33.49,110.20,-76.71,--,-76.71,4.63,-81.34,--,--,-81.34,109.98,--,--,,-0.74,-0.74,,-0.74,-0.74,,--,--,,,--,--,--,,--,--,--
Sep '20,--,2576.25,,--,1713.08,235.27,--,93.50,30.55,--,--,--,--,--,258.86,244.99,136.98,381.97,114.55,267.42,--,267.42,61.26,206.16,--,--,206.16,109.98,--,--,,1.87,1.87,,1.87,1.87,,--,--,,,--,--,--,,--,--,--
Dec '20,--,4078.92,,--,3706.56,-442.30,--,70.91,30.43,--,--,--,--,--,408.86,304.46,104.81,409.27,150.70,258.57,-79.44,179.13,61.96,117.17,--,--,117.17,109.98,--,--,,1.07,1.07,,1.07,1.07,,--,--,,,--,--,--,,--,--,--
Mar '21,--,4711.73,,--,3320.36,386.28,--,63.28,30.05,--,--,--,--,--,503.41,408.35,40.98,449.33,130.48,318.85,-133.41,185.44,58.60,126.84,--,--,126.84,109.98,--,--,,1.15,1.15,,1.15,1.15,,--,--,,,--,--,--,,--,--,--
Jun '21,--,4989.53,,--,4676.67,-714.28,--,83.13,30.03,--,--,--,--,--,500.56,413.42,103.41,516.83,114.75,402.08,--,402.08,145.31,256.77,--,--,256.77,109.98,--,--,,2.33,2.33,,2.33,2.33,,--,--,,,--,--,--,,--,--,--
Sep '21,--,4966.74,,--,4444.75,-475.83,--,98.02,30.48,--,--,--,--,--,448.64,420.68,129.37,550.05,131.28,418.77,--,418.77,145.07,273.70,--,--,273.70,109.98,--,--,,2.49,2.49,,2.49,2.49,,--,--,,,--,--,--,,--,--,--
Dec '21,--,8059.90,,--,8327.94,-918.11,--,99.05,30.83,--,--,--,--,--,540.20,-20.01,114.71,94.70,144.64,-49.94,--,-49.94,-13.48,-36.46,--,--,-36.46,109.98,--,--,,-0.33,-0.33,,-0.33,-0.33,,--,--,,,--,--,--,,--,--,--
Mar '22,--,8807.88,,--,9158.96,-1635.09,--,101.63,33.39,--,--,--,--,--,781.99,367.00,156.01,523.01,180.66,342.35,--,342.35,115.65,226.70,--,--,226.70,109.98,--,--,,2.06,2.06,,2.06,2.06,,--,--,,,--,--,--,,--,--,--
Jun '22,--,20318.47,,--,22582.19,-4845.73,--,235.78,32.20,--,--,--,--,--,1784.52,529.51,223.17,752.68,151.24,601.44,--,601.44,158.50,442.94,--,--,442.94,114.00,--,--,,3.95,3.95,,3.95,3.95,,--,--,,,--,--,--,,--,--,--
Sep '22,--,22136.67,,--,16886.28,2380.40,--,125.72,33.23,--,--,--,--,--,2215.33,495.71,300.78,796.49,161.46,635.03,--,635.03,165.83,469.20,--,--,469.20,114.00,--,--,,4.11,4.11,,4.11,4.11,,--,--,,,--,--,--,,--,--,--
Dec '22,--,12142.15,,--,8442.14,2030.24,--,140.36,31.90,--,--,--,--,--,1287.00,210.51,373.25,583.76,210.50,373.26,--,373.26,103.55,269.71,--,--,269.71,114.00,--,--,,2.36,2.36,,2.36,2.36,,--,--,,,--,--,--,,--,--,--
Mar '23,--,12727.42,,--,9311.81,1193.03,--,150.04,33.71,--,--,--,--,--,1591.45,447.38,370.31,817.69,142.01,675.68,-71.67,604.01,163.13,440.88,--,--,440.88,114.00,--,--,,3.87,3.87,,3.87,3.87,,--,--,,,--,--,--,,--,--,--
Jun '23,--,11293.12,,--,8076.32,1202.97,--,199.62,34.39,--,--,--,--,--,1230.33,549.49,356.53,906.02,117.15,788.87,--,788.87,201.59,587.28,--,--,587.28,114.00,--,--,,5.15,5.15,,5.15,5.15,,--,--,,,--,--,--,,--,--,--
Sep '23,--,9313.00,,--,6626.11,815.04,--,177.39,35.28,--,--,--,--,--,1095.09,564.09,587.09,1151.18,145.98,1005.20,--,1005.20,243.41,761.79,--,--,761.79,114.00,--,--,,6.68,6.68,,6.68,6.68,,--,--,,,--,--,--,,--,--,--
Dec '23,--,11246.93,,--,9657.12,-715.69,--,154.01,35.51,--,--,--,--,--,1360.65,755.33,377.11,1132.44,167.90,964.54,--,964.54,246.08,718.46,--,--,718.46,114.00,--,--,,6.31,6.31,,6.31,6.31,,--,--,,,--,--,--,,--,--,--
Mar '24,--,9210.18,,--,6671.23,-214.72,--,171.14,37.41,--,--,--,--,--,1647.32,897.80,346.48,1244.28,207.82,1036.46,--,1036.46,261.20,775.26,--,1.45,776.71,114.00,--,--,,6.81,6.81,,6.81,6.81,,--,--,,,--,--,--,,--,--,--
Jun '24,--,7800.75,,--,5375.35,193.30,--,312.59,37.57,--,--,--,--,--,1209.00,672.94,321.13,994.07,172.72,821.35,--,821.35,215.33,606.02,--,-3.76,602.26,114.00,--,--,,5.28,5.28,,5.28,5.28,,--,--,,,--,--,--,,--,--,--
