0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,19666.00,,--,--,--,--,10604.00,542.00,--,--,--,--,--,3973.00,4547.00,604.00,5151.00,28.00,5123.00,--,5123.00,1294.00,3829.00,--,--,3829.00,2129.00,60533.00,--,,8.97,8.96,,8.97,8.96,,--,--,,,--,--,--,,--,--,--
Dec '19,--,20064.00,,--,--,--,--,10783.00,544.00,--,--,--,--,--,4102.00,4635.00,798.00,5433.00,28.00,5405.00,--,5405.00,1329.00,4076.00,--,--,4076.00,2129.00,--,--,,9.57,9.57,,9.57,9.57,,--,--,,,--,--,--,,--,--,--
Mar '20,--,20187.00,,--,--,--,--,10666.00,548.00,--,--,--,--,--,4399.00,4574.00,585.00,5159.00,31.00,5128.00,--,5128.00,1059.00,4069.00,--,--,4069.00,2129.00,60105.00,--,,9.55,9.55,,9.55,9.55,,--,--,,,--,--,--,,--,--,--
Jun '20,--,20325.00,,--,--,--,--,11222.00,546.00,--,--,--,--,--,3626.00,4931.00,478.00,5409.00,31.00,5378.00,--,5378.00,1370.00,4008.00,--,--,4008.00,2129.00,60105.00,--,,9.41,9.41,,9.41,9.41,,--,--,,,--,--,--,,--,--,--
Sep '20,--,21046.00,,--,--,--,--,11053.00,608.00,--,--,--,--,--,3773.00,5612.00,582.00,6194.00,31.00,6163.00,--,6163.00,1666.00,4497.00,--,--,4497.00,2129.00,60105.00,--,,10.56,10.55,,10.56,10.55,,--,--,,,--,--,--,,--,--,--
Dec '20,--,22043.00,,--,--,--,--,11371.00,589.00,--,--,--,--,--,4060.00,6023.00,903.00,6926.00,32.00,6894.00,--,6894.00,1811.00,5083.00,--,--,5083.00,2129.00,60105.00,--,,11.93,11.93,,11.94,11.93,,--,--,,,--,--,--,,--,--,--
Mar '21,--,22497.00,,--,--,--,--,11532.00,578.00,--,--,--,--,--,4818.00,5569.00,504.00,6073.00,33.00,6040.00,--,6040.00,1581.00,4459.00,--,--,4459.00,2130.00,69401.00,--,,10.47,10.46,,10.47,10.46,,--,--,,,--,--,--,,--,--,--
Jun '21,--,23714.00,,--,--,--,--,12191.00,576.00,--,--,--,--,--,4992.00,5955.00,570.00,6525.00,32.00,6493.00,--,6493.00,1770.00,4723.00,--,--,4723.00,2128.00,69401.00,--,,11.08,11.07,,11.08,11.07,,--,--,,,--,--,--,,--,--,--
Sep '21,--,25462.00,,--,--,--,--,12734.00,601.00,--,--,--,--,--,5844.00,6283.00,1052.00,7335.00,32.00,7303.00,--,7303.00,1840.00,5463.00,--,--,5463.00,2102.00,69401.00,--,,12.93,12.92,,12.99,12.92,,--,--,,,--,--,--,,--,--,--
Dec '21,--,27337.00,,--,--,--,--,13275.00,631.00,--,--,--,--,--,6622.00,6809.00,1013.00,7822.00,33.00,7789.00,--,7789.00,1919.00,5870.00,--,--,5870.00,2102.00,69401.00,--,,13.96,13.94,,13.96,13.94,,--,--,,,--,--,--,,--,--,--
