0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Mar '08,--,3919.06,,--,--,81.35,--,13.90,2.95,--,--,--,--,--,3645.05,175.81,2.85,178.66,72.23,106.43,--,106.43,-1.16,107.59,--,0.38,107.97,24.65,--,--,,--,--,,--,--,,6.16,25.00,,,--,--,--,,--,--,--
Jun '08,--,2394.80,,--,--,2.36,--,12.61,2.89,--,--,--,--,--,2215.33,161.61,1.13,162.74,78.05,84.69,--,84.69,17.46,67.23,--,-0.26,66.97,24.66,--,--,,--,--,,--,--,,6.18,25.04,,,--,--,--,,--,--,--
Sep '08,--,3115.23,,--,--,72.68,--,17.87,2.98,--,--,--,--,--,2873.05,148.65,5.23,153.88,91.81,62.07,--,62.07,-0.83,62.90,--,3.90,66.80,24.66,--,--,,--,--,,--,--,,6.19,25.08,,,--,--,--,,--,--,--
Dec '08,--,3174.50,,--,--,392.21,--,9.24,2.98,--,--,--,--,--,2627.29,142.78,2.30,145.08,79.86,65.22,--,65.22,9.10,56.12,--,-0.18,55.94,24.66,--,--,,--,--,,--,--,,6.19,25.09,,,--,--,--,,--,--,--
Mar '09,--,2890.52,,--,--,89.88,--,23.01,3.23,--,--,--,--,--,2648.06,126.34,4.18,130.52,-35.29,165.81,--,165.81,22.45,143.36,--,-6.65,136.71,24.66,--,--,,--,--,,--,--,,6.19,25.09,,,--,--,--,,--,--,--
Jun '09,--,2722.77,,--,--,-230.43,--,10.34,3.02,--,--,--,--,--,2786.02,153.82,2.89,156.71,69.28,87.43,--,87.43,8.68,78.75,--,-0.02,78.73,24.66,--,--,,--,--,,--,--,,6.19,25.09,,,--,--,--,,--,--,--
Sep '09,--,3077.87,,--,--,-64.54,--,11.04,3.03,--,--,--,--,--,2979.20,149.14,10.28,159.42,70.72,88.70,--,88.70,15.53,73.17,--,14.72,87.89,24.73,--,--,,--,--,,--,--,,6.26,25.31,,,--,--,--,,--,--,--
Dec '09,--,2801.06,,--,--,170.43,--,8.33,3.06,--,--,--,--,--,2533.44,85.80,7.20,93.00,45.53,47.47,--,47.47,12.72,34.75,--,-4.26,30.49,49.60,--,--,,--,--,,--,--,,12.65,25.51,,,--,--,--,,--,--,--
Mar '10,--,2983.08,,--,--,197.42,--,8.72,3.65,--,--,--,--,--,2692.79,80.50,9.73,90.23,30.89,59.34,--,59.34,-3.59,62.93,--,-5.63,57.30,49.80,--,--,,--,--,,--,--,,12.85,25.81,,,--,--,--,,--,--,--
Jun '10,2.14,834.24,,--,780.34,-129.86,--,20.89,2.58,--,--,--,--,--,125.41,34.88,99.45,134.33,30.43,103.90,--,103.90,18.33,85.57,--,-1.41,84.16,53.70,--,--,,1.60,1.53,,1.60,1.53,,14.06,26.18,,,1.67,4.22,3.11,,37.97,95.78,70.70
