0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '07,--,205.35,,--,--,--,--,6.22,26.89,--,18.18,--,--,--,56.44,97.62,4.65,102.27,30.67,71.60,--,71.60,19.16,52.44,--,--,52.44,400.68,--,--,,--,--,,--,--,,7.49,18.70,,,--,--,--,,--,--,--
Mar '08,--,328.65,,--,--,--,--,8.71,29.15,--,25.58,--,--,--,59.46,205.75,20.91,226.66,31.95,194.71,--,194.71,103.61,91.10,--,--,91.10,400.68,--,--,,--,--,,--,--,,7.49,18.70,,,--,--,--,,--,--,--
Jun '08,--,253.73,,--,--,--,--,8.61,31.16,--,22.39,--,--,--,45.64,145.93,20.04,165.97,39.60,126.36,--,126.36,29.56,96.80,--,--,96.80,400.68,--,--,,--,--,,--,--,,7.49,18.70,,,--,--,--,,--,--,--
Sep '08,--,296.00,,--,--,--,--,8.73,32.18,--,17.62,--,--,--,64.05,173.42,7.78,181.20,55.18,126.02,--,126.02,13.74,112.28,--,--,112.28,400.68,--,--,,--,--,,--,--,,7.49,18.70,,,--,--,--,,--,--,--
Dec '08,--,300.89,,--,--,--,--,8.91,34.75,--,15.87,--,--,--,87.28,154.08,2.39,156.47,49.51,106.95,--,106.95,6.14,100.81,--,--,100.81,400.68,--,--,,--,--,,--,--,,7.53,18.79,,,--,--,--,,--,--,--
Mar '09,--,284.51,,--,--,--,--,10.46,39.14,--,44.01,--,--,--,64.44,126.46,16.90,143.35,-11.35,154.70,--,154.70,3.51,151.19,--,--,151.19,400.68,--,--,,--,--,,--,--,,7.53,18.80,,,--,--,--,,--,--,--
Jun '09,--,306.77,,--,--,--,--,11.30,35.78,--,--,--,--,--,75.36,184.33,14.58,198.91,13.35,185.56,--,185.56,14.80,170.76,--,--,170.76,400.68,--,--,,--,--,,--,--,,7.60,18.96,,,--,--,--,,--,--,--
Sep '09,--,327.37,,--,--,--,--,12.68,38.92,--,--,--,--,--,80.97,194.79,9.97,204.76,20.35,184.41,--,184.41,9.62,174.79,--,--,174.79,400.68,--,--,,--,--,,--,--,,7.60,18.96,,,--,--,--,,--,--,--
Dec '09,--,337.84,,--,--,--,--,14.18,43.31,--,--,--,--,--,90.61,189.75,1.86,191.61,8.06,183.55,--,183.55,20.29,163.26,--,--,163.26,400.68,--,--,,--,--,,--,--,,7.60,18.96,,,--,--,--,,--,--,--
Mar '10,--,420.54,,--,--,--,--,15.92,50.13,--,--,--,--,--,152.52,201.98,4.67,206.64,-0.30,206.94,--,206.94,14.76,192.18,--,--,192.18,400.68,3084.76,--,,--,--,,--,--,,7.95,19.83,,,--,--,--,,--,--,--
Jun '10,--,415.65,,--,--,--,--,14.72,47.63,--,--,--,--,--,111.40,241.92,0.77,242.68,24.68,218.00,--,218.00,6.70,211.30,--,--,211.30,400.68,--,--,,5.27,5.27,,5.27,5.27,,9.02,22.50,,,1.36,4.39,3.40,,29.69,95.61,74.10
Sep '10,--,413.51,,--,--,--,--,19.36,48.48,--,--,--,--,--,120.43,225.24,9.48,234.72,9.16,225.56,--,225.56,13.89,211.67,--,--,211.67,400.68,--,--,,--,--,,--,--,,45.09,22.50,,,--,--,--,,--,--,--
Dec '10,--,450.77,,--,--,--,--,14.83,53.12,--,--,--,--,--,126.13,256.69,0.87,257.57,13.27,244.30,--,244.30,15.84,228.47,--,--,228.47,400.68,--,--,,--,--,,--,--,,45.09,22.50,,,--,--,--,,--,--,--
Mar '11,31.41,604.94,,--,--,--,--,16.92,58.64,--,--,--,--,--,146.39,382.98,42.93,425.91,36.88,389.02,--,389.02,54.29,334.73,--,--,334.73,400.68,--,--,,1.67,1.67,,1.67,1.67,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Jun '11,13.55,529.62,,--,--,--,--,20.57,58.71,--,--,--,--,--,146.18,304.17,0.41,304.58,33.15,271.43,--,271.43,17.06,254.37,--,--,254.37,400.68,--,--,,1.27,1.27,,1.27,1.27,,46.09,22.50,,,--,--,--,,155.25,100.00,77.50
Sep '11,31.96,619.72,,--,--,--,--,23.66,67.86,--,--,--,--,--,185.45,342.76,6.68,349.44,46.44,303.00,--,303.00,29.58,273.42,--,--,273.42,400.68,--,--,,1.36,1.36,,1.36,1.36,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Dec '11,35.25,690.62,,--,--,--,--,23.04,70.19,--,--,--,--,--,186.15,411.23,2.82,414.05,78.31,335.75,--,335.75,25.15,310.60,--,--,310.60,400.68,--,--,,1.55,1.55,,1.55,1.55,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Mar '12,24.78,641.88,,--,--,--,--,21.65,76.74,--,--,--,--,--,162.69,380.80,8.35,389.15,29.74,359.41,--,359.41,20.53,338.88,--,--,338.88,400.68,--,--,,1.69,1.69,,1.69,1.69,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Jun '12,15.59,789.41,,--,--,--,--,24.64,77.74,--,--,--,--,--,164.74,522.29,21.53,543.82,109.63,434.19,--,434.19,15.77,418.42,--,--,418.42,400.68,--,--,,2.09,2.09,,2.09,2.09,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Sep '12,66.69,764.27,,--,--,--,--,30.98,81.02,--,--,--,--,--,162.36,489.91,30.57,520.48,52.46,468.02,--,468.02,38.46,429.56,--,--,429.56,400.68,--,--,,2.14,2.14,,2.14,2.14,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Dec '12,23.95,892.18,,--,--,--,--,24.44,91.47,--,--,--,--,--,215.77,560.50,35.18,595.68,158.16,437.52,--,437.52,22.09,415.43,--,--,415.43,400.68,--,--,,2.07,2.07,,2.07,2.07,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Mar '13,143.68,915.19,,--,--,--,--,24.32,97.22,--,--,--,--,--,238.51,555.14,115.97,671.11,121.65,549.46,--,549.46,58.69,490.77,--,--,490.77,400.68,--,--,,2.45,2.45,,2.45,2.45,,45.09,22.50,,,--,--,--,,155.25,100.00,77.50
Jun '13,79.01,1717.79,,--,--,--,--,24.77,104.70,--,--,--,--,--,709.82,878.50,86.21,964.71,277.78,686.93,--,686.93,23.78,663.15,--,--,663.15,414.01,--,--,,3.28,3.28,,3.28,3.28,,51.75,25.00,,,--,--,--,,155.25,100.00,75.00
Sep '13,83.69,877.79,,--,--,--,--,25.58,120.03,--,--,--,--,--,231.93,500.25,250.08,750.33,327.13,423.20,--,423.20,75.58,347.62,--,--,347.62,414.01,--,--,,1.68,1.68,,1.68,1.68,,51.75,25.00,,,--,--,--,,155.25,100.00,75.00
Dec '13,78.13,879.97,,--,--,--,--,37.43,121.76,--,--,--,--,--,273.81,446.97,172.04,619.01,103.21,515.80,--,515.80,38.75,477.05,--,--,477.05,414.01,--,--,,2.30,2.30,,2.30,2.30,,51.75,25.00,,,--,--,--,,155.25,100.00,72.00
Mar '14,69.15,870.23,,--,--,--,--,29.22,109.22,--,--,--,--,--,273.15,458.64,171.42,630.06,45.74,584.32,--,584.32,55.97,528.35,--,--,528.35,414.01,--,--,,2.55,2.55,,2.55,2.55,,51.75,25.00,,,3.70,2.39,1.79,,151.55,97.61,73.21
Jun '14,24.72,878.73,,--,--,--,--,29.05,119.65,--,--,--,--,--,246.91,483.12,164.06,647.18,109.88,537.30,--,537.30,32.20,505.10,--,--,505.10,414.01,--,--,,2.44,2.44,,2.44,2.44,,51.75,25.00,,,8.33,5.36,4.02,,146.92,94.64,70.98
Sep '14,260.77,1110.27,,--,--,--,--,40.15,122.99,--,--,--,--,--,328.42,618.71,169.06,787.77,227.48,560.29,--,560.29,30.92,529.37,--,--,529.37,414.01,--,--,,2.56,2.56,,2.56,2.56,,51.75,25.00,,,12.13,7.81,5.86,,143.12,92.19,69.14
Dec '14,30.91,953.73,,--,--,--,--,49.33,125.88,--,--,--,--,--,279.59,498.93,224.96,723.89,187.84,536.05,--,536.05,-58.15,594.20,--,--,594.20,414.01,--,--,,2.87,2.87,,2.87,2.87,,51.75,25.00,,,12.13,7.81,5.86,,143.12,92.19,69.14
Mar '15,26.66,960.28,,--,--,--,--,39.03,120.10,--,--,--,--,--,280.41,520.74,177.38,698.12,183.59,514.53,--,514.53,-39.94,554.47,--,--,554.47,414.01,--,--,,2.68,2.68,,2.68,2.68,,51.75,25.00,,,12.13,7.81,5.86,,143.12,92.19,69.14
Jun '15,16.94,1065.10,,--,--,--,--,39.32,124.88,--,--,--,--,--,273.52,627.38,236.00,863.38,229.86,633.52,--,633.52,17.61,615.91,--,--,615.91,414.19,--,--,,2.97,2.97,,2.97,2.97,,90.58,43.74,,,34.99,30.03,16.90,,81.53,69.97,39.36
Sep '15,20.60,1559.67,,--,--,--,--,50.53,132.03,--,--,--,--,--,300.48,1076.63,263.02,1339.65,259.85,1079.80,--,1079.80,20.29,1059.51,--,--,1059.51,414.19,--,--,,5.12,5.12,,5.12,5.12,,--,--,,,--,--,--,,--,--,--
Dec '15,32.93,1060.31,,--,--,--,--,43.04,143.56,--,--,--,--,--,279.82,593.89,282.81,876.70,212.58,664.12,--,664.12,27.98,636.14,--,--,636.14,414.19,--,--,,3.07,3.07,,3.07,3.07,,--,--,,,--,--,--,,--,--,--
Mar '16,--,942.35,,--,--,--,--,46.03,118.85,--,--,--,--,--,279.16,498.31,382.68,880.99,152.16,728.83,--,728.83,75.51,653.32,--,--,653.32,414.19,--,--,,3.15,3.15,,3.15,3.15,,--,--,,,--,--,--,,--,--,--
Jun '16,34.35,1055.16,,--,--,--,--,49.03,135.34,--,--,--,--,--,284.89,585.90,272.00,857.90,238.22,619.68,--,619.68,16.84,602.84,--,--,602.84,414.19,--,--,,2.91,2.91,,2.91,2.91,,--,--,,,--,--,--,,--,--,--
Sep '16,23.95,1301.87,,--,--,--,--,56.65,133.31,--,--,--,--,--,254.91,857.00,295.91,1152.91,217.65,935.26,--,935.26,18.59,916.67,--,--,916.67,414.19,--,--,,4.43,4.43,,4.43,4.43,,--,--,,,--,--,--,,--,--,--
Dec '16,14.67,1324.50,,--,--,--,--,55.22,135.86,--,--,--,--,--,343.44,789.98,283.36,1073.34,264.66,808.68,-64.34,744.34,--,744.34,--,--,744.34,414.19,--,--,,3.59,3.59,,3.59,3.59,,--,--,,,--,--,--,,--,--,--
Mar '17,--,1234.85,,--,--,--,--,50.09,136.20,--,--,--,--,--,98.73,949.83,395.88,1345.71,416.39,929.32,--,929.32,91.83,837.49,--,--,837.49,414.19,--,--,,4.04,4.04,,4.04,4.04,,--,--,,,--,--,--,,--,--,--
Jun '17,--,1805.77,,--,--,--,--,55.85,126.43,--,--,--,--,--,622.72,1000.77,340.87,1341.64,384.00,957.64,--,957.64,366.93,590.71,--,--,590.71,414.19,--,--,,2.85,2.85,,2.85,2.85,,--,--,,,--,--,--,,--,--,--
Sep '17,--,1526.74,,--,--,--,--,42.87,120.84,--,--,--,--,--,323.59,1039.44,380.50,1419.94,367.47,1052.47,--,1052.47,370.62,681.85,--,--,681.85,414.19,--,--,,3.29,3.29,,3.29,3.29,,--,--,,,--,--,--,,--,--,--
Dec '17,--,1417.28,,--,--,--,--,46.67,113.88,--,--,--,--,--,109.91,1146.82,407.59,1554.41,314.54,1239.87,-297.38,942.49,416.50,525.99,--,--,525.99,414.19,--,--,,2.54,2.54,,2.54,2.54,,--,--,,,--,--,--,,--,--,--
Mar '18,--,1944.35,,--,--,--,--,48.39,116.55,--,--,--,--,--,850.83,928.58,478.36,1406.94,390.87,1016.07,--,1016.07,315.48,700.59,--,--,700.59,414.19,--,--,,3.38,3.38,,3.38,3.38,,--,--,,,--,--,--,,--,--,--
Jun '18,--,1081.23,,--,--,--,--,52.11,114.69,--,--,--,--,--,588.75,325.68,452.32,778.00,222.72,555.28,--,555.28,195.92,359.36,--,--,359.36,414.19,--,--,,1.74,1.74,,1.74,1.74,,--,--,,,--,--,--,,--,--,--
Sep '18,--,1203.27,,--,--,--,--,56.16,121.88,--,--,--,--,--,783.14,242.09,852.45,1094.54,250.17,844.37,--,844.37,156.81,687.56,--,--,687.56,414.19,--,--,,3.32,3.32,,3.32,3.32,,--,--,,,--,--,--,,--,--,--
Dec '18,--,1457.60,,--,--,--,--,51.26,111.49,--,--,--,--,--,59.80,1235.05,465.78,1700.83,457.59,1243.24,--,1243.24,326.92,916.32,--,--,916.32,414.19,--,--,,4.42,4.42,,4.42,4.42,,--,--,,,--,--,--,,--,--,--
Mar '19,--,1594.28,,--,--,--,--,71.36,126.15,--,--,--,--,--,335.11,1061.66,572.35,1634.01,491.36,1142.65,-121.90,1020.75,346.27,674.48,--,--,674.48,414.19,--,--,,3.26,3.26,,3.26,3.26,,--,--,,,--,--,--,,--,--,--
