0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '07,--,289.10,,151.20,--,--,--,43.90,9.30,--,40.90,--,--,--,9.70,34.10,8.00,42.10,6.20,35.90,--,35.90,9.60,26.30,--,--,26.30,58.60,--,--,,--,--,,--,--,,3.77,64.25,,,--,--,--,,--,--,--
Mar '08,--,304.00,,159.50,--,--,--,48.50,10.20,--,46.70,--,--,--,10.00,29.10,7.80,36.90,5.00,31.90,--,31.90,8.70,23.20,-1.30,--,23.20,58.60,--,--,,--,--,,--,--,,3.77,64.25,,,--,--,--,,--,--,--
Jun '08,--,329.07,,174.01,--,--,--,48.30,9.78,--,42.06,--,--,--,10.57,44.35,3.87,48.22,4.00,44.22,--,44.22,14.95,29.27,--,--,29.27,58.68,--,--,,--,--,,--,--,,3.78,64.36,,,--,--,--,,--,--,--
Sep '08,--,364.83,,191.31,--,--,--,52.13,10.64,--,53.49,--,--,--,10.81,46.45,5.48,51.93,6.66,45.27,--,45.27,15.14,30.13,--,--,30.13,60.23,--,--,,--,--,,--,--,,3.65,60.63,,,--,--,--,,--,--,--
Dec '08,--,373.00,,198.24,--,--,--,57.17,11.03,--,52.07,--,--,--,10.15,44.34,7.50,51.84,6.69,45.15,--,45.15,11.60,33.55,--,-4.02,29.53,60.23,--,--,,--,--,,--,--,,3.65,60.51,,,--,--,--,,--,--,--
Mar '09,--,391.08,,205.09,--,--,--,63.45,12.47,--,58.95,--,--,--,10.06,41.06,5.52,46.58,4.96,41.62,--,41.62,12.48,29.14,--,--,29.14,60.24,--,--,,--,--,,--,--,,3.64,60.45,,,--,--,--,,--,--,--
Jun '09,--,405.95,,--,--,211.07,--,63.15,13.06,--,51.63,--,--,--,12.47,54.57,14.68,69.25,8.33,60.92,--,60.92,16.12,44.80,--,--,44.80,61.78,--,--,,--,--,,--,--,,3.64,58.90,,,--,--,--,,--,--,--
Dec '10,--,600.87,,183.74,--,-4.12,--,90.39,17.82,--,83.46,--,--,--,153.14,76.44,5.08,81.52,13.35,68.17,--,68.17,22.36,45.81,--,--,45.81,62.36,--,--,,3.70,3.58,,3.70,3.58,,7.42,59.46,,,2.44,60.42,20.08,,1.64,39.58,13.16
Mar '11,--,621.40,,188.99,--,-0.95,--,97.28,18.28,--,86.39,--,--,--,154.93,76.48,5.85,82.33,15.77,66.56,--,66.56,19.47,47.09,--,--,47.09,62.36,--,--,,3.78,3.61,,3.78,3.61,,8.02,64.31,,,2.44,58.96,19.60,,1.70,41.04,13.64
Jun '11,--,641.01,,196.75,151.72,-10.33,--,96.21,19.77,--,85.21,--,--,--,15.53,86.15,4.66,90.81,14.94,75.87,--,75.87,24.61,51.26,--,--,51.26,62.36,--,--,,4.11,3.88,,4.11,3.88,,8.12,65.11,,,2.44,58.96,19.60,,1.70,41.04,13.64
Sep '11,--,699.75,,197.71,166.98,-3.07,--,109.48,22.79,--,94.38,--,--,--,14.52,96.96,6.95,103.91,21.01,82.90,--,82.90,27.14,55.76,--,--,55.76,65.69,--,--,,4.29,4.07,,4.29,4.07,,8.80,66.95,,,2.44,59.01,18.60,,1.70,40.99,12.92
Dec '11,--,714.75,,186.93,185.49,0.80,--,108.60,24.25,--,100.36,--,--,--,14.20,94.12,10.38,104.50,12.67,91.83,--,91.83,27.18,64.65,--,--,64.65,67.23,--,--,,4.89,4.75,,4.89,4.75,,8.82,65.59,,,2.44,54.91,18.18,,2.01,45.09,14.93
Mar '12,--,744.56,,203.26,185.69,-6.47,--,114.22,24.08,--,12.98,--,--,--,114.85,95.95,6.46,102.41,15.49,86.92,--,86.92,27.60,59.32,--,--,59.32,67.23,--,--,,4.41,4.28,,4.41,4.28,,8.46,62.91,,,2.24,50.41,16.69,,2.21,49.59,16.41
Jun '12,--,777.39,,223.02,198.51,-21.79,--,125.74,25.11,--,14.02,--,--,--,107.50,105.28,4.07,109.35,13.67,95.68,--,95.68,25.94,69.74,--,--,69.74,67.92,--,--,,5.17,5.01,,5.17,5.01,,8.60,63.34,,,1.62,36.30,11.89,,2.84,63.70,20.87
Sep '12,--,836.32,,213.38,225.50,-3.64,--,130.49,26.99,--,23.06,--,--,--,103.54,117.00,14.37,131.37,18.84,112.53,--,112.53,29.29,83.24,--,--,83.24,69.56,--,--,,6.02,5.98,,6.02,5.98,,8.60,61.85,,,1.97,41.26,14.17,,2.81,58.74,20.18
Dec '12,--,855.79,,260.62,222.23,-40.24,--,135.75,27.55,--,22.12,--,--,--,108.92,118.84,8.04,126.88,19.33,107.55,--,107.55,26.91,80.64,--,--,80.64,69.56,--,--,,5.80,5.80,,5.80,5.80,,8.62,61.93,,,1.95,40.72,13.99,,2.83,59.28,20.36
Mar '13,--,848.29,,214.46,217.75,10.02,--,132.42,28.87,--,21.99,--,--,--,118.86,103.92,4.56,108.48,20.79,87.69,--,87.69,16.71,70.98,--,4.54,75.52,69.56,--,--,,5.10,5.10,,5.43,5.43,,9.06,65.10,,,1.95,40.72,13.99,,2.83,59.28,20.36
Jun '13,--,895.04,,231.03,249.92,-17.25,--,139.06,30.73,--,21.31,--,--,--,125.03,115.21,6.16,121.37,20.47,100.90,--,100.90,21.96,78.94,--,--,78.94,69.56,--,--,,5.67,5.67,,5.67,5.67,,9.03,64.93,,,2.62,54.87,18.85,,2.16,45.13,15.50
Sep '13,--,975.07,,235.02,271.05,-0.34,--,151.27,31.72,--,24.23,--,--,--,133.73,128.39,5.46,133.85,22.55,111.30,--,111.30,24.30,87.00,--,--,87.00,69.56,--,--,,6.25,6.25,,6.25,6.25,,9.02,64.86,,,2.66,55.59,19.10,,2.12,44.41,15.25
Dec '13,--,993.34,,246.38,290.87,-18.06,--,157.19,33.51,--,26.59,--,--,--,132.61,124.25,3.81,128.06,23.11,104.95,--,104.95,21.51,83.44,--,--,83.44,69.56,--,--,,6.00,6.00,,6.00,6.00,,9.02,64.87,,,2.06,43.21,14.84,,2.71,56.79,19.51
Mar '14,--,998.18,,239.17,284.43,-10.33,--,162.70,33.12,--,30.75,--,--,--,141.41,116.93,7.03,123.96,20.94,103.02,--,103.02,21.68,81.34,--,--,81.34,69.56,--,--,,5.85,5.85,,5.85,5.85,,9.03,64.89,,,3.02,63.17,21.70,,1.76,36.83,12.65
Jun '14,--,1053.72,,289.15,314.79,-50.73,--,170.72,39.92,--,29.77,--,--,--,143.73,116.37,6.45,122.82,18.92,103.90,--,103.90,21.16,82.74,--,--,82.74,69.56,--,--,,5.95,5.95,,5.95,5.95,,9.03,64.90,,,3.02,63.17,21.70,,1.76,36.83,12.65
Sep '14,--,1152.85,,266.54,350.56,-8.32,--,179.45,38.85,--,35.91,--,--,--,156.12,133.74,8.20,141.94,20.14,121.80,--,121.80,30.30,91.50,--,--,91.50,69.56,--,--,,6.58,6.58,,6.58,6.58,,9.03,64.90,,,3.06,64.08,22.01,,1.72,35.92,12.34
Dec '14,--,1182.53,,254.94,374.43,2.68,--,179.66,38.64,--,38.98,--,--,--,157.15,136.05,25.80,161.85,21.67,140.18,-15.20,124.98,29.97,95.01,--,--,95.01,69.56,--,--,,6.83,6.83,,6.83,6.83,,9.03,64.90,,,3.10,64.82,22.26,,1.68,35.18,12.09
Mar '15,--,1203.69,,258.45,364.37,7.10,--,191.13,40.63,--,34.03,--,--,--,174.11,133.87,4.82,138.69,22.56,116.13,0.51,116.64,39.31,77.33,--,--,77.33,69.56,--,--,,5.56,5.56,,5.56,5.56,,9.03,64.90,,,3.05,63.77,21.90,,1.73,36.23,12.44
Jun '15,--,1305.73,,302.14,460.10,-92.10,--,190.67,48.65,--,43.62,--,--,--,223.64,129.01,5.27,134.28,26.86,107.42,--,107.42,19.91,87.51,--,--,87.51,69.56,--,--,,6.29,6.29,,6.29,6.29,,9.05,65.03,,,3.05,63.77,21.90,,1.73,36.23,12.45
Sep '15,--,1409.73,,267.26,470.78,-8.19,--,202.30,49.54,--,44.87,--,--,--,236.50,146.67,0.94,147.61,30.85,116.76,--,116.76,27.21,89.55,--,--,89.55,69.56,--,--,,6.44,6.44,,6.44,6.44,,--,--,,,--,--,--,,--,--,--
Dec '15,--,1425.00,,258.60,462.03,14.03,--,219.73,53.78,--,48.65,--,--,--,236.25,131.93,66.19,198.12,32.03,166.09,-25.68,140.41,18.08,122.33,--,--,122.33,69.56,--,--,,8.79,8.79,,8.79,8.79,,--,--,,,--,--,--,,--,--,--
Mar '16,--,1447.86,,270.47,451.31,8.66,--,223.02,48.53,--,--,--,--,--,312.25,133.62,9.48,143.10,43.83,99.27,--,99.27,17.96,81.31,--,--,81.31,69.56,--,--,,5.84,5.84,,5.84,5.84,,--,--,,,--,--,--,,--,--,--
Jun '16,--,1465.43,,295.53,492.09,-28.74,--,215.45,55.73,--,49.41,--,--,--,254.81,131.15,5.30,136.45,44.38,92.07,--,92.07,19.90,72.17,--,--,72.17,69.56,--,--,,5.19,5.19,,5.19,5.19,,--,--,,,--,--,--,,--,--,--
Sep '16,--,1634.10,,282.74,556.68,6.63,--,230.92,60.30,--,58.10,--,--,--,277.12,161.61,9.44,171.05,46.88,124.17,--,124.17,32.18,91.99,--,--,91.99,69.56,--,--,,6.61,6.61,,6.61,6.61,,--,--,,,--,--,--,,--,--,--
Dec '16,--,1680.61,,299.78,619.67,-30.25,--,247.14,61.76,--,61.34,--,--,--,288.85,132.32,3.08,135.40,51.33,84.07,--,84.07,11.24,72.83,--,--,72.83,69.56,--,--,,5.23,5.23,,5.23,5.23,,--,--,,,--,--,--,,--,--,--
Mar '17,--,1661.64,,668.84,560.09,-362.57,--,248.28,62.79,--,--,--,--,--,376.94,107.27,9.13,116.40,57.80,58.60,--,58.60,10.44,48.16,--,--,48.16,69.56,--,--,,3.46,3.46,,3.46,3.46,,--,--,,,--,--,--,,--,--,--
Jun '17,--,1684.46,,307.74,635.46,-58.22,--,261.22,64.64,--,--,--,--,--,364.63,108.99,-3.75,105.24,55.46,49.78,--,49.78,14.57,35.21,--,--,35.21,69.56,--,--,,2.53,2.53,,2.53,2.53,,--,--,,,--,--,--,,--,--,--
Sep '17,--,1851.64,,319.87,622.32,3.90,--,283.01,66.48,--,--,--,--,--,401.30,154.76,2.63,157.39,58.75,98.64,--,98.64,27.74,70.90,--,--,70.90,69.56,--,--,,5.10,5.10,,5.10,5.10,,--,--,,,--,--,--,,--,--,--
Dec '17,--,1896.14,,320.02,678.10,-7.65,--,283.71,67.75,--,--,--,--,--,400.69,153.52,7.86,161.38,63.54,97.84,--,97.84,30.40,67.44,--,--,67.44,69.56,--,--,,4.85,4.85,,4.85,4.85,,--,--,,,--,--,--,,--,--,--
