0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Jun '03,184.18,163.97,9.94,35.85,150.26,,273.74,25.68,56.02,--,188.76,91.71,--,97.05,44.87,52.18,--,--,52.18,230.29,--,--,,--,10.71,--,,--,--,,--,--,,--,--,--,--,--,,15.30,66.46,,,--,--,--,,--,--,--,200306
Sep '03,182.59,165.26,8.90,37.22,149.82,,255.99,27.62,79.17,--,181.01,72.44,--,108.57,44.39,64.18,--,--,64.18,230.82,--,--,,--,11.24,--,,--,--,,--,--,,--,--,--,--,--,,15.36,66.54,,,--,--,--,,--,--,--,200309
Dec '03,194.93,150.19,6.76,38.61,137.61,,244.35,32.59,73.14,--,178.02,65.52,--,112.50,37.64,74.86,--,--,74.86,231.00,--,--,,--,11.20,--,,--,--,,--,--,,--,--,--,--,--,,15.38,66.56,,,--,--,--,,--,--,--,200312
Mar '04,205.82,164.94,7.35,35.66,102.46,,247.37,35.36,89.63,--,143.87,32.58,--,111.29,24.20,87.09,--,--,87.09,231.58,--,--,,--,11.21,--,,--,--,,--,--,,--,--,--,--,--,,15.43,66.65,,,--,--,--,,--,--,--,200403
Jun '04,220.25,157.52,8.62,39.02,110.08,,260.41,38.79,90.60,--,145.69,38.57,--,107.12,36.45,70.67,--,--,70.67,232.30,--,--,,--,11.11,--,,--,--,,--,--,,--,--,--,--,--,,15.51,66.75,,,--,--,--,,--,--,--,200406
Sep '04,227.06,174.60,9.32,38.33,-3.59,,268.59,41.38,97.36,--,38.39,-34.78,--,73.17,26.95,46.22,--,--,46.22,232.56,--,--,,--,10.67,--,,--,--,,--,--,,--,--,--,--,--,,15.53,66.78,,,--,--,--,,--,--,--,200409
Dec '04,244.80,214.23,6.53,25.69,142.96,,304.22,49.93,100.61,--,179.45,31.73,--,147.72,46.57,101.15,--,--,101.15,232.82,--,--,,--,9.38,--,,--,--,,--,--,,--,--,--,--,--,,15.56,66.82,,,--,--,--,,--,--,--,200412
Mar '05,286.66,238.38,7.57,23.44,166.37,,359.76,46.75,115.96,--,199.95,24.26,--,175.69,59.15,116.54,--,--,116.54,273.80,--,--,,--,12.66,--,,--,--,,--,--,,--,--,--,--,--,,19.66,71.79,,,--,--,--,,--,--,--,200503
Jun '05,321.15,275.08,8.61,17.00,150.01,,399.36,53.18,115.83,--,203.48,63.54,--,139.94,47.31,92.63,--,--,92.63,278.12,--,--,,--,11.74,--,,--,--,,--,--,,--,--,--,--,--,,20.09,72.23,,,--,--,--,,--,--,--,200506
Sep '05,354.06,319.40,8.48,5.66,178.13,,432.15,62.32,135.18,--,236.08,71.62,--,164.46,55.45,109.01,--,--,109.01,278.46,--,--,,--,11.77,--,,--,--,,--,--,,--,--,--,--,--,,20.12,72.26,,,--,--,--,,--,--,--,200509
