0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Mar '08,--,22.40,,--,--,--,--,0.65,7.33,--,--,--,--,--,4.02,10.40,1.20,11.60,--,11.60,--,11.60,3.22,8.38,--,--,8.38,72.34,--,--,,--,--,,--,--,,7.01,48.47,,,--,--,--,,--,--,--
Jun '08,--,26.80,,--,--,--,--,0.78,7.43,--,--,--,--,--,4.48,14.11,0.41,14.52,--,14.52,--,14.52,4.86,9.66,--,--,9.66,72.34,--,--,,--,--,,--,--,,7.01,48.47,,,--,--,--,,--,--,--
Sep '08,--,31.52,,--,--,--,--,0.58,7.42,--,--,--,--,--,3.12,20.40,0.41,20.81,0.01,20.80,--,20.80,6.57,14.23,--,--,14.23,72.34,--,--,,--,--,,--,--,,7.12,49.19,,,--,--,--,,--,--,--
Dec '08,--,29.09,,--,--,--,--,0.64,7.45,--,--,--,--,--,6.75,14.25,0.41,14.66,0.01,14.65,--,14.65,3.60,11.05,--,--,11.05,72.34,--,--,,--,--,,--,--,,6.49,44.85,,,--,--,--,,--,--,--
Mar '09,--,24.62,,--,--,--,--,1.43,7.47,--,--,--,--,--,2.82,12.90,0.45,13.35,-0.01,13.36,--,13.36,6.94,6.42,--,--,6.42,72.34,--,--,,--,--,,--,--,,6.58,45.48,,,--,--,--,,--,--,--
Jun '09,--,32.44,,--,--,--,--,1.42,6.82,--,--,--,--,--,9.90,14.30,0.29,14.59,--,14.59,--,14.59,5.20,9.39,--,--,9.39,72.34,--,--,,--,--,,--,--,,6.58,45.49,,,--,--,--,,--,--,--
Sep '09,--,37.21,,--,--,--,--,0.98,6.09,--,--,--,--,--,9.39,20.75,0.34,21.09,--,21.09,--,21.09,7.60,13.49,--,--,13.49,72.34,--,--,,--,--,,--,--,,6.58,45.49,,,--,--,--,,--,--,--
Dec '09,--,30.93,,--,--,--,--,0.98,5.15,--,--,--,--,--,15.24,9.56,1.19,10.75,--,10.75,--,10.75,6.70,4.05,--,--,4.05,72.34,--,--,,--,--,,--,--,,6.58,45.49,,,--,--,--,,--,--,--
Mar '10,--,26.52,,--,--,--,--,0.57,3.90,--,--,--,--,--,14.61,7.44,0.88,8.32,--,8.32,--,8.32,5.86,2.46,--,--,2.46,72.34,--,--,,--,--,,--,--,,6.50,44.93,,,--,--,--,,--,--,--
Jun '10,--,29.03,,--,--,--,--,1.79,3.26,--,--,--,--,--,6.10,17.88,0.79,18.67,--,18.67,--,18.67,6.25,12.42,--,--,12.42,72.34,--,--,,0.90,0.90,,0.90,0.90,,6.43,44.46,,,0.05,0.67,0.37,,7.97,99.33,55.07
Sep '10,--,47.66,,--,--,--,--,1.26,3.20,--,--,--,--,--,6.17,37.03,0.86,37.89,--,37.89,--,37.89,14.01,23.88,--,--,23.88,72.34,--,--,,--,--,,--,--,,6.23,43.06,,,--,--,--,,--,--,--
Dec '10,--,24.26,,--,--,--,--,1.29,2.46,--,--,--,4.49,--,1.52,14.50,2.49,16.99,--,16.99,--,16.99,5.84,11.15,--,--,11.15,72.34,--,--,,0.80,0.80,,0.80,0.80,,1.63,44.49,,,--,--,--,,2.03,100.00,55.51
Mar '11,--,18.86,,--,--,--,--,3.14,1.11,--,--,--,--,--,5.99,8.62,2.11,10.73,--,10.73,--,10.73,8.91,1.82,--,139.07,140.89,72.34,--,--,,9.70,9.70,,9.70,9.70,,6.01,41.53,,,0.01,0.08,0.04,,0.84,99.92,58.37
Jun '11,--,25.70,,--,--,--,--,1.84,0.59,--,--,--,--,--,6.36,16.91,1.85,18.76,--,18.76,--,18.76,6.55,12.21,--,--,12.21,72.34,--,--,,0.80,0.80,,0.80,0.80,,6.01,41.53,,,--,--,--,,8.45,100.00,58.41
Sep '11,--,61.71,,--,--,--,--,2.29,0.31,--,--,--,--,--,7.93,51.18,2.07,53.25,--,53.25,--,53.25,11.18,42.07,--,--,42.07,72.34,--,--,,2.90,2.90,,2.90,2.90,,6.00,41.48,,,--,--,--,,8.46,100.00,58.46
Dec '11,--,28.38,,--,--,--,--,2.20,0.32,--,--,--,--,--,5.98,19.88,2.42,22.30,--,22.30,--,22.30,7.83,14.47,--,--,14.47,72.34,--,--,,1.00,1.00,,1.00,1.00,,5.94,41.08,,,--,--,--,,8.52,100.00,58.87
Mar '12,--,19.98,,--,--,--,--,2.47,0.34,--,--,--,--,--,5.85,11.32,2.07,13.39,--,13.39,--,13.39,5.57,7.82,--,--,7.82,72.34,--,--,,0.50,0.50,,0.50,0.50,,5.94,41.08,,,--,--,--,,85.18,100.00,58.88
Jun '12,--,25.00,,--,--,--,--,3.35,0.32,--,--,--,--,--,7.94,13.39,2.57,15.96,--,15.96,--,15.96,5.94,10.02,--,--,10.02,72.34,--,--,,0.70,0.70,,0.70,0.70,,5.95,41.12,,,--,--,--,,8.52,100.00,58.88
Sep '12,--,66.94,,--,--,--,--,3.70,0.32,--,--,--,--,--,9.16,53.76,2.42,56.18,--,56.18,--,56.18,9.21,46.97,--,--,46.97,72.34,--,--,,3.20,3.20,,3.20,3.20,,5.95,41.12,,,--,--,--,,8.52,100.00,58.88
Dec '12,--,25.17,,--,--,--,--,2.97,0.32,--,--,--,--,--,7.14,14.74,2.74,17.48,--,17.48,--,17.48,6.35,11.13,--,--,11.13,79.56,--,--,,0.70,0.70,,0.70,0.70,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Mar '13,--,24.59,,--,--,--,--,2.93,0.32,--,--,--,--,--,7.62,13.72,2.82,16.54,--,16.54,-27.00,-10.46,6.82,-17.28,--,--,-17.28,79.56,--,--,,-1.10,-1.10,,-1.10,-1.10,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Jun '13,--,28.45,,--,--,--,--,3.81,0.32,--,--,--,--,--,9.47,14.85,3.12,17.97,--,17.97,--,17.97,6.86,11.11,--,--,11.11,79.56,--,--,,0.70,0.70,,0.70,0.70,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Sep '13,--,80.48,,--,--,--,--,3.48,0.32,--,--,--,--,--,9.55,67.13,2.80,69.93,--,69.93,-7.24,62.69,6.33,56.36,--,--,56.36,79.56,--,--,,3.50,3.50,,3.50,3.50,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Dec '13,--,20.77,,--,--,--,--,3.56,0.32,--,--,--,--,--,9.86,7.03,3.65,10.68,--,10.68,--,10.68,5.33,5.35,--,--,5.35,79.56,--,--,,0.30,0.30,,0.30,0.30,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Mar '14,--,14.79,,--,--,--,--,4.34,0.34,--,--,--,--,--,6.42,3.69,3.24,6.93,--,6.93,7.24,14.17,3.48,10.69,--,-0.12,10.57,79.56,--,--,,0.70,0.70,,0.70,0.70,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Jun '14,--,22.59,,--,--,--,--,3.80,0.72,--,--,--,--,--,8.31,9.76,2.95,12.71,--,12.71,--,12.71,4.74,7.97,--,--,7.97,79.56,--,--,,0.50,0.50,,0.50,0.50,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Sep '14,--,75.49,,--,--,--,--,3.76,0.72,--,--,--,--,--,9.20,61.81,2.73,64.54,--,64.54,--,64.54,4.51,60.03,--,--,60.03,79.56,--,--,,3.80,3.80,,3.80,3.80,,6.54,41.11,,,--,--,--,,9.37,100.00,58.89
Dec '14,--,25.61,,--,--,--,--,4.29,0.70,--,--,--,--,--,8.06,12.56,2.73,15.29,--,15.29,--,15.29,1.16,14.13,--,--,14.13,79.56,--,--,,0.90,0.90,,0.90,0.90,,6.52,40.98,,,--,--,--,,9.39,100.00,59.02
Mar '15,--,76.55,,--,--,--,--,4.78,0.40,--,--,--,--,--,8.82,62.55,3.01,65.56,--,65.56,--,65.56,21.76,43.80,--,--,43.80,79.56,--,--,,2.80,2.80,,2.80,2.80,,6.63,41.65,,,--,--,--,,9.29,100.00,58.35
Jun '15,--,36.72,,--,--,--,--,4.64,0.37,--,--,--,--,--,12.11,19.60,2.36,21.96,--,21.96,--,21.96,8.37,13.59,--,--,13.59,79.56,--,--,,0.90,0.90,,0.90,0.90,,6.63,41.65,,,--,--,--,,9.29,100.00,58.35
Sep '15,--,94.92,,--,--,--,--,4.20,0.39,--,--,--,--,--,10.57,79.76,2.18,81.94,--,81.94,--,81.94,10.08,71.86,--,--,71.86,79.56,--,--,,4.50,4.50,,4.50,4.50,,6.63,41.65,,,--,--,--,,9.29,100.00,58.35
Dec '15,--,28.16,,--,--,--,--,4.22,0.38,--,--,--,--,--,9.09,14.47,2.27,16.74,--,16.74,--,16.74,6.54,10.20,--,--,10.20,79.57,--,--,,0.60,0.60,,0.60,0.60,,--,--,,,--,--,--,,--,--,--
Mar '16,--,82.52,,--,--,--,--,3.99,0.24,--,--,--,--,--,6.44,71.85,2.32,74.17,--,74.17,--,74.17,6.69,67.48,--,--,67.48,79.57,--,--,,4.20,4.20,,4.20,4.20,,--,--,,,--,--,--,,--,--,--
Jun '16,--,40.63,,--,--,--,--,4.91,0.36,--,--,--,--,--,10.43,24.93,2.68,27.61,--,27.61,--,27.61,10.95,16.66,--,--,16.66,79.57,--,--,,1.00,1.00,,1.00,1.00,,--,--,,,--,--,--,,--,--,--
Sep '16,--,66.69,,--,--,--,--,4.77,0.36,--,--,--,--,--,11.81,49.75,2.75,52.50,--,52.50,--,52.50,11.81,40.69,--,--,40.69,79.57,--,--,,2.60,2.60,,2.60,2.60,,--,--,,,--,--,--,,--,--,--
Dec '16,--,22.70,,--,--,--,--,4.72,0.37,--,--,--,--,--,8.14,9.47,2.68,12.15,--,12.15,--,12.15,5.83,6.32,--,--,6.32,79.57,--,--,,0.40,0.40,,0.40,0.40,,--,--,,,--,--,--,,--,--,--
Mar '17,--,23.88,,--,--,--,--,5.95,0.37,--,--,--,--,--,8.81,8.75,2.99,11.74,--,11.74,--,11.74,5.39,6.35,--,--,6.35,79.57,--,--,,0.40,0.40,,0.40,0.40,,--,--,,,--,--,--,,--,--,--
Jun '17,--,27.40,,--,--,--,--,5.91,0.34,--,--,--,--,--,16.25,4.90,3.00,7.90,--,7.90,--,7.90,4.00,3.90,--,--,3.90,79.57,--,--,,0.20,0.20,,0.20,0.20,,--,--,,,--,--,--,,--,--,--
Sep '17,--,150.76,,--,--,--,--,6.08,0.33,--,--,--,--,--,19.26,125.09,3.31,128.40,--,128.40,--,128.40,12.42,115.98,--,--,115.98,79.57,--,--,,7.30,7.30,,7.30,7.30,,--,--,,,--,--,--,,--,--,--
Dec '17,--,31.88,,--,--,--,--,6.35,0.34,--,--,--,--,--,11.60,13.59,3.08,16.67,--,16.67,--,16.67,5.64,11.03,--,--,11.03,79.57,--,--,,0.70,0.70,,0.70,0.70,,--,--,,,--,--,--,,--,--,--
Mar '18,--,29.72,,--,--,--,--,8.97,0.35,--,--,--,--,--,9.67,10.73,3.09,13.82,--,13.82,--,13.82,3.39,10.43,--,--,10.43,79.57,--,--,,0.70,0.70,,0.70,0.70,,--,--,,,--,--,--,,--,--,--
Jun '18,--,29.47,,--,--,--,--,8.85,0.36,--,--,--,--,--,16.91,3.35,5.29,8.64,--,8.64,--,8.64,2.55,6.09,--,--,6.09,79.57,--,--,,0.40,0.40,,0.40,0.40,,--,--,,,--,--,--,,--,--,--
Sep '18,--,331.91,,--,--,--,--,10.48,0.37,--,--,--,--,--,26.18,294.88,7.89,302.77,--,302.77,--,302.77,11.18,291.59,--,--,291.59,79.57,--,--,,18.30,18.30,,18.30,18.30,,--,--,,,--,--,--,,--,--,--
Dec '18,--,28.85,,--,--,--,--,11.05,0.38,--,--,--,--,--,12.80,4.62,6.50,11.12,--,11.12,--,11.12,3.44,7.68,--,--,7.68,79.57,--,--,,0.50,0.50,,0.50,0.50,,--,--,,,--,--,--,,--,--,--
Mar '19,--,30.95,,--,--,--,--,23.15,0.44,--,--,--,--,--,11.60,-4.24,7.70,3.46,--,3.46,--,3.46,1.65,1.81,--,--,1.81,79.57,--,--,,0.10,0.10,,0.10,0.10,,--,--,,,--,--,--,,--,--,--
Jun '19,--,24.30,,--,--,--,--,20.03,0.43,--,--,--,--,--,10.37,-6.53,7.24,0.71,--,0.71,--,0.71,0.22,0.49,--,--,0.49,79.57,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '19,--,381.39,,--,--,--,--,22.34,0.44,--,--,--,--,--,13.94,344.67,9.63,354.30,--,354.30,--,354.30,9.27,345.03,--,--,345.03,79.57,--,--,,21.70,21.70,,21.70,21.70,,--,--,,,--,--,--,,--,--,--
Dec '19,--,30.59,,--,--,--,--,21.28,0.94,--,--,--,--,--,11.20,-2.83,8.94,6.11,--,6.11,--,6.11,2.92,3.19,--,--,3.19,79.57,--,--,,0.20,0.20,,0.20,0.20,,--,--,,,--,--,--,,--,--,--
Mar '20,--,343.58,,--,--,--,--,21.07,1.09,--,--,--,--,--,10.15,311.27,9.49,320.76,--,320.76,--,320.76,2.61,318.15,--,--,318.15,79.57,--,--,,20.00,20.00,,20.00,20.00,,--,--,,,--,--,--,,--,--,--
Jun '20,--,27.63,,--,--,--,--,22.47,1.13,--,--,--,--,--,11.15,-7.12,10.31,3.19,--,3.19,--,3.19,2.15,1.04,--,--,1.04,79.57,--,--,,0.10,0.10,,0.10,0.10,,--,--,,,--,--,--,,--,--,--
Sep '20,--,25.67,,--,--,--,--,26.19,1.13,--,--,--,--,--,11.38,-13.03,13.96,0.93,--,0.93,--,0.93,0.29,0.64,--,--,0.64,79.57,--,--,,0.04,--,,0.04,--,,--,--,,,--,--,--,,--,--,--
Dec '20,--,19.73,,--,--,--,--,25.66,1.17,--,--,--,--,--,9.76,-16.86,26.94,10.08,--,10.08,--,10.08,1.68,8.40,--,--,8.40,79.57,--,--,,0.50,0.50,,0.50,0.50,,--,--,,,--,--,--,,--,--,--
Mar '21,--,250.70,,--,--,--,--,27.56,1.25,--,--,--,--,--,8.08,213.81,17.09,230.90,--,230.90,--,230.90,62.20,168.70,--,--,168.70,79.57,--,--,,10.60,10.60,,10.60,10.60,,--,--,,,--,--,--,,--,--,--
Jun '21,--,22.89,,--,--,--,--,28.50,1.20,--,--,--,--,--,10.59,-17.40,17.93,0.53,--,0.53,--,0.53,0.16,0.37,--,--,0.37,79.57,--,--,,0.02,--,,0.02,--,,--,--,,,--,--,--,,--,--,--
Sep '21,--,349.08,,--,--,--,--,32.56,1.24,--,--,--,--,--,16.63,298.65,18.32,316.97,--,316.97,--,316.97,78.48,238.49,--,--,238.49,79.57,--,--,,15.00,15.00,,15.00,15.00,,--,--,,,--,--,--,,--,--,--
Dec '21,--,222.03,,--,--,--,--,29.80,1.07,--,--,--,--,--,15.55,175.61,49.60,225.21,--,225.21,--,225.21,56.71,168.50,--,--,168.50,79.57,--,--,,10.60,10.60,,10.60,10.60,,--,--,,,--,--,--,,--,--,--
Mar '22,--,29.83,,--,--,--,--,20.91,0.71,--,--,--,--,--,7.02,1.19,19.32,20.51,--,20.51,--,20.51,3.64,16.87,--,--,16.87,79.57,--,--,,1.10,1.10,,1.10,1.10,,--,--,,,--,--,--,,--,--,--
Jun '22,--,341.24,,--,--,--,--,30.53,0.78,--,--,--,--,--,13.37,296.56,15.60,312.16,--,312.16,--,312.16,79.11,233.05,--,--,233.05,79.57,--,--,,14.60,14.60,,14.60,14.60,,--,--,,,--,--,--,,--,--,--
Sep '22,--,671.33,,--,--,--,--,30.78,0.79,--,--,--,--,--,15.32,624.44,18.09,642.53,--,642.53,--,642.53,157.45,485.08,--,--,485.08,159.14,--,--,,3.00,3.00,,3.00,3.00,,--,--,,,--,--,--,,--,--,--
Dec '22,--,32.84,,--,--,--,--,30.38,0.80,--,--,--,--,--,12.53,-10.87,17.00,6.13,--,6.13,--,6.13,1.20,4.93,--,--,4.93,159.14,--,--,,0.03,--,,0.03,--,,--,--,,,--,--,--,,--,--,--
Mar '23,--,31.06,,--,--,--,--,22.52,0.83,--,--,--,--,--,14.36,-6.65,20.45,13.80,--,13.80,--,13.80,4.34,9.46,--,--,9.46,159.26,--,--,,0.10,0.10,,0.10,0.10,,--,--,,,--,--,--,,--,--,--
Jun '23,--,595.21,,--,--,--,--,34.54,0.83,--,--,--,--,--,19.24,540.60,8.06,548.66,--,548.66,--,548.66,145.15,403.51,--,--,403.51,159.26,--,--,,2.50,2.50,,2.50,2.50,,--,--,,,--,--,--,,--,--,--
Sep '23,--,1011.05,,--,--,--,--,30.94,0.88,--,--,--,--,--,20.66,958.57,8.02,966.59,--,966.59,--,966.59,212.25,754.34,--,--,754.34,159.26,--,--,,4.70,4.70,,4.70,4.70,,--,--,,,--,--,--,,--,--,--
Dec '23,--,49.40,,--,--,--,--,32.10,0.89,--,--,--,--,--,16.94,-0.53,7.90,7.37,--,7.37,--,7.37,2.98,4.39,--,--,4.39,159.26,--,--,,0.03,--,,0.03,--,,--,--,,,--,--,--,,--,--,--
Mar '24,--,43.63,,--,--,--,--,29.25,0.88,--,--,--,--,--,9.84,3.66,10.64,14.30,--,14.30,--,14.30,6.48,7.82,--,--,7.82,159.41,--,--,,0.05,--,,0.05,--,,--,--,,,--,--,--,,--,--,--
Jun '24,--,909.11,,--,--,--,--,40.57,0.89,--,--,--,--,--,18.84,848.81,8.63,857.44,--,857.44,--,857.44,224.40,633.04,--,--,633.04,159.53,--,--,,4.00,3.90,,4.00,3.90,,--,--,,,--,--,--,,--,--,--
