0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,--,--,--,--,2.16,0.40,--,1.51,--,4.17,--,5.29,--,8.16,--,6.06,--,--,--,3.15,--,-0.01,--,6.32,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '03,--,--,,--,--,--,--,2.46,0.42,--,1.71,--,0.71,--,6.22,--,6.55,--,5.98,--,--,--,3.60,--,-0.01,--,8.83,16.49,--,--,,--,--,,--,--,,0.89,53.85,,,--,--,--,,--,--,--
Dec '03,--,--,,--,--,--,--,2.46,0.45,--,2.08,--,4.71,--,7.00,--,6.22,--,6.19,--,--,--,3.53,--,-37.16,--,10.63,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '04,--,--,,--,--,--,--,2.29,0.61,--,--,--,0.46,--,8.39,--,6.19,--,7.45,--,--,--,5.40,--,-0.01,--,12.79,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Jun '04,--,--,,--,--,--,--,2.47,0.39,--,2.11,--,4.84,--,6.75,--,8.44,--,6.52,--,--,--,3.57,--,0.30,--,9.00,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '04,--,--,,--,--,--,--,3.63,0.43,--,2.46,--,1.64,--,7.55,--,4.77,--,7.50,--,--,--,2.10,--,--,--,12.51,16.49,--,--,,--,--,,--,--,,0.89,53.85,,,--,--,--,,--,--,--
Dec '04,--,--,,--,--,--,--,3.12,0.52,--,2.84,--,8.30,--,7.32,--,5.98,--,8.61,--,--,--,1.23,--,-15.36,--,15.37,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '05,--,--,,--,--,--,--,3.40,0.66,--,--,--,5.99,--,8.27,--,8.54,--,12.24,--,--,--,2.91,--,--,--,18.81,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Jun '05,--,--,,--,--,--,--,4.87,0.18,--,--,--,4.39,--,11.99,--,5.97,--,12.11,--,--,--,0.87,--,-0.01,--,11.51,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '05,--,--,,--,--,--,--,4.46,0.24,--,--,--,6.62,--,15.88,--,8.67,--,14.71,--,--,--,-1.15,--,--,--,12.26,16.49,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
