0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,--,--,--,--,7.54,0.98,--,2.03,--,--,--,0.47,--,11.11,--,--,--,--,--,0.02,--,--,--,0.07,1853.37,2971.19,--,,--,--,,--,--,,99.06,53.45,,,--,--,--,,--,--,--
Sep '03,--,--,,--,--,--,--,6.69,0.97,--,2.14,--,--,--,--,--,7.47,--,-2.49,--,--,--,0.05,--,--,--,0.11,1853.37,2971.31,--,,--,--,,--,--,,98.96,53.40,,,--,--,--,,--,--,--
Dec '03,--,--,,--,--,--,--,4.90,0.97,--,3.04,--,--,--,0.47,--,9.49,--,--,--,--,--,--,--,--,--,0.11,1853.37,2971.41,--,,--,--,,--,--,,98.96,53.40,,,--,--,--,,--,--,--
Mar '04,--,--,,--,--,--,--,6.77,0.95,--,3.16,--,--,--,0.47,--,11.39,--,--,--,--,--,-0.04,--,--,--,0.08,1853.37,2971.49,--,,--,--,,--,--,,98.96,53.40,,,--,--,--,,--,--,--
Jun '04,--,--,,--,--,--,--,6.65,0.96,--,4.23,--,--,--,0.49,--,9.43,--,23.29,--,--,--,--,--,--,--,-26.19,1853.37,2945.30,--,,--,--,,--,--,,98.94,53.39,,,--,--,--,,--,--,--
Sep '04,--,--,,--,--,--,--,7.82,1.05,--,5.53,--,--,--,--,--,9.20,--,-6.35,--,--,--,--,--,--,--,1.15,1853.37,2946.44,--,,--,--,,--,--,,98.94,53.39,,,--,--,--,,--,--,--
Dec '04,--,--,,--,--,--,--,7.28,1.01,--,8.73,--,--,--,--,--,14.21,--,-29.08,--,--,--,0.10,--,--,--,26.17,1853.37,2946.69,--,,--,--,,--,--,,98.93,53.38,,,--,--,--,,--,--,--
Mar '05,--,--,,--,--,--,--,486.56,1016.33,--,--,--,--,--,4587.34,--,8.33,--,258.06,--,--,--,353.51,--,--,--,1209.56,1856.09,2675.38,--,,--,--,,--,--,,99.22,53.53,,,--,--,--,,--,--,--
Jun '05,--,--,,--,--,--,--,164.92,305.53,--,--,--,--,--,1368.82,--,10.80,--,56.21,--,--,--,66.91,--,--,--,461.72,1876.18,3492.01,--,,--,--,,--,--,,101.20,54.02,,,--,--,--,,--,--,--
Sep '05,--,--,,--,--,--,--,196.10,338.28,--,--,--,--,--,1480.19,--,14.10,--,57.07,--,--,--,67.97,--,--,--,500.43,1884.06,4168.31,--,,--,--,,--,--,,102.28,54.29,,,--,--,--,,--,--,--
Dec '05,--,--,,--,--,--,--,192.52,365.64,--,--,--,--,--,1682.50,--,16.95,--,73.76,--,--,--,82.93,--,--,--,538.68,1890.06,4876.69,--,,--,--,,--,--,,102.88,54.43,,,--,--,--,,--,--,--
Mar '06,--,--,,--,--,--,--,234.62,422.90,--,--,--,--,--,2027.18,--,20.05,--,38.55,--,--,--,55.92,--,--,--,511.24,1893.88,5449.55,--,,--,--,,--,--,,103.26,54.52,,,--,--,--,,--,--,--
Jun '06,--,--,,--,--,--,--,235.60,451.25,--,--,--,--,--,2037.94,--,18.09,--,65.48,--,--,--,95.91,--,--,--,814.38,1895.24,6299.04,--,,--,--,,--,--,,103.53,54.62,,,--,--,--,,--,--,--
Sep '06,--,--,,--,--,--,--,265.44,541.40,--,--,--,--,--,2296.04,--,32.07,--,85.59,--,--,--,136.16,--,--,--,888.35,1895.49,7201.24,--,,--,--,,--,--,,73.98,39.03,,,--,--,--,,--,--,--
Dec '06,--,--,,--,--,--,--,339.34,686.67,--,--,--,--,--,2428.49,--,11.36,--,61.05,--,--,--,164.44,--,--,--,1043.69,1895.74,8244.85,--,,--,--,,--,--,,74.01,39.04,,,--,--,--,,--,--,--
Mar '07,--,--,,--,--,--,--,308.60,673.98,--,--,--,--,--,2766.03,--,32.04,--,43.72,--,--,--,171.60,--,--,--,1286.84,1895.93,9545.21,--,,--,--,,--,--,,74.03,39.04,,,--,--,--,,--,--,--
Jun '07,--,--,,--,--,--,--,335.24,750.92,--,412.23,--,--,--,2545.27,--,79.83,--,-259.72,--,--,--,494.59,--,--,--,1412.92,1897.15,10993.35,--,,--,--,,--,--,,74.15,39.09,,,--,--,--,,--,--,--
Sep '07,--,--,,--,--,--,--,349.75,841.71,--,866.15,--,--,--,2273.95,--,58.64,--,-4.88,--,--,--,172.70,--,--,--,1619.15,1897.71,12618.88,--,,--,--,,--,--,,64.74,34.11,,,--,--,--,,--,--,--
Dec '07,--,--,,--,--,--,--,351.11,925.06,--,904.86,--,--,--,2584.93,--,64.30,--,468.23,--,--,--,28.54,--,--,--,1419.84,1897.84,14054.51,--,,--,--,,--,--,,64.75,34.12,,,--,--,--,,--,--,--
Mar '08,--,7413.73,,--,--,--,--,330.54,762.94,--,1101.86,--,--,--,3146.58,2071.81,33.09,2104.90,280.08,1824.82,--,1824.82,32.52,1792.30,--,--,1792.30,1897.91,18340.23,--,,--,--,,--,--,,64.76,34.12,,,--,--,--,,--,--,--
Jun '08,--,7893.01,,--,--,--,--,357.50,725.10,--,605.12,--,--,--,3952.55,2252.74,59.31,2312.05,-58.47,2370.52,--,2370.52,323.73,2046.79,--,--,2046.79,1898.02,20400.38,--,,--,--,,--,--,,63.59,33.50,,,--,--,--,,--,--,--
Sep '08,--,8274.37,,--,--,--,--,360.59,764.47,--,510.83,--,--,--,4280.32,2358.16,28.43,2386.59,1075.99,1310.60,--,1310.60,-294.18,1604.78,--,--,1604.78,1898.10,22031.30,--,,--,--,,--,--,,62.58,32.97,,,--,--,--,,--,--,--
Dec '08,--,8830.11,,--,--,--,--,382.04,814.38,--,553.56,--,--,--,4540.64,2539.49,20.14,2559.63,401.66,2157.97,--,2157.97,140.68,2017.29,--,--,2017.29,1898.22,24086.09,--,,--,--,,--,--,,62.35,32.85,,,--,--,--,,--,--,--
Mar '09,--,9016.81,,--,--,--,--,398.21,902.33,--,992.77,--,--,--,4089.09,2634.41,32.85,2667.26,344.80,2322.46,--,2322.46,247.47,2074.99,--,--,2074.99,1898.24,26187.47,--,,--,--,,--,--,,62.35,32.85,,,--,--,--,,--,--,--
Jun '09,--,9040.51,,--,--,--,--,409.22,953.04,--,1131.19,--,--,--,3913.20,2633.86,15.78,2649.64,-430.17,3079.81,--,3079.81,392.30,2687.51,--,--,2687.51,1898.37,28457.72,--,,--,--,,--,--,,61.87,32.59,,,--,--,--,,--,--,--
Sep '09,--,8901.66,,--,--,--,--,392.81,944.00,--,536.57,--,--,--,4436.61,2591.67,25.44,2617.11,80.02,2537.09,--,2537.09,240.15,2296.94,--,--,2296.94,1898.42,30787.39,--,,--,--,,--,--,,122.66,32.31,,,--,--,--,,--,--,--
Dec '09,--,8755.45,,--,--,--,--,349.47,990.18,--,625.99,--,--,--,4474.90,2314.91,16.11,2331.02,-225.66,2556.68,--,2556.68,244.58,2312.10,--,--,2312.10,1898.48,33122.36,--,,--,--,,--,--,,122.12,32.16,,,--,--,--,,--,--,--
Mar '10,--,8911.92,,--,--,--,--,379.05,1002.86,--,672.51,--,--,--,4644.07,2213.43,32.40,2245.83,-279.84,2525.67,--,2525.67,396.06,2129.61,--,--,2129.61,1898.77,34836.28,--,,--,--,,--,--,,122.17,32.17,,,--,--,--,,--,--,--
Jun '10,--,9323.70,,--,--,--,--,353.40,1066.70,--,663.20,--,--,--,4940.40,2300.00,50.00,2350.00,144.60,2205.40,--,2205.40,274.50,1930.90,--,--,1930.90,1898.80,36797.50,--,,5.08,5.08,,5.08,5.08,,122.01,32.13,,,--,--,--,,257.74,100.00,67.87
Sep '10,--,9299.90,,--,--,--,--,385.90,1066.20,--,717.90,--,--,--,4897.70,2232.20,19.90,2252.10,-146.00,2398.10,--,2398.10,297.80,2100.30,--,--,2100.30,1898.80,38921.60,--,,5.53,5.53,,5.53,5.53,,122.01,32.13,,,--,--,--,,257.74,100.00,67.87
Dec '10,--,9563.70,,--,--,--,--,359.80,1128.10,--,931.10,--,--,--,5064.40,2080.30,14.90,2095.20,55.70,2039.50,--,2039.50,191.70,1847.80,--,--,1847.80,1898.80,40790.10,--,,4.86,4.86,,4.86,4.86,,120.77,31.80,,,--,--,--,,258.98,100.00,68.20
Mar '11,--,9828.50,,--,2.90,--,653.70,352.10,1226.80,--,1408.50,--,--,--,4053.30,2131.20,28.10,2159.30,76.50,2082.80,--,2082.80,244.90,1837.90,--,--,1837.90,1898.80,42210.70,--,,4.84,4.84,,4.84,4.84,,120.41,31.71,,,--,--,--,,259.34,100.00,68.29
Jun '11,--,10180.00,,--,--,--,--,387.00,1170.70,--,781.50,--,--,--,5816.70,2024.10,19.00,2043.10,203.30,1839.80,--,1839.80,407.50,1432.30,--,--,1432.30,1898.80,43657.60,--,,3.77,3.77,,3.77,3.77,,120.41,31.71,,,--,--,--,,259.34,100.00,68.29
Sep '11,--,10164.50,,--,--,--,--,361.60,1156.00,--,755.60,--,--,--,5726.50,2164.80,13.00,2177.80,594.60,1583.20,--,1583.20,275.70,1307.50,--,--,1307.50,1898.80,44968.50,--,,3.44,3.44,,3.44,3.44,,120.26,31.67,,,--,--,--,,259.49,100.00,68.33
Dec '11,--,10501.10,,--,--,--,738.20,306.40,1528.70,--,--,--,--,--,6105.20,1822.60,256.50,2079.10,396.20,1682.90,--,1682.90,266.90,1416.00,--,--,1416.00,1898.80,46385.90,--,,3.73,3.73,,3.73,3.73,,119.64,31.50,,,--,--,--,,260.11,100.00,68.50
Mar '12,--,10757.20,,--,1.90,--,752.80,336.50,1535.20,--,2448.20,--,--,--,3708.30,1974.30,186.30,2160.60,310.20,1850.40,--,1850.40,276.10,1574.30,--,--,1574.30,1898.80,47528.70,--,,4.15,4.15,,4.15,4.15,,119.64,31.50,,,--,--,--,,260.11,100.00,68.50
Jun '12,--,10980.60,,--,--,--,794.10,364.00,1651.90,--,--,--,--,--,6601.20,1569.40,642.30,2211.70,545.90,1665.80,--,1665.80,195.80,1470.00,--,--,1470.00,1898.80,49002.30,--,,3.87,3.87,,3.87,3.87,,119.64,31.50,,,--,--,--,,260.11,100.00,68.50
