0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,1660.50,--,766.70,--,180.90,115.80,--,--,--,--,--,9161.10,--,79.80,--,33.50,--,--,--,160.20,--,--,--,319.30,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Sep '03,--,--,,2559.10,--,-346.60,--,161.00,159.70,1194.30,--,--,--,--,7728.50,--,180.10,--,22.90,--,--,--,268.50,--,--,--,477.10,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Dec '03,--,--,,2303.90,--,244.90,--,163.70,131.50,1661.20,--,--,--,--,8553.00,--,62.40,--,24.90,--,--,--,266.70,--,--,--,484.30,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Mar '04,--,--,,2763.70,--,-381.00,--,156.30,154.10,1487.40,--,--,--,--,10595.10,--,135.60,--,23.70,--,--,--,233.00,--,-12.50,--,426.40,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Jun '04,--,--,,2749.30,--,-99.00,--,225.60,153.60,1503.10,--,--,--,--,9838.50,--,54.80,--,22.60,--,--,--,77.70,--,--,--,147.30,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Sep '04,--,--,,3473.20,--,-888.70,--,160.10,162.50,1402.30,--,--,--,--,10158.90,--,200.70,--,37.70,--,--,--,149.70,--,--,--,321.40,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Dec '04,--,--,,3696.40,--,512.50,--,144.30,138.70,812.50,--,--,--,--,11883.40,--,60.20,--,37.90,--,--,--,68.30,--,--,--,145.70,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Mar '05,--,--,,3833.90,--,-1111.10,--,263.20,141.20,1169.10,--,--,--,--,12495.80,--,142.70,--,41.60,--,--,--,131.40,--,36.60,--,314.80,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Jun '05,--,--,,3579.40,--,553.90,--,181.80,152.50,1102.80,--,--,--,--,12020.90,--,82.60,--,40.40,--,--,--,1.70,--,1.00,--,-432.30,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
Sep '05,--,--,,3933.40,--,-1529.20,--,165.50,148.30,1057.30,--,--,--,--,13797.10,--,145.80,--,37.80,--,--,--,3.70,--,--,--,-203.00,300.00,--,--,,--,--,,--,--,,10.14,33.80,,,--,--,--,,--,--,--
