0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,147.80,--,1.80,--,21.00,5.80,6.90,--,--,--,--,122.80,--,8.60,--,2.40,--,--,--,14.80,--,--,-0.50,28.60,25.10,--,--,,--,--,,--,--,,1.29,51.52,,,--,--,--,,--,--,--
Sep '03,--,--,,179.20,--,-8.20,--,21.10,5.30,8.70,--,--,--,--,141.30,--,11.50,--,1.60,--,--,--,16.30,--,--,-1.10,33.00,25.10,--,--,,--,--,,--,--,,1.29,51.52,,,--,--,--,,--,--,--
Dec '03,--,--,,170.40,--,1.10,--,18.50,5.60,7.20,--,--,--,--,124.60,--,3.90,--,1.30,--,--,--,14.30,--,--,-2.10,26.80,25.10,--,--,,--,--,,--,--,,1.29,51.52,,,--,--,--,,--,--,--
Mar '04,--,--,,177.70,--,-8.20,--,21.50,5.70,8.10,20.70,--,--,--,116.40,--,30.60,--,0.70,--,--,--,20.20,--,--,-8.30,30.30,25.10,--,--,,--,--,,--,--,,1.29,51.52,,,--,--,--,,--,--,--
Jun '04,--,--,,185.60,--,8.00,--,18.70,4.80,6.50,--,--,--,--,134.90,--,41.10,--,0.50,--,--,--,19.50,--,--,-3.80,60.00,25.10,--,--,,--,--,,--,--,,1.29,51.43,,,--,--,--,,--,--,--
Sep '04,--,--,,207.60,--,-5.20,--,19.40,4.80,7.50,22.80,--,--,--,127.00,--,22.70,--,0.60,--,--,--,21.00,--,--,-3.30,48.50,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Dec '04,--,--,,181.90,--,-2.90,--,13.40,4.70,7.10,24.10,--,--,--,114.60,--,3.00,--,0.60,--,--,--,16.50,--,--,-3.20,29.70,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Mar '05,--,--,,174.30,--,9.80,--,20.10,4.70,6.80,--,--,--,--,149.50,--,12.50,--,0.40,--,--,--,14.40,--,--,-11.50,10.70,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Jun '05,--,--,,189.50,--,2.90,--,18.80,5.30,7.50,--,--,--,--,136.20,--,2.40,--,0.80,--,--,--,18.60,--,--,3.40,39.10,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Sep '05,--,--,,252.50,--,-15.40,--,16.90,5.00,7.80,--,--,--,--,144.50,--,5.40,--,0.90,--,--,--,20.10,--,--,-0.10,43.80,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Dec '05,--,--,,231.50,--,-3.30,--,17.70,5.70,5.40,--,--,--,--,149.70,--,1.70,--,1.10,--,--,--,10.10,--,--,-3.30,35.70,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Mar '06,--,--,,255.90,--,3.50,--,19.70,5.70,25.00,34.40,--,--,--,118.00,--,12.20,--,0.60,--,--,--,5.50,--,--,4.90,27.80,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Jun '06,--,--,,290.20,--,-5.10,--,16.60,5.70,27.20,30.30,--,--,--,118.20,--,11.90,--,0.70,--,--,--,5.50,--,--,-2.30,30.30,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
Sep '06,--,--,,364.60,--,-17.70,--,19.50,6.40,31.20,29.60,--,--,--,124.90,--,2.70,--,1.60,--,--,--,-0.30,--,--,-2.60,21.20,23.90,--,--,,--,--,,--,--,,1.17,49.04,,,--,--,--,,--,--,--
