0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,194.01,--,27.09,--,23.60,8.75,--,--,--,--,--,122.17,--,6.68,--,0.99,--,--,--,17.10,--,--,--,67.20,59.97,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '03,--,--,,212.06,--,21.01,--,21.96,8.75,--,--,--,--,--,139.31,--,8.03,--,1.88,--,--,--,17.40,--,--,--,69.51,59.97,--,--,,--,--,,--,--,,3.53,58.87,,,--,--,--,,--,--,--
Dec '03,--,--,,256.62,--,-24.47,--,22.56,9.00,41.97,--,--,--,--,115.93,--,8.85,--,3.97,--,--,--,30.50,--,--,--,75.32,59.97,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '04,--,--,,293.83,--,5.11,--,25.82,10.00,--,--,--,--,--,145.43,--,10.95,--,3.40,--,--,--,25.00,--,--,--,101.74,59.97,--,--,,--,--,,--,--,,3.54,59.04,,,--,--,--,,--,--,--
Jun '04,--,--,,285.92,--,-15.30,--,30.17,13.00,--,--,--,--,--,160.71,--,11.89,--,1.37,--,--,--,25.00,--,--,--,79.26,59.97,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '04,--,--,,300.16,--,-6.41,--,26.21,12.50,39.80,--,--,--,--,129.51,--,7.42,--,3.95,--,--,--,27.00,--,--,--,95.87,59.97,--,--,,--,--,,--,--,,17.70,59.04,,,--,--,--,,--,--,--
Dec '04,--,--,,308.22,--,3.10,--,28.46,12.75,45.24,--,--,--,--,135.88,--,41.18,--,1.24,--,--,--,22.00,--,--,--,125.67,59.97,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '05,--,--,,273.58,--,-51.72,--,32.09,14.75,34.56,--,--,--,--,144.14,--,15.45,--,1.01,--,--,--,31.00,--,--,--,105.58,59.97,--,--,,--,--,,--,--,,17.71,59.05,,,--,--,--,,--,--,--
Jun '05,--,--,,326.70,--,-11.74,--,39.22,13.50,38.10,--,--,--,--,158.72,--,8.36,--,1.37,--,--,--,32.00,--,--,--,111.40,59.97,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '05,--,--,,282.56,--,8.53,--,30.34,21.50,25.06,--,--,--,--,173.01,--,1.53,--,1.69,--,--,--,33.00,--,--,--,122.60,59.97,--,--,,--,--,,--,--,,17.71,59.06,,,--,--,--,,--,--,--
Dec '05,--,--,,453.77,--,-66.71,--,35.17,23.00,31.30,--,--,--,--,199.46,--,74.45,--,5.07,--,--,--,30.00,--,--,--,175.31,59.97,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '06,--,--,,445.41,--,-14.16,--,42.57,25.00,25.04,--,--,--,--,216.47,--,46.76,--,3.29,--,--,--,8.00,--,--,--,190.77,59.97,--,--,,--,--,,--,--,,17.71,59.06,,,--,--,--,,--,--,--
Jun '06,--,--,,353.77,--,32.76,--,51.31,26.00,23.33,--,--,--,--,196.87,--,21.95,--,2.79,--,--,--,51.60,--,--,--,170.43,155.46,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '06,--,--,,406.73,--,3.89,--,43.85,24.50,19.15,--,--,--,--,214.04,--,18.99,--,1.56,--,--,--,40.25,--,--,--,180.28,155.46,--,--,,--,--,,--,--,,46.17,59.40,,,--,--,--,,--,--,--
Dec '06,--,--,,464.66,--,-31.29,--,45.79,27.50,23.96,--,--,--,--,182.11,--,26.13,--,1.32,--,--,--,32.20,--,--,--,184.38,155.46,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '07,--,--,,469.01,--,28.46,--,43.34,26.08,21.91,--,--,--,--,250.67,--,22.06,--,1.29,--,--,--,15.95,--,--,--,125.73,155.46,--,--,,--,--,,--,--,,46.22,59.47,,,--,--,--,,--,--,--
Jun '07,--,--,,469.44,--,-20.22,--,64.57,30.25,27.00,--,--,--,--,227.35,--,18.54,--,0.82,--,--,--,28.40,--,--,--,119.76,155.46,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '07,--,--,,430.95,--,-12.31,--,52.90,32.75,19.08,--,--,--,--,402.83,--,41.82,--,2.37,--,--,--,40.10,--,--,--,190.62,155.46,--,--,,--,--,,--,--,,46.57,59.91,,,--,--,--,,--,--,--
