0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,105.99,132.63,,1.11,--,9.17,3.01,122.58,4.17,--,--,--,0.22,--,105.41,-113.04,180.00,66.96,1.97,64.99,--,64.99,-42.32,107.31,--,--,107.31,6162.73,--,--,,0.17,0.17,,0.17,0.17,,--,--,,,--,--,--,,--,--,--
Dec '19,149.83,188.96,,1.33,--,-0.03,2.55,136.66,4.29,--,--,--,-0.61,--,53.52,-8.75,400.65,391.90,1.23,390.67,--,390.67,-68.02,458.69,--,--,458.69,6162.73,--,--,,0.74,0.74,,0.74,0.74,,--,--,,,--,--,--,,--,--,--
Mar '20,--,329.00,,1.60,--,-8.20,--,158.88,41.69,--,--,--,--,--,275.73,-140.70,10897.48,10756.78,0.67,10756.11,--,10756.11,124.46,10631.65,--,--,10631.65,6162.73,--,--,,17.25,17.25,,17.25,17.25,,--,--,,,--,--,--,,--,--,--
Jun '20,123.36,160.84,,0.65,--,13.82,--,122.80,4.55,--,--,--,--,--,59.10,-40.08,52.32,12.24,0.35,11.89,--,11.89,--,11.89,--,--,11.89,6162.73,--,--,,0.02,0.02,,0.02,0.02,,--,--,,,--,--,--,,--,--,--
Sep '20,117.12,121.69,,0.56,--,0.39,2.39,120.00,4.32,--,--,--,--,--,70.71,-76.68,87.57,10.89,0.51,10.38,--,10.38,-9.85,20.23,--,--,20.23,6162.73,--,--,,0.03,0.03,,0.03,0.03,,--,--,,,--,--,--,,--,--,--
Dec '20,--,153.50,,0.43,--,--,--,100.00,4.41,--,--,--,--,--,29.17,19.49,5158.05,5177.54,0.38,5177.16,--,5177.16,156.32,5020.84,--,--,5020.84,6162.73,--,--,,8.15,8.15,,8.15,8.15,,--,--,,,--,--,--,,--,--,--
Mar '21,--,204.22,,0.60,--,--,--,101.10,6.39,--,--,--,--,--,2.47,93.66,2381.24,2474.90,0.35,2474.55,--,2474.55,-112.59,2587.14,--,--,2587.14,6162.73,--,--,,4.20,4.20,,4.20,4.20,,--,--,,,--,--,--,,--,--,--
Jun '21,--,123.98,,0.28,--,--,--,128.76,5.03,--,--,--,--,--,82.82,-92.91,47.98,-44.93,0.38,-45.31,--,-45.31,4.51,-49.82,--,--,-49.82,6162.73,--,--,,-0.08,-0.08,,-0.08,-0.08,,--,--,,,--,--,--,,--,--,--
Sep '21,--,332.70,,0.34,--,--,--,147.46,5.38,--,--,--,--,--,25.79,153.73,1690.29,1844.02,0.37,1843.65,--,1843.65,30.52,1813.13,--,--,1813.13,6162.73,--,--,,2.94,2.94,,2.94,2.94,,--,--,,,--,--,--,,--,--,--
Dec '21,--,298.69,,0.10,--,--,--,104.73,4.99,--,--,--,--,--,89.11,99.76,5589.51,5689.27,0.38,5688.89,--,5688.89,44.06,5644.83,--,--,5644.83,6162.73,--,--,,9.16,9.16,,9.16,9.16,,--,--,,,--,--,--,,--,--,--
Mar '22,--,375.24,,0.47,--,-11.99,--,57.89,5.43,--,--,--,--,--,62.61,260.83,3609.15,3869.98,0.37,3869.61,--,3869.61,76.18,3793.43,--,--,3793.43,6162.73,--,--,,6.16,6.16,,6.16,6.16,,--,--,,,--,--,--,,--,--,--
Jun '22,290.30,320.50,,0.87,--,-6.79,2.00,95.09,5.23,--,--,--,--,--,43.95,180.15,36.73,216.88,0.48,216.40,--,216.40,55.42,160.98,--,--,160.98,6162.73,--,--,,0.26,0.26,,0.26,0.26,,--,--,,,--,--,--,,--,--,--
Sep '22,--,425.66,,0.54,123.84,0.80,--,125.63,14.69,--,--,--,--,--,55.25,104.91,2635.41,2740.32,0.46,2739.86,--,2739.86,45.86,2694.00,--,--,2694.00,6162.73,--,--,,4.37,4.37,,4.37,4.37,,--,--,,,--,--,--,,--,--,--
Dec '22,--,695.31,,1.38,321.09,-6.38,--,98.58,11.23,--,--,--,--,--,56.94,212.47,8671.50,8883.97,0.51,8883.46,--,8883.46,74.39,8809.07,--,--,8809.07,6162.73,--,--,,14.29,14.29,,14.29,14.29,,--,--,,,--,--,--,,--,--,--
Mar '23,403.55,509.03,,2.08,24.81,5.05,--,102.18,11.79,--,--,--,--,--,317.85,45.27,3208.99,3254.26,0.47,3253.79,--,3253.79,115.53,3138.26,--,--,3138.26,6162.73,--,--,,5.09,5.09,,5.09,5.09,,--,--,,,--,--,--,,--,--,--
Jun '23,--,335.75,,1.02,--,-6.12,--,98.59,10.83,--,--,--,--,--,57.52,173.91,804.75,978.66,0.51,978.15,--,978.15,60.13,918.02,--,--,918.02,6162.73,--,--,,1.49,1.49,,1.49,1.49,,--,--,,,--,--,--,,--,--,--
Sep '23,--,293.99,,0.82,--,7.23,--,100.34,10.93,--,--,--,--,--,76.47,98.20,2148.56,2246.76,0.50,2246.26,--,2246.26,50.07,2196.19,--,--,2196.19,6162.73,--,--,,3.56,3.56,,3.56,3.56,,--,--,,,--,--,--,,--,--,--
Dec '23,363.60,398.59,,1.18,--,-21.74,--,110.79,10.78,--,--,--,--,--,71.91,225.67,9166.73,9392.40,0.51,9391.89,--,9391.89,75.49,9316.40,--,--,9316.40,6162.73,--,--,,15.12,15.12,,15.12,15.12,,--,--,,,--,--,--,,--,--,--
