0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,1403.92,,606.99,--,-29.56,--,147.58,45.91,--,--,--,--,--,193.55,439.45,47.36,486.81,3.79,483.02,--,483.02,130.19,352.83,--,--,352.83,53.09,--,--,,13.29,13.29,,13.29,13.29,,--,--,,,--,--,--,,--,--,--
Dec '19,--,1390.49,,529.45,--,18.07,--,153.10,46.69,--,--,--,--,--,193.00,450.18,40.31,490.49,1.55,488.94,--,488.94,128.21,360.73,--,--,360.73,53.09,--,--,,13.59,13.59,,13.59,13.59,,--,--,,,--,--,--,,--,--,--
Mar '20,--,1376.24,,542.24,--,-32.36,--,169.73,49.54,--,--,--,--,--,247.99,399.10,76.52,475.62,0.40,475.22,--,475.22,83.42,391.80,--,--,391.80,53.09,--,--,,14.76,14.76,,14.76,14.76,,--,--,,,--,--,--,,--,--,--
Jun '20,--,1709.96,,459.49,--,177.19,--,180.35,55.97,--,--,--,--,--,193.95,643.01,17.87,660.88,0.18,660.70,--,660.70,168.45,492.25,--,--,492.25,53.09,--,--,,18.54,18.54,,18.54,18.54,,--,--,,,--,--,--,,--,--,--
Sep '20,--,1713.78,,535.61,--,30.65,--,188.71,60.89,--,--,--,--,--,226.42,671.50,13.64,685.14,0.11,685.03,--,685.03,171.73,513.30,--,--,513.30,53.09,--,--,,19.34,19.34,,19.34,19.34,,--,--,,,--,--,--,,--,--,--
Dec '20,--,1656.48,,674.23,--,-161.37,--,229.19,67.95,--,--,--,--,--,235.98,610.50,19.68,630.18,0.22,629.96,--,629.96,168.72,461.24,--,--,461.24,53.09,--,--,,17.37,17.37,,17.37,17.37,,--,--,,,--,--,--,,--,--,--
Mar '21,--,1718.39,,696.17,--,-146.47,--,210.43,69.84,--,--,--,--,--,258.91,629.51,22.85,652.36,0.18,652.18,--,652.18,164.25,487.93,--,--,487.93,53.09,--,--,,18.38,18.38,,18.38,18.38,,--,--,,,--,--,--,,--,--,--
Jun '21,--,1950.16,,763.75,--,-119.53,--,216.26,73.01,--,--,--,--,--,238.21,778.46,35.55,814.01,0.24,813.77,--,813.77,261.80,551.97,--,--,551.97,53.09,--,--,,20.79,20.79,,20.79,20.79,,--,--,,,--,--,--,,--,--,--
Sep '21,--,1967.86,,862.53,--,-211.85,--,219.08,77.09,--,--,--,--,--,279.51,741.50,19.11,760.61,0.17,760.44,--,760.44,154.05,606.39,--,--,606.39,53.09,--,--,,22.84,22.84,,22.84,22.84,,--,--,,,--,--,--,,--,--,--
Dec '21,--,2466.77,,885.08,--,-59.08,--,239.72,79.70,--,--,--,--,--,301.15,1020.20,16.62,1036.82,0.20,1036.62,--,1036.62,129.40,907.22,--,--,907.22,53.09,--,--,,34.17,34.17,,34.17,34.17,,--,--,,,--,--,--,,--,--,--
Mar '22,--,2495.03,,928.43,--,-59.53,--,251.49,80.75,--,--,--,--,--,278.67,1015.22,50.51,1065.73,0.04,1065.69,--,1065.69,182.73,882.96,--,--,882.96,53.09,--,--,,33.26,33.26,,33.26,33.26,,--,--,,,--,--,--,,--,--,--
Jun '22,--,2203.92,,774.31,--,20.36,--,241.54,83.42,--,--,--,--,--,330.13,754.16,89.99,844.15,0.10,844.05,--,844.05,152.44,691.61,--,--,691.61,53.09,--,--,,26.05,26.05,,26.05,26.05,,--,--,,,--,--,--,,--,--,--
Sep '22,--,1823.38,,815.93,--,-144.08,--,226.73,85.48,--,--,--,--,--,315.54,523.78,79.25,603.03,0.13,602.90,--,602.90,116.05,486.85,--,--,486.85,53.09,--,--,,18.34,18.34,,18.34,18.34,,--,--,,,--,--,--,,--,--,--
Dec '22,--,1689.83,,596.60,--,151.15,--,232.84,86.54,--,--,--,--,--,299.82,322.88,116.34,439.22,0.11,439.11,--,439.11,128.21,310.90,--,--,310.90,53.09,--,--,,11.71,11.71,,11.71,11.71,,--,--,,,--,--,--,,--,--,--
