0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,3446.00,,645.30,297.10,0.50,--,502.80,204.10,--,--,--,--,--,839.50,956.70,76.70,1033.40,12.20,1021.20,--,1021.20,-343.90,1365.10,--,--,1365.10,83.10,--,--,,82.36,82.24,,82.36,82.24,,--,--,,,--,--,--,,--,--,--
Dec '19,--,3044.00,,673.00,346.10,-100.10,--,511.20,195.80,--,--,--,--,--,858.10,559.90,69.30,629.20,11.70,617.50,--,617.50,95.80,521.70,--,--,521.70,83.10,--,--,,31.47,31.42,,31.47,31.42,,--,--,,,--,--,--,,--,--,--
Mar '20,13.80,2851.70,,654.30,226.10,67.20,--,516.60,192.30,--,--,--,--,--,866.70,328.50,127.40,455.90,11.80,444.10,--,444.10,-58.70,502.80,--,--,502.80,83.10,--,--,,30.34,30.28,,30.34,30.28,,--,--,,,--,--,--,,--,--,--
Jun '20,7.60,3244.40,,788.20,300.30,-192.90,--,545.00,197.70,--,875.10,--,--,--,--,731.00,644.70,1375.70,14.00,1361.70,--,1361.70,411.50,950.20,--,--,950.20,83.10,--,--,,57.31,57.18,,57.31,57.18,,--,--,,,--,--,--,,--,--,--
Sep '20,12.20,3345.80,,816.50,304.30,-135.80,--,608.00,214.20,--,936.20,--,--,--,--,602.40,26.60,629.00,9.30,619.70,--,619.70,138.70,481.00,--,--,481.00,83.10,--,--,,29.00,28.92,,29.00,28.92,,--,--,,,--,--,--,,--,--,--
Dec '20,--,3408.20,,845.30,321.10,-87.70,--,571.50,212.40,--,--,--,--,--,984.00,561.60,62.80,624.40,6.50,617.90,--,617.90,174.20,443.70,--,--,443.70,83.10,--,--,,26.74,26.66,,26.74,26.66,,--,--,,,--,--,--,,--,--,--
Mar '21,--,3350.70,,816.30,326.60,20.80,--,545.60,210.70,--,1038.50,--,--,--,--,392.20,81.60,473.80,16.90,456.90,--,456.90,145.40,311.50,--,--,311.50,83.20,--,--,,18.78,18.73,,18.78,18.73,,--,--,,,--,--,--,,--,--,--
Jun '21,--,3433.50,,870.70,623.50,-302.50,--,586.50,197.10,--,1093.40,--,--,--,--,364.80,186.20,551.00,6.50,544.50,--,544.50,131.10,413.40,--,--,413.40,83.20,--,--,,24.94,24.87,,24.94,24.87,,--,--,,,--,--,--,,--,--,--
Sep '21,--,3823.40,,673.20,656.20,25.20,--,635.20,206.60,--,1085.30,--,--,--,--,541.70,118.10,659.80,11.10,648.70,--,648.70,199.70,449.00,--,--,449.00,83.20,--,--,,27.07,27.00,,27.07,27.00,,--,--,,,--,--,--,,--,--,--
Dec '21,--,3479.60,,507.80,753.80,-56.60,--,604.00,205.40,--,1056.60,--,--,--,--,408.60,63.00,471.60,7.70,463.90,--,463.90,122.80,341.10,--,--,341.10,83.20,--,--,,20.55,20.51,,20.55,20.51,,--,--,,,--,--,--,,--,--,--
Mar '22,36.80,3668.70,,1014.90,335.40,-55.70,--,608.90,205.20,--,1085.50,--,9.80,--,--,464.70,114.70,579.40,12.70,566.70,--,566.70,147.00,419.70,--,--,419.70,83.20,--,--,,25.29,25.24,,25.29,25.24,,--,--,,,--,--,--,,--,--,--
Jun '22,15.00,3630.60,,804.70,483.60,17.20,--,649.00,221.50,--,1096.60,--,--,--,--,358.00,403.40,761.40,9.80,751.60,--,751.60,252.10,499.50,--,--,499.50,83.20,--,--,,30.10,30.03,,30.10,30.03,,--,--,,,--,--,--,,--,--,--
Sep '22,14.20,4880.30,,636.70,439.10,133.60,--,710.10,226.20,--,1158.00,--,--,--,--,1576.60,118.00,1694.60,1.70,1692.90,--,1692.90,576.60,1116.30,--,--,1116.30,83.20,--,--,,67.25,67.10,,67.25,67.10,,--,--,,,--,--,--,,--,--,--
Dec '22,--,3897.60,,865.90,487.40,-128.10,--,708.40,238.80,--,1287.90,--,1.00,--,--,436.30,51.40,487.70,2.80,484.90,--,484.90,160.30,324.60,--,--,324.60,83.30,--,--,,19.54,19.50,,19.54,19.50,,--,--,,,--,--,--,,--,--,--
Mar '23,304.90,4554.00,,854.10,369.20,106.80,--,765.10,236.70,--,1393.60,--,4.10,--,--,824.40,114.80,939.20,2.60,936.60,--,936.60,264.20,672.40,--,--,672.40,83.30,--,--,,40.49,40.41,,40.49,40.41,,--,--,,,--,--,--,,--,--,--
Jun '23,--,5437.30,,813.90,384.20,-16.30,--,740.20,237.20,--,--,--,--,--,1287.60,1990.50,233.60,2224.10,4.50,2219.60,--,2219.60,580.20,1639.40,--,--,1639.40,83.30,--,--,,98.66,98.45,,98.66,98.45,,--,--,,,--,--,--,,--,--,--
Sep '23,--,4838.70,,751.20,499.20,-105.40,--,783.70,245.80,--,--,--,--,--,1280.90,1383.30,223.10,1606.40,5.80,1600.60,--,1600.60,408.00,1192.60,--,--,1192.60,83.40,--,--,,71.68,71.54,,71.68,71.54,,--,--,,,--,--,--,,--,--,--
Dec '23,--,4103.00,,818.70,556.90,-65.10,--,782.30,246.40,--,--,--,--,--,1353.90,409.90,227.60,637.50,5.60,631.90,--,631.90,156.70,475.20,--,--,475.20,83.40,--,--,,28.55,28.50,,28.55,28.50,,--,--,,,--,--,--,,--,--,--
Mar '24,23.00,5104.80,,907.70,546.30,-52.00,--,779.50,246.20,--,--,--,26.00,--,1518.70,1132.40,212.70,1345.10,5.90,1339.20,--,1339.20,304.40,1034.80,--,--,1034.80,83.40,--,--,,62.14,62.04,,62.14,62.04,,--,--,,,--,--,--,,--,--,--
Jun '24,--,5841.20,,911.10,740.30,-126.10,--,855.90,249.80,--,--,--,--,--,1507.00,1703.20,217.80,1921.00,7.10,1913.90,--,1913.90,496.70,1417.20,--,--,1417.20,83.40,--,--,,85.10,84.97,,85.10,84.97,,--,--,,,--,--,--,,--,--,--
