0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,18.12,2181.86,,1121.80,66.67,1.17,--,178.34,88.97,--,--,--,--,--,267.87,457.04,144.96,602.00,2.73,599.27,--,599.27,28.81,570.46,--,--,570.46,27.29,--,--,,209.05,208.94,,209.05,208.94,,--,--,,,--,--,--,,--,--,--
Dec '19,17.99,2363.53,,1096.37,46.94,149.30,--,177.59,94.23,--,--,--,--,--,298.12,500.98,135.83,636.81,2.72,634.09,--,634.09,145.15,488.94,--,--,488.94,27.30,--,--,,179.11,178.99,,179.11,178.99,,--,--,,,--,--,--,,--,--,--
Mar '20,15.55,2179.50,,1212.93,47.30,-29.25,--,205.12,107.90,--,--,--,--,--,290.15,345.35,146.19,491.54,2.47,489.07,--,489.07,142.89,346.18,--,--,346.18,27.30,--,--,,126.79,126.73,,126.79,126.73,,--,--,,,--,--,--,,--,--,--
Jun '20,5.89,769.21,,329.06,19.03,127.83,--,169.29,97.11,--,--,--,--,--,122.81,-95.92,115.26,19.34,3.00,16.34,--,16.34,4.04,12.30,--,--,12.30,27.30,--,--,,0.45,0.45,,0.45,0.45,,--,--,,,--,--,--,,--,--,--
Sep '20,--,2123.27,,1260.93,54.75,-90.64,--,197.55,103.61,--,--,--,--,--,216.90,380.17,99.81,479.98,1.79,478.19,--,478.19,117.33,360.86,--,--,360.86,27.32,--,--,,13.22,13.22,,13.22,13.22,,--,--,,,--,--,--,,--,--,--
Dec '20,17.00,2804.12,,1672.97,61.42,-77.54,--,222.88,121.88,--,--,--,--,--,266.36,536.15,124.08,660.23,2.19,658.04,--,658.04,169.58,488.46,--,--,488.46,27.32,--,--,,17.88,17.85,,17.88,17.85,,--,--,,,--,--,--,,--,--,--
Mar '21,5.62,2922.44,,1789.61,69.38,-114.41,--,214.23,123.43,--,--,--,--,--,320.12,520.08,112.88,632.96,2.22,630.74,--,630.74,162.66,468.08,--,--,468.08,27.33,--,--,,17.13,17.09,,17.13,17.09,,--,--,,,--,--,--,,--,--,--
Jun '21,--,1907.80,,1139.33,49.66,-55.67,--,212.39,110.47,--,--,--,--,--,227.60,224.02,133.95,357.97,1.89,356.08,--,356.08,88.87,267.21,--,--,267.21,27.34,--,--,,9.78,9.76,,9.78,9.76,,--,--,,,--,--,--,,--,--,--
Sep '21,--,2181.91,,1380.68,59.17,-151.86,--,162.92,108.18,--,--,--,--,--,288.33,334.49,112.27,446.76,1.56,445.20,--,445.20,101.84,343.36,--,--,343.36,27.34,--,--,,12.56,12.54,,12.56,12.54,,--,--,,,--,--,--,,--,--,--
Dec '21,--,2838.46,,1412.78,61.11,235.20,--,190.54,109.50,--,--,--,--,--,357.40,471.93,94.79,566.72,4.90,561.82,--,561.82,139.55,422.27,--,--,422.27,27.34,--,--,,15.44,15.42,,15.44,15.42,,--,--,,,--,--,--,,--,--,--
Mar '22,46.56,3194.69,,1826.65,56.24,-51.43,--,210.98,117.37,--,--,--,--,--,397.28,637.60,113.27,750.87,1.90,748.97,--,748.97,195.59,553.38,--,--,553.38,27.34,--,--,,20.24,20.22,,20.24,20.22,,--,--,,,--,--,--,,--,--,--
