0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,4797.44,,2347.30,68.04,-49.95,785.64,403.86,208.51,--,--,--,--,--,583.22,450.82,286.20,737.02,86.06,650.96,--,650.96,124.47,526.49,--,--,526.49,131.54,--,--,,8.02,8.02,,8.02,8.02,,--,--,,,--,--,--,,--,--,--
Dec '19,--,4498.89,,2196.50,120.07,-15.30,750.92,406.63,212.33,--,--,--,--,--,626.64,201.10,81.27,282.37,67.34,215.03,-10.20,204.83,20.16,184.67,--,--,184.67,131.57,--,--,,2.81,2.81,,2.81,2.81,,--,--,,,--,--,--,,--,--,--
Mar '20,--,4312.50,,2021.93,45.05,44.51,723.07,416.79,222.71,--,--,--,--,--,667.05,171.39,73.29,244.68,72.41,172.27,6.29,178.56,-178.54,357.10,--,--,357.10,131.57,--,--,,5.44,5.44,,5.44,5.44,,--,--,,,--,--,--,,--,--,--
Jun '20,--,1943.62,,853.88,77.07,96.02,400.62,310.63,212.64,--,--,--,--,--,350.36,-357.60,98.66,-258.94,78.43,-337.37,-57.73,-395.10,-126.01,-269.09,--,--,-269.09,131.57,--,--,,-4.10,-4.10,,-4.10,-4.10,,--,--,,,--,--,--,,--,--,--
Sep '20,--,3438.24,,1563.40,66.57,83.60,610.96,309.44,215.26,--,--,--,--,--,406.32,182.69,282.41,465.10,75.73,389.37,--,389.37,29.15,360.22,--,--,360.22,131.59,--,--,,5.49,5.49,,5.49,5.49,,--,--,,,--,--,--,,--,--,--
Dec '20,--,3671.79,,1545.55,21.85,43.02,--,357.78,200.19,--,--,--,--,--,1057.96,445.44,63.77,509.21,50.74,458.47,--,458.47,126.21,332.26,--,27.11,359.37,131.60,--,--,,5.47,5.47,,5.47,5.47,,--,--,,,--,--,--,,--,--,--
Mar '21,--,4394.25,,1804.06,10.89,66.13,623.63,434.56,214.51,--,--,--,--,--,644.09,596.38,69.15,665.53,53.64,611.89,-23.26,588.63,125.59,463.04,--,17.15,480.19,131.62,--,--,,7.31,7.30,,7.31,7.30,,--,--,,,--,--,--,,--,--,--
Jun '21,--,3762.68,,1826.16,24.34,-396.99,--,410.09,201.78,--,--,--,--,--,1158.85,538.45,64.92,603.37,58.11,545.26,--,545.26,99.32,445.94,--,35.65,481.59,131.62,--,--,,7.33,7.32,,7.33,7.32,,--,--,,,--,--,--,,--,--,--
Sep '21,--,4933.03,,2210.08,23.13,109.95,--,432.49,207.48,--,--,--,--,--,1356.20,593.70,702.44,1296.14,55.08,1241.06,--,1241.06,294.17,946.89,--,32.25,979.14,131.64,--,--,,14.91,14.89,,14.91,14.89,,--,--,,,--,--,--,,--,--,--
Dec '21,--,5784.74,,2763.77,53.37,-276.62,--,455.13,221.76,--,--,--,--,--,1866.96,700.37,40.55,740.92,53.44,687.48,--,687.48,198.50,488.98,--,33.49,522.47,131.66,--,--,,7.96,7.95,,7.96,7.95,,--,--,,,--,--,--,,--,--,--
Mar '22,--,6376.39,,2994.47,52.07,25.09,1045.68,476.59,282.94,--,--,--,--,--,1029.91,469.64,87.40,557.04,80.61,476.43,-69.11,407.32,-406.29,813.61,--,254.42,1068.03,131.67,--,--,,16.26,16.24,,16.26,16.24,,--,--,,,--,--,--,,--,--,--
Jun '22,--,7253.04,,3341.34,97.31,-102.19,--,470.14,255.14,--,--,--,--,--,2126.20,1065.10,43.70,1108.80,86.67,1022.13,--,1022.13,213.57,808.56,--,--,808.56,131.67,--,--,,12.31,12.29,,12.31,12.29,,--,--,,,--,--,--,,--,--,--
Sep '22,--,6745.24,,3277.49,92.53,-251.23,--,503.51,266.19,--,--,--,--,--,2166.33,690.42,755.51,1445.93,85.07,1360.86,-88.03,1272.83,308.53,964.30,--,--,964.30,131.68,--,--,,14.68,14.68,,14.68,14.68,,--,--,,,--,--,--,,--,--,--
Dec '22,--,6195.60,,2829.31,43.02,49.63,--,519.35,275.51,--,--,--,--,--,2277.29,201.49,102.71,304.20,89.20,215.00,--,215.00,-42.36,257.36,--,--,257.36,131.69,--,--,,3.93,3.90,,3.93,3.90,,--,--,,,--,--,--,,--,--,--
