0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,--,--,--,--,71.61,13.15,--,33.29,--,--,--,65.04,--,54.86,--,0.50,--,--,--,-0.90,--,--,--,101.00,57.69,2256.47,--,,--,--,,--,--,,6.62,22.96,,,--,--,--,,--,--,--
Sep '03,--,--,,--,--,--,--,88.20,14.20,--,34.65,--,--,--,66.62,--,42.66,--,1.56,--,--,--,1.65,--,--,--,89.60,59.11,2279.40,--,,--,--,,--,--,,6.97,23.58,,,--,--,--,,--,--,--
Dec '03,--,--,,--,--,--,--,87.86,14.08,--,35.19,--,--,--,80.91,--,25.16,--,0.66,--,--,--,5.80,--,--,--,80.91,59.12,2294.50,--,,--,--,,--,--,,6.98,23.60,,,--,--,--,,--,--,--
Mar '04,--,--,,--,--,--,--,91.07,13.89,--,41.37,--,--,--,84.62,--,42.06,--,1.01,--,--,--,0.02,--,--,--,97.48,59.18,2328.95,--,,--,--,,--,--,,7.06,23.85,,,--,--,--,,--,--,--
Jun '04,--,--,,--,--,--,--,95.26,14.73,--,63.69,--,--,--,103.41,--,36.88,--,2.25,--,--,--,6.34,--,--,--,57.71,59.22,2231.96,--,,--,--,,--,--,,7.10,23.96,,,--,--,--,,--,--,--
Sep '04,--,--,,--,--,--,--,114.43,15.35,--,59.26,--,--,--,94.20,--,42.73,--,0.82,--,--,--,4.46,--,--,--,90.75,59.30,2206.44,--,,--,--,,--,--,,7.16,24.14,,,--,--,--,,--,--,--
Dec '04,--,--,,--,--,--,--,118.09,16.44,--,48.75,--,--,--,98.70,--,10.40,--,1.36,--,--,--,2.52,--,--,--,76.54,63.44,2902.57,--,,--,--,,--,--,,9.24,29.12,,,--,--,--,,--,--,--
Mar '05,--,--,,--,--,--,--,126.24,17.47,--,46.60,--,--,--,99.45,--,15.26,--,1.68,--,--,--,2.93,--,--,--,76.76,63.63,--,--,,--,--,,--,--,,9.33,29.33,,,--,--,--,,--,--,--
Jun '05,--,--,,--,--,--,--,132.27,18.30,--,--,--,--,--,186.79,--,21.49,--,1.76,--,--,--,-0.25,--,--,--,85.22,63.84,2796.14,--,,--,--,,--,--,,9.44,29.56,,,--,--,--,,--,--,--
Sep '05,--,--,,--,--,--,--,157.84,18.96,--,57.96,--,--,--,127.15,--,11.97,--,1.42,--,--,--,3.14,--,--,--,89.39,64.00,2885.11,--,,--,--,,--,--,,9.58,29.95,,,--,--,--,,--,--,--
Dec '05,--,--,,--,--,--,--,429.42,50.84,--,164.56,--,--,--,183.96,--,31.71,--,4.00,--,--,--,6.93,--,--,--,277.79,64.33,2435.23,--,,--,--,,--,--,,9.75,30.31,,,--,--,--,,--,--,--
