0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Sep '19,22513.98,5091.69,416.42,144.19,5588.72,,14651.24,2355.07,5050.61,--,11698.08,2700.68,--,8997.40,2652.41,6344.99,--,--,6344.99,547.08,--,--,,--,--,--,,11.60,11.50,,11.60,11.50,,12508.15,3790.95,1.38,0.42,0.50,,--,--,,,--,--,--,,--,--,--,201909
Dec '19,23424.63,5203.14,608.29,133.66,6669.28,,15196.82,2454.96,5441.81,--,12945.41,3043.56,--,9901.85,2485.37,7416.48,--,--,7416.48,547.70,--,--,,--,--,--,,13.50,13.40,,13.50,13.40,,13427.25,4468.35,1.42,0.48,0.55,,--,--,,,--,--,--,,--,--,--,201912
Mar '20,24044.58,5090.70,629.02,120.76,6032.57,,14681.00,2498.26,5779.55,--,12958.82,3784.49,--,9174.33,2246.64,6927.69,--,--,6927.69,548.33,--,--,,--,--,--,,12.60,12.60,,12.60,12.60,,12649.97,3542.36,1.26,0.36,0.49,,--,--,,,--,--,--,,--,--,--,202003
Jun '20,24037.37,5597.64,626.48,116.48,4075.31,,14712.55,2513.44,4398.02,--,12829.27,3891.52,--,8937.75,2279.13,6658.62,--,--,6658.62,549.03,--,--,,--,--,--,,12.10,12.10,,12.10,12.10,,13773.46,3279.96,1.36,0.33,0.44,,--,--,,,--,--,--,,--,--,--,202006
Sep '20,23404.85,5618.39,841.56,112.17,6092.45,,14200.58,2542.38,5512.68,--,13813.78,3703.50,--,10110.28,2597.17,7513.11,--,--,7513.11,550.37,--,--,,--,--,--,,13.70,13.60,,13.70,13.60,,11304.60,1756.08,1.08,0.17,0.48,,--,--,,,--,--,--,,--,--,--,202009
Dec '20,23580.69,5831.91,558.34,108.76,7443.22,,13762.09,2630.12,5944.69,--,15186.02,3414.13,--,11771.89,3013.60,8758.29,--,--,8758.29,550.77,--,--,,--,--,--,,15.90,15.80,,15.90,15.80,,8825.56,1015.99,0.81,0.09,0.55,,--,--,,,--,--,--,,--,--,--,202012
Mar '21,23811.63,6166.33,314.87,130.76,7593.91,,13303.44,2678.85,6502.44,--,15532.77,4693.70,--,10839.07,2652.56,8186.51,--,--,8186.51,551.26,--,--,,--,--,--,,14.90,14.70,,14.90,14.70,,15086.00,4554.82,1.32,0.40,0.50,,--,--,,,--,--,--,,--,--,--,202103
Jun '21,23592.73,6493.14,302.83,94.27,6288.50,,13474.01,2765.58,5394.85,--,15137.03,4830.84,--,10306.19,2576.55,7729.64,--,--,7729.64,552.67,--,--,,--,--,--,,14.00,13.90,,14.00,13.90,,17098.51,5485.80,1.47,0.48,0.45,,--,--,,,--,--,--,,--,--,--,202106
Sep '21,24114.94,6450.64,690.90,96.89,7400.79,,13668.98,2967.05,6310.84,--,15807.29,3924.66,--,11882.63,3048.32,8834.31,--,--,8834.31,553.75,--,--,,--,--,--,,16.00,15.90,,16.00,15.90,,16346.07,4755.09,1.35,0.40,0.50,,--,--,,,--,--,--,,--,--,--,202109
Dec '21,24895.49,6525.82,863.19,183.55,8183.55,,14024.57,3154.42,6696.66,--,16775.95,2993.98,--,13781.97,3439.77,10342.20,--,--,10342.20,554.24,--,--,,--,--,--,,18.70,18.70,,18.70,18.70,,16013.55,4676.77,1.26,0.37,0.56,,--,--,,,--,--,--,,--,--,--,202112
Mar '22,25908.86,6576.53,695.45,267.88,7637.06,,14575.98,3144.64,7008.15,--,16357.01,3312.35,--,13044.66,2989.48,10055.18,--,--,10055.18,554.55,--,--,,--,--,--,,18.10,18.00,,18.10,18.00,,16140.96,4407.68,1.17,0.32,0.52,,--,--,,,--,--,--,,--,--,--,202203
Jun '22,27402.28,7193.57,296.24,279.95,6388.23,,15690.62,3500.24,7001.57,--,15367.84,3187.73,--,12180.11,2984.12,9195.99,--,--,9195.99,555.46,--,--,,--,--,--,,16.60,16.50,,16.60,16.50,,18033.67,4887.73,1.28,0.35,0.46,,--,--,,,--,--,--,,--,--,--,202206
Sep '22,30409.39,7701.93,160.24,314.82,7595.58,,17565.22,3523.83,7700.74,--,17392.17,3240.13,--,14152.04,3546.26,10605.78,--,--,10605.78,557.00,--,--,,--,--,--,,19.07,19.00,,19.07,19.00,,183010.00,4882.67,1.23,0.33,0.51,,--,--,,,--,--,--,,--,--,--,202209
