0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,1275.13,8728.81,,--,--,--,--,430.90,--,--,--,--,5.58,--,8042.25,250.08,69.33,319.41,--,319.41,--,319.41,18.08,301.33,--,7.36,308.69,2017.67,4378.34,--,,1.53,1.53,,1.53,1.53,,--,--,,,--,--,--,,--,--,--
Dec '19,3845.57,11699.87,,--,--,--,--,415.40,--,--,--,--,3.04,--,11002.82,278.61,61.87,340.48,--,340.48,--,340.48,13.37,327.11,--,-76.87,250.24,2018.61,4650.08,--,,1.24,1.24,,1.24,1.24,,--,--,,,--,--,--,,--,--,--
Mar '20,-10143.91,320.55,,--,--,--,--,436.68,--,--,--,--,179.03,--,-61.36,-233.80,202.66,-31.14,--,-31.14,--,-31.14,-27.24,-3.90,--,315.61,311.71,2018.80,4967.50,--,,1.54,1.54,,1.54,1.54,,--,--,,,--,--,--,,--,--,--
Jun '20,8845.55,14567.39,,--,--,--,--,311.97,--,--,--,--,-14.69,--,13952.04,318.07,38.00,356.07,--,356.07,--,356.07,0.11,355.96,--,95.13,451.09,2019.17,5426.28,--,,2.23,2.23,,2.23,2.23,,--,--,,,--,--,--,,--,--,--
Sep '20,6455.90,16501.34,,--,--,--,--,395.24,--,--,--,--,6.70,--,15902.86,196.54,50.51,247.05,--,247.05,--,247.05,0.12,246.93,--,79.16,326.09,2019.46,5760.89,--,,1.61,1.61,,1.61,1.61,,--,--,,,--,--,--,,--,--,--
Dec '20,11736.97,21223.98,,--,--,--,--,437.35,--,--,--,--,-57.31,--,20446.71,397.23,45.55,442.78,--,442.78,--,442.78,43.35,399.43,--,-134.44,264.99,2020.46,6067.25,--,,1.31,1.31,,1.31,1.31,,--,--,,,--,--,--,,--,--,--
Mar '21,6286.72,19154.73,,--,--,--,--,531.03,--,--,--,--,-106.62,--,18747.82,-17.50,307.89,290.39,--,290.39,--,290.39,-174.95,465.34,--,-147.40,317.94,2020.94,6407.37,--,,1.57,1.57,,1.57,1.57,,--,--,,,--,--,--,,--,--,--
Jun '21,7222.89,14761.37,,--,--,--,--,437.56,--,--,--,--,-220.34,--,14407.17,136.98,102.26,239.24,--,239.24,--,239.24,2.57,236.67,--,65.68,302.35,2022.14,6754.50,--,,1.50,1.49,,1.50,1.49,,--,--,,,--,--,--,,--,--,--
Sep '21,9076.80,20520.76,,--,--,--,--,509.66,--,--,--,--,-49.40,--,19968.22,92.28,159.55,251.83,--,251.83,--,251.83,15.74,236.09,--,38.07,274.16,2023.13,6662.40,--,,1.36,1.35,,1.36,1.35,,--,--,,,--,--,--,,--,--,--
Dec '21,2160.89,14285.25,,--,--,--,--,510.23,--,--,--,--,-21.32,--,13617.28,179.06,116.08,295.14,--,295.14,--,295.14,19.75,275.39,--,-1.74,273.65,2024.79,7016.21,--,,1.35,1.35,,1.35,1.35,,--,--,,,--,--,--,,--,--,--
