0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,7570.70,,5378.71,--,-252.97,--,468.88,203.43,--,--,--,--,--,874.96,897.69,207.83,1105.52,7.67,1097.85,-60.11,1037.74,162.94,874.80,--,--,874.80,39.95,--,--,,43.80,43.80,,43.80,43.80,,--,--,,,--,--,--,,--,--,--
Dec '19,--,6996.73,,4756.82,--,-97.02,--,469.73,203.73,--,--,--,--,--,828.23,835.24,182.21,1017.45,5.92,1011.53,--,1011.53,131.12,880.41,--,--,880.41,39.95,--,--,,44.08,44.08,,44.08,44.08,,--,--,,,--,--,--,,--,--,--
Mar '20,--,6238.39,,4059.92,--,260.03,--,435.42,174.70,--,--,--,--,--,823.14,485.18,169.47,654.65,4.06,650.59,--,650.59,29.88,620.71,--,--,620.71,39.95,--,--,,31.08,31.08,,31.08,31.08,,--,--,,,--,--,--,,--,--,--
Jun '20,--,2971.54,,1871.45,--,222.48,--,382.37,170.76,--,--,--,--,--,387.19,-62.71,148.46,85.75,6.26,79.49,--,79.49,18.18,61.31,--,--,61.31,39.95,--,--,,3.07,3.07,,3.07,3.07,,--,--,,,--,--,--,,--,--,--
Sep '20,--,9367.34,,6689.09,--,-29.14,--,511.24,173.15,--,--,--,--,--,909.74,1113.26,141.33,1254.59,4.64,1249.95,--,1249.95,296.50,953.45,--,--,953.45,39.95,--,--,,47.73,47.73,,47.73,47.73,,--,--,,,--,--,--,,--,--,--
Dec '20,--,9775.77,,6983.14,--,-91.96,--,516.67,169.84,--,--,--,--,--,954.29,1243.79,202.68,1446.47,4.65,1441.82,--,1441.82,357.35,1084.47,--,--,1084.47,39.95,--,--,,54.29,54.29,,54.29,54.29,,--,--,,,--,--,--,,--,--,--
Mar '21,--,8685.97,,6331.65,30.46,-244.84,--,488.44,163.12,--,--,--,--,--,869.11,1048.03,87.38,1135.41,6.29,1129.12,--,1129.12,264.15,864.97,--,--,864.97,39.96,--,--,,43.30,43.28,,43.30,43.28,,--,--,,,--,--,--,,--,--,--
Jun '21,--,5487.07,,4134.72,14.42,-169.53,--,435.67,162.98,--,--,--,--,--,556.96,351.85,138.59,490.44,6.09,484.35,--,484.35,118.91,365.44,--,--,365.44,39.96,--,--,,18.29,18.29,,18.29,18.29,,--,--,,,--,--,--,,--,--,--
Sep '21,--,8453.40,,6069.65,13.83,26.88,--,505.44,163.87,--,--,--,--,--,771.24,902.49,156.93,1059.42,6.54,1052.88,--,1052.88,258.48,794.40,--,--,794.40,39.96,--,--,,39.76,39.75,,39.76,39.75,,--,--,,,--,--,--,,--,--,--
Dec '21,--,7883.27,,5545.10,17.07,32.15,--,518.00,164.44,--,--,--,--,--,810.94,795.57,121.63,917.20,6.51,910.69,--,910.69,224.56,686.13,--,--,686.13,39.96,--,--,,34.34,34.33,,34.34,34.33,,--,--,,,--,--,--,,--,--,--
Mar '22,--,7421.73,,4958.60,0.63,183.21,--,476.33,158.46,--,--,--,--,--,975.39,669.11,139.76,808.87,6.66,802.21,--,802.21,175.16,627.05,--,--,627.05,39.96,--,--,,31.38,31.37,,31.38,31.37,,--,--,,,--,--,--,,--,--,--
Jun '22,--,8392.54,,6078.11,13.58,15.69,--,538.18,162.99,--,--,--,--,--,806.20,777.79,52.99,830.78,6.98,823.80,--,823.80,199.28,624.52,--,--,624.52,39.96,--,--,,31.25,31.25,,31.25,31.25,,--,--,,,--,--,--,,--,--,--
Sep '22,--,9075.35,,6516.65,0.99,12.49,--,549.01,163.39,--,--,--,--,--,957.90,874.92,92.05,966.97,3.31,963.66,--,963.66,247.59,716.07,--,--,716.07,39.96,--,--,,35.84,35.79,,35.84,35.79,,--,--,,,--,--,--,,--,--,--
Dec '22,--,8030.98,,5620.45,15.70,-61.83,--,545.58,162.00,--,--,--,--,--,986.94,762.14,183.20,945.34,4.90,940.44,--,940.44,229.38,711.06,--,--,711.06,39.97,--,--,,35.58,35.54,,35.58,35.54,,--,--,,,--,--,--,,--,--,--
Mar '23,--,8306.78,,5804.52,17.16,-175.39,--,557.06,168.58,--,--,--,--,--,1020.43,914.42,236.92,1151.34,4.68,1146.66,--,1146.66,287.73,858.93,--,--,858.93,39.97,--,--,,42.99,42.94,,42.99,42.94,,--,--,,,--,--,--,,--,--,--
Jun '23,--,8767.27,,6035.28,9.76,35.87,--,580.16,168.97,--,--,--,--,--,899.95,1037.28,222.17,1259.45,4.66,1254.79,-159.99,1094.80,270.08,824.72,--,--,824.72,39.97,--,--,,41.27,41.23,,41.27,41.23,,--,--,,,--,--,--,,--,--,--
Sep '23,--,9445.42,,6480.81,5.08,-7.92,--,576.77,174.88,--,--,--,--,--,1062.39,1153.41,248.30,1401.71,4.76,1396.95,--,1396.95,343.14,1053.81,--,--,1053.81,39.97,--,--,,52.72,52.61,,52.72,52.61,,--,--,,,--,--,--,,--,--,--
Dec '23,--,9723.73,,6488.57,2.31,56.16,--,601.67,182.51,--,--,--,--,--,1213.00,1179.51,242.04,1421.55,4.52,1417.03,--,1417.03,343.65,1073.38,--,--,1073.38,39.98,--,--,,53.70,53.60,,53.70,53.60,,--,--,,,--,--,--,,--,--,--
Mar '24,--,9519.30,,6103.25,126.60,95.00,--,643.74,185.05,--,--,--,--,--,1191.56,1174.10,180.04,1354.14,4.56,1349.58,--,1349.58,333.53,1016.05,--,--,1016.05,39.98,--,--,,50.84,50.74,,50.84,50.74,,--,--,,,--,--,--,,--,--,--
Jun '24,--,10143.73,,6618.52,121.55,127.09,--,608.32,193.20,--,--,--,--,--,1208.50,1266.55,231.71,1498.26,4.81,1493.45,--,1493.45,370.82,1122.63,--,--,1122.63,39.99,--,--,,56.15,56.04,,56.15,56.04,,--,--,,,--,--,--,,--,--,--
