0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,9965.00,,5902.00,5.00,-274.00,1904.00,484.00,420.00,--,--,--,--,--,1152.00,372.00,191.00,563.00,428.00,135.00,-31.00,104.00,26.00,78.00,--,--,78.00,222.00,--,--,,0.36,0.36,,0.36,0.36,,--,--,,,--,--,--,,--,--,--
Dec '19,--,10230.00,,5740.00,10.00,37.00,1692.00,493.00,428.00,--,--,--,--,--,1245.00,585.00,139.00,724.00,406.00,318.00,-11.00,307.00,114.00,193.00,--,--,193.00,222.00,--,--,,0.86,0.86,,0.86,0.86,,--,--,,,--,--,--,,--,--,--
Mar '20,--,9992.00,,5241.00,241.00,30.00,1653.00,469.00,442.00,--,--,--,--,--,1217.00,699.00,208.00,907.00,401.00,506.00,--,506.00,180.00,326.00,--,--,326.00,222.00,--,--,,1.47,1.47,,1.47,1.47,,--,--,,,--,--,--,,--,--,--
Jun '20,--,7420.00,,4541.00,189.00,-356.00,1264.00,461.00,425.00,--,--,--,--,--,748.00,148.00,246.00,394.00,425.00,-31.00,-35.00,-66.00,-26.00,-40.00,--,--,-40.00,222.00,--,--,,-0.18,-0.18,,-0.18,-0.18,,--,--,,,--,--,--,,--,--,--
Sep '20,--,9518.00,,6256.00,439.00,-1006.00,1471.00,439.00,427.00,--,--,--,136.00,--,931.00,425.00,166.00,591.00,361.00,230.00,88.00,318.00,120.00,198.00,--,--,198.00,222.00,--,--,,0.89,0.89,,0.89,0.89,,--,--,,,--,--,--,,--,--,--
Dec '20,--,11351.00,,6947.00,429.00,-382.00,1453.00,442.00,414.00,--,--,--,-3.00,--,1283.00,768.00,185.00,953.00,352.00,601.00,-69.00,532.00,192.00,340.00,--,--,340.00,222.00,--,--,,1.53,1.53,,1.53,1.53,,--,--,,,--,--,--,,--,--,--
Mar '21,--,14412.00,,9590.00,41.00,-77.00,1484.00,502.00,442.00,--,--,--,-1.00,--,1386.00,1045.00,53.00,1098.00,331.00,767.00,23.00,790.00,295.00,495.00,--,--,495.00,222.00,--,--,,2.22,2.22,,2.22,2.22,,--,--,,,--,--,--,,--,--,--
Jun '21,--,13298.00,,7637.00,257.00,-245.00,1520.00,488.00,442.00,--,--,--,2.00,--,1543.00,1654.00,101.00,1755.00,347.00,1408.00,--,1408.00,498.00,910.00,--,--,910.00,223.00,--,--,,4.09,4.09,,4.09,4.09,,--,--,,,--,--,--,,--,--,--
Sep '21,--,17290.00,,10790.00,392.00,-430.00,1634.00,510.00,424.00,--,--,--,95.00,--,1261.00,2614.00,163.00,2777.00,343.00,2434.00,--,2434.00,826.00,1608.00,--,--,1608.00,222.00,51880.00,--,,7.23,7.21,,7.23,7.21,,--,--,,,--,--,--,,--,--,--
Dec '21,--,18096.00,,11814.00,306.00,-1016.00,1720.00,525.00,437.00,--,--,--,2.00,--,1945.00,2363.00,102.00,2465.00,371.00,2094.00,--,2094.00,706.00,1388.00,--,--,1388.00,222.00,54071.00,--,,6.24,6.24,,6.24,6.24,,--,--,,,--,--,--,,--,--,--
