0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,144.00,9852.00,,3229.00,1447.00,-191.00,--,430.00,237.00,--,1198.00,--,--,--,1296.00,2206.00,180.00,2386.00,31.00,2355.00,-47.00,2308.00,460.00,1848.00,--,--,1848.00,216.00,--,--,,8.54,8.54,,8.54,8.54,,--,--,,,--,--,--,,--,--,--
Dec '19,112.00,9808.00,,2793.00,1561.00,136.00,--,454.00,232.00,--,1163.00,--,--,--,1256.00,2213.00,140.00,2353.00,25.00,2328.00,-99.00,2229.00,613.00,1616.00,--,--,1616.00,216.00,--,--,,7.47,7.47,,7.47,7.47,,--,--,,,--,--,--,,--,--,--
Mar '20,126.00,9011.00,,2389.00,2001.00,-220.00,--,355.00,255.00,--,1164.00,--,--,--,1257.00,1810.00,266.00,2076.00,26.00,2050.00,-58.00,1992.00,473.00,1519.00,--,--,1519.00,216.00,--,--,,7.02,7.02,,7.02,7.02,,--,--,,,--,--,--,,--,--,--
Jun '20,154.00,10560.00,,3575.00,1686.00,-174.00,--,592.00,242.00,--,797.00,--,--,--,1440.00,2402.00,156.00,2558.00,29.00,2529.00,-118.00,2411.00,530.00,1881.00,--,--,1881.00,235.00,--,--,,8.01,8.01,,8.01,8.01,,--,--,,,--,--,--,,--,--,--
Sep '20,166.00,11442.00,,4107.00,1499.00,-231.00,--,559.00,249.00,--,1139.00,--,--,--,1500.00,2620.00,151.00,2771.00,29.00,2742.00,-81.00,2661.00,652.00,2009.00,--,--,2009.00,235.00,--,--,,8.55,8.55,,8.55,8.55,,--,--,,,--,--,--,,--,--,--
Dec '20,180.00,11862.00,,3420.00,1887.00,152.00,--,556.00,272.00,--,1388.00,--,--,--,1605.00,2582.00,97.00,2679.00,41.00,2638.00,-42.00,2596.00,675.00,1921.00,--,--,1921.00,235.00,--,--,,8.18,8.18,,8.18,8.18,,--,--,,,--,--,--,,--,--,--
Mar '21,185.00,12132.00,,3849.00,2045.00,-138.00,--,522.00,249.00,--,1413.00,--,--,--,1484.00,2708.00,109.00,2817.00,9.00,2808.00,14.00,2822.00,679.00,2143.00,--,--,2143.00,235.00,--,--,,9.12,9.12,,9.12,9.12,,--,--,,,--,--,--,,--,--,--
Jun '21,185.00,11915.00,,3551.00,2223.00,131.00,--,618.00,244.00,--,1024.00,--,--,--,1521.00,2603.00,67.00,2670.00,11.00,2659.00,-26.00,2633.00,572.00,2061.00,--,--,2061.00,235.00,--,--,,8.77,8.77,,8.77,8.77,,--,--,,,--,--,--,,--,--,--
Sep '21,--,12724.00,,4092.00,2229.00,-163.00,--,582.00,265.00,--,1215.00,--,--,--,1637.00,2867.00,113.00,2980.00,26.00,2954.00,--,2954.00,767.00,2187.00,--,--,2187.00,235.00,--,--,,9.31,9.31,,9.31,9.31,,--,--,,,--,--,--,,--,--,--
Dec '21,192.00,13092.00,,3875.00,2333.00,61.00,--,657.00,255.00,--,1189.00,--,--,--,1698.00,3024.00,91.00,3115.00,25.00,3090.00,-66.00,3024.00,781.00,2243.00,--,--,2243.00,235.00,--,--,,9.55,9.55,,9.55,9.55,,--,--,,,--,--,--,,--,--,--
