0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Sep '19,5948.67,1075.37,62.00,64.32,1726.66,,4240.82,515.47,1520.79,--,2599.94,737.71,--,1862.23,478.86,1383.37,--,--,1383.37,692.98,--,--,,--,--,--,,19.97,19.89,,19.97,19.89,,4370.20,2202.57,2.19,1.12,1.95,,--,--,,,--,--,--,,--,--,--,201909
Dec '19,6082.32,1106.41,29.73,66.07,1789.40,,4210.51,550.10,1567.68,--,2745.64,1043.45,--,1702.19,401.99,1300.20,--,--,1300.20,693.07,--,--,,--,--,--,,18.76,18.69,,18.76,18.69,,4578.43,2173.29,2.18,1.05,1.80,,--,--,,,--,--,--,,--,--,--,201912
Mar '20,6223.42,1030.47,51.51,81.17,1772.00,,4155.38,495.69,1671.33,--,2836.17,2440.32,--,395.85,94.01,301.84,--,--,301.84,693.54,--,--,,--,--,--,,4.35,4.34,,4.35,4.34,,5146.74,1886.58,2.45,0.91,0.41,,--,--,,,--,--,--,,--,--,--,202003
Jun '20,6066.00,1001.52,20.80,73.41,1519.19,,3852.54,551.63,1415.42,--,2861.33,2258.88,--,602.45,141.81,460.64,--,--,460.64,693.57,--,--,,--,--,--,,6.64,6.64,,6.64,6.64,,5098.95,1703.37,2.53,0.86,0.62,,--,--,,,--,--,--,,--,--,--,202006
Sep '20,5987.74,952.35,169.64,67.48,1553.84,,3899.22,524.11,1477.19,--,2830.53,1964.44,--,866.09,219.05,647.04,--,--,647.04,756.45,--,--,,--,--,--,,9.07,9.07,,9.07,9.07,,4532.15,1055.81,2.21,0.52,0.83,,--,--,,,--,--,--,,--,--,--,202009
Mar '22,6388.41,1038.37,322.88,110.23,1902.00,,3874.73,658.52,1900.13,--,3328.51,1463.52,--,1864.99,503.62,1361.37,--,--,1361.37,774.66,--,--,,--,--,--,,17.57,17.55,,17.57,17.55,,5517.15,1529.83,2.27,0.64,1.47,,--,--,,,--,--,--,,--,--,--,202203
Jun '22,6720.09,1053.34,347.53,60.81,1928.70,,4056.51,660.37,1999.92,--,3393.67,1250.99,--,2142.68,539.39,1603.29,--,--,1603.29,775.10,--,--,,--,--,--,,20.69,20.67,,20.69,20.67,,5932.90,1661.21,2.35,0.67,1.70,,--,--,,,--,--,--,,--,--,--,202206
Sep '22,7147.76,1128.34,370.56,61.37,2010.82,,4405.98,734.72,2058.49,--,3519.66,1141.06,--,2378.60,591.88,1786.72,--,--,1786.72,775.24,--,--,,--,--,--,,23.05,23.02,,23.05,23.02,,5567.12,1583.95,2.11,0.61,1.78,,--,--,,,--,--,--,,--,--,--,202209
Dec '22,7772.53,1212.82,383.95,88.10,2076.34,,4962.06,799.18,2092.12,--,3680.38,1064.73,--,2615.65,656.45,1959.20,--,--,1959.20,775.42,--,--,,--,--,--,,25.27,25.23,,25.27,25.23,,5710.78,1681.45,2.06,0.62,1.86,,--,--,,,--,--,--,,--,--,--,202212
Mar '23,8304.14,1297.13,340.25,79.19,2150.51,,5351.25,836.25,2230.95,--,3752.77,1030.05,--,2722.72,682.21,2040.51,--,--,2040.51,775.90,--,--,,--,--,--,,26.30,26.27,,26.30,26.27,,5826.27,1714.96,1.98,0.59,1.90,,--,--,,,--,--,--,,--,--,--,202303
