0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,121.31,11871.47,,3408.42,742.32,330.98,--,632.26,395.67,--,--,--,--,--,2195.12,4166.70,654.33,4821.03,13.33,4807.70,--,4807.70,784.60,4023.10,--,--,4023.10,1228.65,--,--,,3.28,3.27,,3.28,3.27,,--,--,,,--,--,--,,--,--,--
Dec '19,100.85,11805.64,,3360.82,743.90,441.77,--,669.11,416.21,--,--,--,--,--,1977.37,4196.46,983.62,5180.08,12.44,5167.64,-132.11,5035.53,893.60,4141.93,--,--,4141.93,1229.11,--,--,,3.37,3.36,,3.37,3.36,,--,--,,,--,--,--,,--,--,--
Mar '20,119.99,10842.28,,3254.23,987.26,-174.43,--,666.53,392.50,--,--,--,--,--,1945.16,3771.03,755.54,4526.57,14.73,4511.84,--,4511.84,714.76,3797.08,--,--,3797.08,1229.22,--,--,,3.09,3.09,,3.09,3.09,,--,--,,,--,--,--,,--,--,--
Jun '20,66.14,8911.32,,3048.44,1676.61,-778.13,--,696.92,398.18,--,--,--,--,--,1620.90,2248.40,896.82,3145.22,16.79,3128.43,--,3128.43,785.67,2342.76,--,--,2342.76,1229.22,--,--,,1.91,1.91,,1.91,1.91,,--,--,,,--,--,--,,--,--,--
Sep '20,84.84,11183.08,,3467.25,1149.93,119.77,--,661.03,382.50,--,--,--,--,--,1724.47,3678.13,609.95,4288.08,13.76,4274.32,--,4274.32,1041.92,3232.40,--,--,3232.40,1230.50,--,--,,2.62,2.62,,2.62,2.62,,--,--,,,--,--,--,,--,--,--
Dec '20,88.77,11787.37,,3312.46,1602.97,97.62,--,720.08,390.92,--,--,--,--,--,1772.89,3890.43,970.99,4861.42,13.78,4847.64,--,4847.64,1184.79,3662.85,--,--,3662.85,1230.51,--,--,,2.98,2.98,,2.98,2.98,,--,--,,,--,--,--,,--,--,--
Mar '21,133.55,13294.66,,3580.40,2424.74,71.02,--,735.56,387.97,--,--,--,--,--,2009.90,4085.07,771.97,4857.04,3.14,4853.90,--,4853.90,1105.49,3748.41,--,--,3748.41,1230.88,--,--,,3.04,3.04,,3.04,3.04,,--,--,,,--,--,--,,--,--,--
Jun '21,74.70,12217.13,,3824.07,2342.68,-380.65,--,734.10,395.48,--,--,--,--,--,1704.77,3596.68,428.99,4025.67,10.32,4015.35,--,4015.35,1001.86,3013.49,--,--,3013.49,1230.88,--,--,,2.45,2.45,,2.45,2.45,,--,--,,,--,--,--,,--,--,--
Sep '21,197.37,12730.97,,3931.76,1927.92,-413.52,--,753.19,401.46,--,--,--,--,--,1916.58,4213.58,676.99,4890.57,10.45,4880.12,--,4880.12,1182.94,3697.18,--,--,3697.18,1232.03,--,--,,3.00,3.00,,3.00,3.00,,--,--,,,--,--,--,,--,--,--
Dec '21,173.03,15862.32,,4124.05,3467.82,128.50,--,765.16,409.29,--,--,--,--,--,2274.69,4692.81,809.91,5502.72,10.69,5492.03,--,5492.03,1335.83,4156.20,--,--,4156.20,1232.26,--,--,,3.37,3.37,,3.37,3.37,,--,--,,,--,--,--,,--,--,--
Mar '22,199.37,15530.85,,4184.62,2996.06,99.21,--,809.54,445.92,--,--,--,--,--,2217.06,4778.44,674.08,5452.52,10.49,5442.03,--,5442.03,1251.07,4190.96,--,--,4190.96,1232.33,--,--,,3.40,3.40,,3.40,3.40,,--,--,,,--,--,--,,--,--,--
