0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,302.00,15520.00,,8347.00,10.00,-6.00,1354.00,330.00,874.00,--,--,--,--,--,2689.00,1922.00,188.00,2110.00,1075.00,1035.00,--,1035.00,-1882.00,2917.00,--,--,2917.00,240.00,--,--,,12.14,12.07,,12.14,12.07,,--,--,,,--,--,--,,--,--,--
Dec '19,318.00,15767.00,,7626.00,91.00,943.00,1307.00,374.00,893.00,--,--,--,--,--,2759.00,1774.00,135.00,1909.00,988.00,921.00,--,921.00,230.00,691.00,--,--,691.00,240.00,--,--,,2.88,2.86,,2.88,2.86,,--,--,,,--,--,--,,--,--,--
Mar '20,257.00,15277.00,,7358.00,70.00,-153.00,1337.00,394.00,929.00,--,--,--,--,--,3051.00,2291.00,146.00,2437.00,954.00,1483.00,-1309.00,174.00,-68.00,242.00,--,--,242.00,240.00,--,--,,1.01,1.00,,1.01,1.00,,--,--,,,--,--,--,,--,--,--
Jun '20,275.00,10293.00,,5715.00,6.00,-227.00,1101.00,354.00,867.00,--,--,--,--,--,1915.00,562.00,154.00,716.00,933.00,-217.00,--,-217.00,-71.00,-146.00,--,--,-146.00,240.00,--,--,,-0.61,-0.61,,-0.61,-0.61,,--,--,,,--,--,--,,--,--,--
Sep '20,310.00,16797.00,,7075.00,45.00,976.00,1231.00,363.00,924.00,--,--,--,--,--,2931.00,3252.00,151.00,3403.00,885.00,2518.00,--,2518.00,826.00,1692.00,--,--,1692.00,240.00,--,--,,7.04,7.00,,7.04,7.00,,--,--,,,--,--,--,,--,--,--
Dec '20,279.00,19239.00,,7555.00,30.00,-1213.00,1290.00,393.00,979.00,--,--,--,--,--,5551.00,4654.00,169.00,4823.00,879.00,3944.00,--,3944.00,1115.00,2829.00,--,--,2829.00,241.00,--,--,,11.77,11.70,,11.77,11.70,,--,--,,,--,--,--,,--,--,--
Mar '21,405.00,24398.00,,8398.00,118.00,408.00,1588.00,391.00,1011.00,--,--,--,--,--,5474.00,7010.00,195.00,7205.00,868.00,6337.00,-386.00,5951.00,1933.00,4018.00,--,--,4018.00,241.00,--,--,,16.70,16.62,,16.70,16.62,,--,--,,,--,--,--,,--,--,--
Jun '21,378.00,25959.00,,9467.00,38.00,-3525.00,1733.00,441.00,998.00,--,--,--,--,--,8314.00,8493.00,200.00,8693.00,843.00,7850.00,--,7850.00,2592.00,5258.00,--,--,5258.00,241.00,--,--,,21.85,21.75,,21.85,21.75,,--,--,,,--,--,--,,--,--,--
Sep '21,--,28000.00,,10843.00,125.00,-83.00,--,454.00,1051.00,--,--,--,--,--,7988.00,7622.00,919.00,8541.00,802.00,7739.00,--,7739.00,2356.00,5383.00,--,--,5383.00,240.00,--,--,,22.36,22.27,,22.36,22.27,,--,--,,,--,--,--,,--,--,--
Dec '21,427.00,28850.00,,14051.00,3.00,-1205.00,2441.00,498.00,1237.00,--,--,--,--,--,6265.00,5560.00,394.00,5954.00,887.00,5067.00,--,5067.00,1643.00,3424.00,--,--,3424.00,241.72,--,--,,14.25,14.17,,14.25,14.17,,--,--,,,--,--,--,,--,--,--
