0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Sep '19,5288.32,1355.79,40.27,77.22,1224.41,,3412.01,915.01,1150.43,--,2508.56,407.93,--,2100.63,376.15,1724.48,--,--,1724.48,955.01,--,--,,--,--,--,,9.03,9.02,,9.03,9.02,,5033.55,1811.40,2.32,0.85,0.55,,--,--,,,--,--,--,,--,--,--,201909
Dec '19,5252.84,1322.96,87.47,72.33,1341.43,,3306.07,1091.52,1291.37,--,2388.07,444.00,--,1944.07,348.17,1595.90,--,--,1595.90,955.52,--,--,,--,--,--,,8.35,8.34,,8.35,8.34,,5413.20,1925.08,2.46,0.89,0.50,,--,--,,,--,--,--,,--,--,--,201912
Mar '20,5282.82,1300.93,154.45,66.48,1489.39,,3245.03,969.59,1354.17,--,2725.28,1047.47,--,1677.81,411.21,1266.60,--,--,1266.60,956.52,--,--,,--,--,--,,6.37,6.36,,6.37,6.36,,5026.89,1557.89,2.25,0.71,0.38,,--,--,,,--,--,--,,--,--,--,202003
Jun '20,4975.75,1489.35,384.16,62.60,773.54,,3188.01,910.88,962.80,--,2623.71,962.01,--,1661.70,417.25,1244.45,--,--,1244.45,989.40,--,--,,--,--,--,,6.43,6.42,,6.43,6.42,,5619.33,1777.10,2.70,0.87,0.34,,--,--,,,--,--,--,,--,--,--,202006
Sep '20,4710.78,1803.90,259.95,61.42,1452.03,,2922.84,990.07,1077.68,--,3297.49,368.59,--,2928.90,744.42,2184.48,--,--,2184.48,989.60,--,--,,--,--,--,,11.04,11.04,,11.04,11.04,,5335.95,1303.78,2.55,0.64,0.59,,--,--,,,--,--,--,,--,--,--,202009
Dec '20,4636.56,1797.09,297.59,59.30,1334.38,,2783.72,959.28,1298.58,--,3083.34,599.03,--,2484.31,630.77,1853.54,--,--,1853.54,990.24,--,--,,--,--,--,,9.36,9.36,,9.36,9.36,,4928.04,1064.02,2.26,0.50,0.49,,--,--,,,--,--,--,,--,--,--,202012
Mar '21,4413.02,1743.07,233.04,59.73,1949.53,,2606.05,868.90,1515.95,--,3407.49,1179.41,--,2228.08,545.71,1682.37,--,--,1682.37,990.92,--,--,,--,--,--,,8.29,8.28,,8.29,8.28,,7425.51,2705.17,3.25,1.21,0.43,,--,--,,,--,--,--,,--,--,--,202103
Jun '21,4581.10,1698.41,139.81,60.46,1583.03,,2538.13,1082.30,1321.32,--,3121.06,934.77,--,2186.29,544.37,1641.92,--,--,1641.92,991.34,--,--,,--,--,--,,8.28,8.28,,8.28,8.28,,7931.77,2792.29,3.56,1.28,0.43,,--,--,,,--,--,--,,--,--,--,202106
Sep '21,4611.52,1721.79,206.98,55.99,1812.59,,2575.72,1177.41,1535.58,--,3120.16,423.99,--,2696.17,664.16,2032.01,--,--,2032.01,991.54,--,--,,--,--,--,,10.25,10.24,,10.25,10.24,,7657.96,2491.44,3.19,1.06,0.52,,--,--,,,--,--,--,,--,--,--,202109
Dec '21,4963.08,1677.51,205.82,50.41,1363.66,,2562.52,1199.84,1797.12,--,2701.00,-131.74,--,2832.74,701.38,2131.36,--,--,2131.36,991.95,--,--,,--,--,--,,10.75,10.74,,10.75,10.74,,6982.80,2003.53,2.71,0.79,0.51,,--,--,,,--,--,--,,--,--,--,202112
Mar '22,5222.99,1591.55,170.81,80.59,1826.32,,2544.54,1122.80,1885.02,--,3339.90,-306.21,--,3646.11,878.71,2767.40,--,--,2767.40,992.33,--,--,,--,--,--,,13.74,13.74,,13.74,13.74,,6469.74,1736.71,2.34,0.64,0.67,,--,--,,,--,--,--,,--,--,--,202203
Jun '22,5656.76,1441.91,192.10,47.72,1243.76,,2641.45,1172.84,1984.70,--,2783.26,23.59,--,2759.67,688.52,2071.15,--,--,2071.15,992.72,--,--,,--,--,--,,10.43,10.43,,10.43,10.43,,6378.57,1749.33,2.24,0.62,0.50,,--,--,,,--,--,--,,--,--,--,202206
Sep '22,6397.58,1486.03,148.71,60.49,1954.19,,2993.40,1414.74,2071.35,--,3567.51,137.00,--,3430.51,849.83,2580.68,--,--,2580.68,992.87,--,--,,--,--,--,,13.00,12.99,,13.00,12.99,,6210.23,1630.37,2.08,0.55,0.59,,--,--,,,--,--,--,,--,--,--,202209
Dec '22,7143.26,1646.37,122.54,86.44,2099.98,,3345.69,1477.76,2425.30,--,3849.84,148.83,--,3701.01,909.13,2791.88,--,--,2791.88,993.04,--,--,,--,--,--,,14.06,14.06,,14.06,14.06,,5994.57,1344.77,1.90,0.43,0.62,,--,--,,,--,--,--,,--,--,--,202212
Mar '23,7780.85,1884.34,86.94,68.81,2186.29,,3718.39,1454.49,2186.98,--,4647.37,147.57,--,4499.80,1004.21,3495.59,--,--,3495.59,993.28,--,--,,--,--,--,,17.39,17.39,,17.39,17.39,,5768.32,1193.30,1.78,0.37,0.74,,--,--,,,--,--,--,,--,--,--,202303
Jun '23,8298.24,2007.40,105.82,88.54,2683.26,,4266.31,1647.00,2320.38,--,4949.57,364.31,--,4585.26,1132.96,3452.30,--,--,3452.30,993.61,--,--,,--,--,--,,17.38,17.38,,17.38,17.38,,5909.24,1301.80,1.77,0.40,0.70,,--,--,,,--,--,--,,--,--,--,202306
Sep '23,8676.30,2148.47,273.55,94.51,2314.53,,4896.19,1634.61,2366.45,--,4610.11,366.55,--,4243.56,1052.59,3190.97,--,--,3190.97,993.75,--,--,,--,--,--,,16.06,16.05,,16.06,16.05,,6087.23,1274.81,1.72,0.37,0.62,,--,--,,,--,--,--,,--,--,--,202309
Dec '23,9209.87,2275.79,239.88,73.48,2297.02,,5245.50,1748.34,2535.99,--,4566.21,579.14,--,3987.07,982.06,3005.01,--,--,3005.01,993.83,--,--,,--,--,--,,15.12,15.12,,15.12,15.12,,6301.67,1225.26,1.73,0.34,0.55,,--,--,,,--,--,--,,--,--,--,202312
Mar '24,9473.58,2466.42,160.13,206.93,2978.29,,5397.71,1826.42,2599.66,--,5461.56,263.73,--,5197.83,1064.53,4133.30,--,--,4133.30,993.96,--,--,,--,--,--,,20.60,20.60,,20.60,20.60,,5274.78,1270.57,1.39,0.34,0.74,,--,--,,,--,--,--,,--,--,--,202403
Jun '24,9779.27,2592.18,271.80,102.86,2929.04,,5903.76,1870.50,2646.78,--,5254.11,578.48,3519.90,8195.53,1945.71,6249.82,--,--,6249.82,993.98,--,--,,--,--,--,,31.44,31.44,,31.44,31.44,,5477.15,1376.33,1.39,0.35,1.05,,--,--,,,--,--,--,,--,--,--,202406
