0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,18751.69,,7376.37,196.20,-70.50,--,1547.70,249.70,--,574.65,--,--,--,7574.22,1303.35,1022.16,2325.51,559.05,1766.46,--,1766.46,-10.19,1776.65,--,206.95,1983.60,280.65,--,--,,14.14,14.12,,14.14,14.12,,--,--,,,--,--,--,,--,--,--
Dec '19,--,19885.85,,1417.55,245.14,-73.43,--,1505.44,244.51,--,768.13,--,--,--,14559.26,1219.25,632.91,1852.16,589.81,1262.35,--,1262.35,205.08,1057.27,--,188.82,1246.09,280.72,--,--,,8.88,8.87,,8.88,8.87,,--,--,,,--,--,--,,--,--,--
Mar '20,--,27252.75,,1411.10,225.38,327.81,--,1425.75,257.05,--,808.79,--,--,--,20430.95,2365.92,801.67,3167.59,563.71,2603.88,--,2603.88,489.64,2114.24,--,140.40,2254.64,280.78,--,--,,16.06,16.04,,16.06,16.04,,--,--,,,--,--,--,,--,--,--
Jun '20,--,8149.99,,804.76,141.11,-144.71,--,1359.83,234.76,--,444.70,--,--,--,4962.69,346.85,698.26,1045.11,708.45,336.66,--,336.66,55.01,281.65,--,24.93,306.58,280.80,--,--,,2.18,2.18,,2.18,2.18,,--,--,,,--,--,--,,--,--,--
Sep '20,--,15791.68,,1331.87,299.99,394.69,--,1402.63,249.42,--,594.81,--,--,--,10536.86,981.41,935.15,1916.56,656.40,1260.16,-2818.65,-1558.49,208.61,-1767.10,--,8483.61,6716.51,280.81,--,--,,47.83,47.83,,47.83,47.83,,--,--,,,--,--,--,,--,--,--
Dec '20,--,19619.81,,1713.07,348.89,297.79,--,1395.76,240.42,--,530.91,--,--,--,13469.58,1623.39,1127.66,2751.05,567.81,2183.24,--,2183.24,478.34,1704.90,--,167.87,1872.77,280.85,--,--,,13.34,13.32,,13.34,13.32,,--,--,,,--,--,--,,--,--,--
Mar '21,--,29754.11,,1844.24,448.12,-205.18,--,1327.16,301.02,--,703.53,--,--,--,22046.34,3288.88,674.37,3963.25,486.89,3476.36,--,3476.36,1009.32,2467.04,--,-25.93,2441.11,280.91,--,--,,17.57,17.55,,17.57,17.55,,--,--,,,--,--,--,,--,--,--
Jun '21,--,13109.00,,1287.44,239.46,-362.83,--,1543.25,260.27,--,645.28,--,--,--,8730.55,765.58,670.49,1436.07,466.92,969.15,--,969.15,219.18,749.97,--,--,749.97,280.92,--,--,,5.34,5.33,,5.34,5.33,,--,--,,,--,--,--,,--,--,--
Sep '21,--,17061.00,,1464.97,251.54,-521.83,--,1567.43,261.25,--,599.70,--,--,--,12296.45,1141.49,1353.77,2495.26,424.21,2071.05,267.29,2338.34,312.90,2025.44,--,--,2025.44,280.93,--,--,,14.42,14.40,,14.42,14.40,,--,--,,,--,--,--,,--,--,--
Dec '21,--,21551.54,,11166.50,319.98,-1242.44,--,1617.18,258.73,--,667.58,--,--,--,7302.26,1461.75,1012.44,2474.19,412.00,2062.19,--,2062.19,391.35,1670.84,--,--,1670.84,280.97,--,--,,11.89,11.88,,11.89,11.88,,--,--,,,--,--,--,,--,--,--
