0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,2406.10,,--,--,--,--,1467.30,50.70,--,--,--,--,--,516.50,371.60,140.30,511.90,17.30,494.60,--,494.60,106.40,388.20,--,--,388.20,17.40,4971.20,--,,22.35,22.12,,22.32,22.12,,--,--,,,--,--,--,,--,--,--
Dec '19,--,2634.50,,--,--,--,--,1549.20,54.30,--,--,--,--,--,593.50,437.50,65.60,503.10,18.50,484.60,--,484.60,118.10,366.50,--,--,366.50,17.40,--,--,,21.05,20.87,,21.05,20.87,,--,--,,,--,--,--,,--,--,--
Mar '20,--,2825.10,,--,--,--,--,1610.70,57.70,--,--,--,--,--,679.50,477.20,72.40,549.60,19.40,530.20,--,530.20,114.30,415.90,--,--,415.90,17.40,5211.40,--,,23.90,23.69,,23.90,23.69,,--,--,,,--,--,--,,--,--,--
Jun '20,--,2764.60,,--,--,--,--,1669.30,60.70,--,--,--,--,--,550.90,483.70,64.90,548.60,18.50,530.10,--,530.10,133.10,397.00,--,--,397.00,17.40,5723.90,--,,22.80,22.63,,22.80,22.63,,--,--,,,--,--,--,,--,--,--
Sep '20,--,2799.40,,--,--,--,--,1630.40,72.00,--,--,--,--,--,544.90,552.10,40.90,593.00,17.60,575.40,--,575.40,145.60,429.80,--,--,429.80,17.50,6065.70,--,,24.64,24.47,,24.64,24.47,,--,--,,,--,--,--,,--,--,--
Dec '20,--,2965.50,,--,--,--,--,1702.30,64.30,--,--,--,--,--,591.80,607.10,73.20,680.30,17.90,662.40,--,662.40,168.20,494.20,--,--,494.20,17.50,6382.20,--,,28.31,28.14,,28.31,28.14,,--,--,,,--,--,--,,--,--,--
Mar '21,--,3033.10,,--,--,--,--,1801.80,69.90,--,--,--,--,--,566.40,595.00,45.70,640.70,17.60,623.10,--,623.10,156.70,466.40,--,--,466.40,17.50,6922.30,--,,26.70,26.55,,26.70,26.55,,--,--,,,--,--,--,,--,--,--
Jun '21,--,3173.40,,--,--,--,--,1956.90,65.10,--,--,--,--,--,634.90,516.50,240.80,757.30,16.40,740.90,--,740.90,165.10,575.80,--,--,575.80,17.50,7461.00,--,,32.95,32.95,,32.95,32.95,,--,--,,,--,--,--,,--,--,--
Sep '21,--,3426.70,,--,--,--,--,2093.40,68.10,--,--,--,--,--,681.00,584.20,108.80,693.00,16.20,676.80,--,676.80,180.00,496.80,--,--,496.80,17.50,7433.80,--,,28.36,28.28,,28.36,28.28,,--,--,,,--,--,--,,--,--,--
Dec '21,--,6586.00,,--,--,--,--,3873.30,134.00,--,--,--,--,--,1342.60,1236.10,166.20,1402.30,30.20,1372.10,--,1372.10,345.30,1026.80,--,--,1026.80,17.50,12835.10,--,,34.75,34.75,,34.75,34.75,,--,--,,,--,--,--,,--,--,--
Mar '22,--,3963.50,,--,--,--,--,2304.70,84.20,--,--,--,--,--,889.90,684.70,139.40,824.10,18.00,806.10,--,806.10,206.90,599.20,--,--,599.20,17.50,8385.40,--,,34.19,34.13,,34.19,34.13,,--,--,,,--,--,--,,--,--,--
Jun '22,--,7337.70,,--,--,--,--,4372.60,151.00,--,--,--,--,--,1514.70,1299.40,155.40,1454.80,29.70,1425.10,--,1425.10,356.80,1068.30,--,--,1068.30,29.60,14576.60,--,,36.14,36.08,,36.14,36.08,,--,--,,,--,--,--,,--,--,--
Sep '22,--,7949.40,,--,--,--,--,4771.10,164.10,--,--,--,--,--,1602.00,1412.20,119.70,1531.90,36.40,1495.50,--,1495.50,366.60,1128.90,--,--,1128.90,17.50,14352.80,--,,38.18,38.18,,38.18,38.18,,--,--,,,--,--,--,,--,--,--
Dec '22,--,8325.90,,--,--,--,--,5096.50,160.90,--,--,--,--,--,1925.00,1143.50,154.10,1297.60,36.40,1261.20,--,1261.20,296.20,965.00,--,--,965.00,29.60,15225.10,--,,32.62,32.58,,32.62,32.58,,--,--,,,--,--,--,,--,--,--
Mar '23,--,8362.50,,--,--,--,--,5187.20,167.90,--,--,--,--,--,1636.30,1371.10,72.00,1443.10,41.60,1401.50,--,1401.50,312.30,1089.20,--,--,1089.20,29.60,15969.50,--,,36.83,36.75,,36.83,36.75,,--,--,,,--,--,--,,--,--,--
Jun '23,--,8378.80,,--,--,--,--,5189.30,170.60,--,--,--,--,--,1618.60,1400.30,135.20,1535.50,43.40,1492.10,--,1492.10,368.70,1123.40,--,--,1123.40,29.60,17501.30,--,,37.97,37.90,,37.97,37.90,,--,--,,,--,--,--,,--,--,--
Sep '23,--,8569.70,,--,--,--,--,5249.90,194.00,--,--,--,--,--,1750.60,1375.20,146.40,1521.60,43.80,1477.80,--,1477.80,344.20,1133.60,--,--,1133.60,29.60,--,--,,38.32,38.23,,38.32,38.23,,--,--,,,--,--,--,,--,--,--
Dec '23,--,8701.00,,--,--,--,--,5215.30,184.20,--,--,--,--,--,1974.40,1327.10,218.10,1545.20,56.50,1488.70,--,1488.70,353.40,1135.30,--,--,1135.30,29.60,--,--,,38.36,38.26,,38.36,38.26,,--,--,,,--,--,--,,--,--,--
Mar '24,--,8603.90,,--,--,--,--,5394.50,211.60,--,--,--,--,--,1723.80,1274.00,210.20,1484.20,63.40,1420.80,--,1420.80,327.20,1093.60,--,--,1093.60,29.60,--,--,,36.95,36.85,,36.95,36.85,,--,--,,,--,--,--,,--,--,--
Jun '24,--,8868.40,,--,--,--,--,5464.10,213.90,--,--,--,--,--,1865.40,1325.00,227.30,1552.30,70.20,1482.10,--,1482.10,375.90,1106.20,--,--,1106.20,29.60,--,--,,37.37,37.30,,37.37,37.30,,--,--,,,--,--,--,,--,--,--
