0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,11076.05,,6091.12,2046.83,-460.87,--,718.78,539.90,--,--,--,--,-51.86,1341.07,851.08,827.74,1678.82,30.23,1648.59,--,1648.59,435.99,1212.60,--,--,1212.60,596.11,--,--,,10.17,10.14,,10.17,10.14,,--,--,,,--,--,--,,--,--,--
Dec '19,--,12345.29,,5633.63,2167.13,848.48,--,759.38,553.73,--,--,--,--,--,1287.15,1095.79,206.25,1302.04,22.41,1279.63,-600.56,679.07,372.52,306.55,--,--,306.55,596.31,--,--,,2.57,2.56,,2.57,2.56,,--,--,,,--,--,--,,--,--,--
Mar '20,--,9143.72,,4689.07,1749.07,-290.98,--,617.80,583.62,--,--,--,--,--,1243.94,551.20,314.71,865.91,33.47,832.44,-2780.47,-1948.03,554.39,-2502.42,--,--,-2502.42,596.52,--,--,,-20.98,-20.98,,-20.98,-20.98,,--,--,,,--,--,--,,--,--,--
Jun '20,--,5602.18,,2112.46,506.12,1169.57,--,678.04,548.39,--,--,--,--,--,586.83,0.77,127.79,128.56,66.87,61.69,64.33,126.02,13.92,112.10,--,--,112.10,596.78,--,--,,0.94,0.94,,0.94,0.94,,--,--,,,--,--,--,,--,--,--
Sep '20,--,11710.46,,6472.04,1840.93,-220.66,--,701.16,554.48,--,--,--,--,-38.24,1065.40,1335.35,392.59,1727.94,109.14,1618.80,-1149.46,469.34,392.15,77.19,--,--,77.19,596.93,--,--,,0.65,0.64,,0.65,0.64,,--,--,,,--,--,--,,--,--,--
Dec '20,--,14215.90,,7725.92,2302.65,14.00,--,756.05,571.39,--,--,--,--,-31.42,1170.90,1706.41,569.94,2276.35,99.71,2176.64,-1691.48,485.16,454.23,30.93,--,--,30.93,597.15,--,--,,0.26,0.26,,0.26,0.26,,--,--,,,--,--,--,,--,--,--
Mar '21,--,13512.44,,8725.47,2167.42,-1202.91,--,723.55,558.73,--,--,--,--,-24.06,1333.65,1230.59,130.99,1361.58,95.16,1266.42,-886.66,379.76,331.32,48.44,--,--,48.44,597.39,--,--,,0.41,0.40,,0.41,0.40,,--,--,,,--,--,--,,--,--,--
Jun '21,--,11762.78,,8799.20,280.50,-887.51,--,885.52,558.60,--,--,--,--,--,1053.41,1073.06,205.21,1278.27,71.42,1206.85,-78.46,1128.39,272.78,855.61,--,--,855.61,597.50,--,--,,7.16,7.13,,7.16,7.13,,--,--,,,--,--,--,,--,--,--
Sep '21,--,13305.37,,10034.71,730.34,-1084.28,--,796.53,580.66,--,--,--,--,--,1168.23,1079.18,1104.81,2183.99,42.49,2141.50,-255.00,1886.50,454.77,1431.73,--,--,1431.73,597.69,--,--,,11.98,11.93,,11.98,11.93,,--,--,,,--,--,--,,--,--,--
Dec '21,--,15238.82,,9590.51,654.74,1147.87,--,879.02,631.24,--,--,--,--,--,1160.86,1174.58,523.34,1697.92,53.25,1644.67,--,1644.67,291.60,1353.07,--,--,1353.07,597.94,--,--,,11.32,11.28,,11.32,11.28,,--,--,,,--,--,--,,--,--,--
