0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,864.90,16985.30,,8371.00,4405.50,-677.10,--,838.40,926.10,--,--,--,--,--,2441.20,680.20,920.00,1600.20,28.20,1572.00,--,1572.00,213.40,1358.60,--,--,1358.60,151.00,--,--,,44.97,44.97,,44.97,44.97,,--,--,,,--,--,--,,--,--,--
Dec '19,1057.70,20706.80,,8410.60,5675.00,927.40,--,867.00,858.00,--,--,--,--,--,2724.70,1244.10,784.00,2028.10,21.70,2006.40,--,2006.40,441.60,1564.80,--,--,1564.80,151.00,--,--,,51.80,51.80,,51.80,51.80,,--,--,,,--,--,--,,--,--,--
Mar '20,1013.00,18198.70,,8313.60,4771.50,-293.70,--,819.40,823.00,--,--,--,--,--,3041.50,723.40,880.40,1603.80,28.30,1575.50,--,1575.50,283.80,1291.70,--,--,1291.70,151.00,--,--,,42.76,42.76,,42.76,42.76,,--,--,,,--,--,--,,--,--,--
Jun '20,429.00,4106.50,,1325.30,928.10,683.00,--,730.30,783.30,--,--,--,--,--,1303.20,-1646.70,1318.30,-328.40,17.30,-345.70,--,-345.70,-96.30,-249.40,--,--,-249.40,151.00,--,--,,-8.26,-8.26,,-8.26,-8.26,,--,--,,,--,--,--,,--,--,--
Sep '20,1055.20,18744.50,,8862.30,4514.40,-262.40,--,826.80,765.90,--,--,--,--,--,2869.80,1167.70,602.50,1770.20,22.40,1747.80,--,1747.80,376.20,1371.60,--,--,1371.60,151.00,--,--,,45.41,45.41,,45.41,45.41,,--,--,,,--,--,--,,--,--,--
Dec '20,1221.10,23457.80,,11043.10,5754.20,218.30,--,945.50,741.30,--,--,--,--,--,3270.60,1484.80,993.70,2478.50,28.70,2449.80,--,2449.80,508.40,1941.40,--,--,1941.40,151.00,--,--,,64.27,64.27,,64.27,64.27,,--,--,,,--,--,--,,--,--,--
Mar '21,1065.10,24023.70,,12066.20,6050.50,-365.80,--,900.30,741.00,--,--,--,--,--,3381.40,1250.10,89.80,1339.90,32.40,1307.50,--,1307.50,141.40,1166.10,--,--,1166.10,151.00,--,--,,38.60,38.60,,38.60,38.60,,--,--,,,--,--,--,,--,--,--
Jun '21,--,17770.70,,8543.20,4938.90,-191.60,--,1064.30,743.20,--,--,--,--,--,2594.80,77.90,507.80,585.70,22.20,563.50,--,563.50,122.70,440.80,--,--,440.80,151.00,--,--,,14.59,14.59,,14.59,14.59,,--,--,,,--,--,--,,--,--,--
Sep '21,1241.10,20538.90,,9215.80,6502.30,-141.10,--,962.20,756.10,--,--,--,--,--,3144.80,98.80,522.70,621.50,22.50,599.00,--,599.00,123.70,475.30,--,--,475.30,151.00,--,--,,15.73,15.73,,15.73,15.73,,--,--,,,--,--,--,,--,--,--
Dec '21,1058.40,23246.00,,10042.50,7078.30,382.30,--,969.90,640.00,--,--,--,--,--,3214.00,919.00,328.00,1247.00,25.20,1221.80,--,1221.80,210.50,1011.30,--,--,1011.30,151.00,--,--,,33.48,33.48,,33.48,33.48,,--,--,,,--,--,--,,--,--,--
Mar '22,1226.00,26740.00,,11937.20,7871.00,-141.50,--,1025.80,647.20,--,--,--,--,--,3620.70,1779.60,474.40,2254.00,56.00,2198.00,--,2198.00,359.10,1838.90,--,--,1838.90,151.00,--,--,,60.87,60.87,,60.87,60.87,,--,--,,,--,--,--,,--,--,--
Jun '22,1213.50,26499.80,,12237.70,7561.50,-29.00,--,1158.40,651.40,--,--,--,--,--,3659.10,1260.70,88.50,1349.20,27.40,1321.80,--,1321.80,309.00,1012.80,--,--,1012.80,151.00,--,--,,33.53,33.53,,33.53,33.53,,--,--,,,--,--,--,,--,--,--
Sep '22,1387.30,29930.80,,13238.10,8796.40,-154.40,--,1132.70,722.60,--,--,--,--,--,4149.10,2046.30,612.50,2658.80,30.50,2628.30,--,2628.30,566.80,2061.50,--,--,2061.50,151.00,--,--,,68.24,68.24,,68.24,68.24,,--,--,,,--,--,--,,--,--,--
Dec '22,1195.10,29044.30,,10212.50,11078.30,-185.00,--,1201.00,710.10,--,--,--,--,--,3904.40,2123.00,860.80,2983.80,29.60,2954.20,--,2954.20,602.90,2351.30,--,--,2351.30,151.00,--,--,,77.84,77.84,,77.84,77.84,,--,--,,,--,--,--,,--,--,--
Mar '23,1226.20,32048.00,,10981.70,12541.00,-35.30,--,1113.00,739.20,--,--,--,--,--,4097.30,2611.10,742.80,3353.90,99.10,3254.80,--,3254.80,631.20,2623.60,--,--,2623.60,151.00,--,--,,86.85,86.85,,86.85,86.85,,--,--,,,--,--,--,,--,--,--
Jun '23,1481.70,32326.90,,10483.10,13148.20,-99.60,--,1460.90,747.50,--,--,--,--,--,4351.30,2235.50,1001.20,3236.70,46.50,3190.20,--,3190.20,705.10,2485.10,--,--,2485.10,151.00,--,--,,82.27,82.27,,82.27,82.27,,--,--,,,--,--,--,,--,--,--
Sep '23,1527.00,37062.10,,12257.10,14727.00,-815.10,--,1312.70,794.10,--,--,--,--,--,4796.20,3990.10,843.60,4833.70,35.10,4798.60,--,4798.60,1082.10,3716.50,--,--,3716.50,151.00,--,--,,123.03,123.03,,123.03,123.03,,--,--,,,--,--,--,,--,--,--
Dec '23,1448.70,33308.70,,11095.00,12524.80,-2.20,--,1338.60,751.70,--,--,--,--,--,4444.60,3156.20,933.00,4089.20,35.40,4053.80,--,4053.80,923.80,3130.00,--,--,3130.00,157.20,--,--,,101.90,101.90,,101.90,101.90,,--,--,,,--,--,--,,--,--,--
Mar '24,1537.40,38234.90,,12104.50,14709.90,474.00,--,1366.20,729.00,--,--,--,--,--,4895.30,3956.00,1118.00,5074.00,76.20,4997.80,--,4997.80,1120.00,3877.80,--,--,3877.80,157.20,--,--,,123.34,123.34,,123.34,123.34,,--,--,,,--,--,--,,--,--,--
Jun '24,1656.10,35531.40,,12124.00,13704.10,-895.20,--,1557.60,731.00,--,--,--,--,--,4538.60,3771.30,975.10,4746.40,57.30,4689.10,--,4689.10,1039.20,3649.90,--,--,3649.90,157.20,--,--,,116.09,116.09,,116.09,116.09,,--,--,,,--,--,--,,--,--,--
