0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,16.50,3215.81,,1254.74,56.79,53.47,--,321.97,78.02,--,--,--,8.08,--,769.33,673.41,56.40,729.81,29.92,699.89,--,699.89,104.48,595.41,--,--,595.41,96.42,--,--,,61.76,61.76,,61.76,61.76,,--,--,,,--,--,--,,--,--,--
Dec '19,18.55,3149.29,,1469.59,56.73,-164.91,--,322.66,79.57,--,--,--,-4.92,--,792.27,598.30,44.70,643.00,28.38,614.62,--,614.62,141.60,473.02,--,--,473.02,96.42,--,--,,49.06,49.06,,49.06,49.06,,--,--,,,--,--,--,,--,--,--
Mar '20,19.49,3325.27,,1483.78,69.65,-100.13,--,358.37,91.35,--,--,--,7.26,--,713.03,701.96,42.85,744.81,40.96,703.85,--,703.85,178.42,525.43,--,--,525.43,96.42,--,--,,54.50,54.50,,54.50,54.50,,--,--,,,--,--,--,,--,--,--
Jun '20,9.03,3050.48,,1194.20,42.08,95.61,--,369.60,92.42,--,--,--,10.87,--,590.56,655.14,37.93,693.07,40.80,652.27,--,652.27,165.67,486.60,--,--,486.60,96.42,--,--,,50.47,50.47,,50.47,50.47,,--,--,,,--,--,--,,--,--,--
Sep '20,16.29,3541.70,,1387.77,31.69,64.80,--,369.68,91.11,--,--,--,15.47,--,788.70,792.48,34.47,826.95,40.45,786.50,--,786.50,199.41,587.09,--,--,587.09,96.42,--,--,,60.89,60.89,,60.89,60.89,,--,--,,,--,--,--,,--,--,--
Dec '20,15.06,3432.58,,1488.49,45.58,-129.61,--,403.30,95.50,--,--,--,-19.63,--,867.41,681.54,30.60,712.14,41.97,670.17,--,670.17,186.86,483.31,--,--,483.31,96.42,--,--,,50.12,50.12,,50.12,50.12,,--,--,,,--,--,--,,--,--,--
Mar '21,--,3610.82,,1513.49,57.18,-73.04,--,368.07,93.62,--,--,--,--,--,815.25,836.25,29.65,865.90,54.04,811.86,--,811.86,209.61,602.25,--,--,602.25,96.42,--,--,,62.46,62.46,,62.46,62.46,,--,--,,,--,--,--,,--,--,--
Jun '21,--,3476.70,,1478.46,51.65,-35.35,--,378.33,95.29,--,--,--,--,--,755.61,752.71,29.47,782.18,51.69,730.49,--,730.49,191.91,538.58,--,--,538.58,96.42,--,--,,55.86,55.86,,55.86,55.86,,--,--,,,--,--,--,,--,--,--
Sep '21,--,3882.57,,1499.26,58.13,162.45,--,388.26,95.53,--,--,--,--,--,826.48,852.46,33.66,886.12,51.88,834.24,--,834.24,216.87,617.37,--,--,617.37,96.42,--,--,,64.04,64.04,,64.04,64.04,,--,--,,,--,--,--,,--,--,--
Dec '21,33.12,3739.32,,1662.89,60.56,-116.76,--,386.64,105.75,--,--,--,-14.38,--,894.69,759.93,27.33,787.26,43.58,743.68,-236.50,507.18,120.52,386.66,--,--,386.66,96.42,--,--,,40.10,40.10,,40.10,40.10,,--,--,,,--,--,--,,--,--,--
Mar '22,--,3980.70,,1845.93,74.09,-144.29,--,396.64,104.28,--,--,--,--,--,883.68,820.37,21.44,841.81,35.57,806.24,--,806.24,211.53,594.71,--,--,594.71,96.42,--,--,,61.68,61.68,,61.68,61.68,,--,--,,,--,--,--,,--,--,--
Jun '22,29.71,4036.57,,1847.41,78.97,-68.05,--,408.36,101.55,--,--,--,--,--,950.39,717.94,19.37,737.31,36.96,700.35,--,700.35,185.01,515.34,--,--,515.34,96.42,2231.80,--,,53.45,53.45,,53.45,53.45,,--,--,,,--,--,--,,--,--,--
