0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,22764.57,,12912.21,--,--,--,1137.15,2123.14,--,--,--,--,--,2369.02,4223.05,893.66,5116.71,1618.99,3497.72,867.75,4365.47,1103.03,3262.44,--,--,3262.44,9894.56,--,--,,3.30,3.30,,3.30,3.30,,--,--,,,--,--,--,,--,--,--
Dec '19,--,23496.35,,593.42,--,--,12466.87,1164.74,2319.81,--,--,--,--,--,2294.93,4656.58,526.27,5182.85,1760.81,3422.04,1598.16,5020.20,2025.06,2995.14,--,--,2995.14,9894.56,--,--,,3.03,3.03,,3.03,3.03,,--,--,,,--,--,--,,--,--,--
Mar '20,--,27246.88,,14988.41,--,--,--,1427.90,2128.95,--,--,--,--,--,3512.81,5188.81,1031.87,6220.68,1836.91,4383.77,1852.32,6236.09,4983.65,1252.44,--,--,1252.44,9894.56,--,--,,1.27,1.27,,1.27,1.27,,--,--,,,--,--,--,,--,--,--
Jun '20,--,23453.46,,11508.18,--,--,--,1287.77,2529.74,--,--,--,--,--,2912.49,5215.28,567.54,5782.82,2082.52,3700.30,0.03,3700.33,1230.17,2470.16,--,--,2470.16,9894.56,--,--,,2.50,2.50,,2.50,2.50,,--,--,,,--,--,--,,--,--,--
Sep '20,--,24677.14,,13038.53,--,--,--,1346.46,2529.42,--,--,--,--,--,3108.75,4653.98,1346.19,6000.17,1772.81,4227.36,-560.43,3666.93,509.01,3157.92,346.88,--,3504.80,9894.56,--,--,,3.54,3.19,,3.54,3.19,,--,--,,,--,--,--,,--,--,--
Dec '20,--,24509.26,,12690.87,--,--,673.87,1286.49,2555.42,--,--,--,--,--,2490.96,4811.65,759.30,5570.95,2009.36,3561.59,922.39,4483.98,1168.64,3315.34,--,--,3315.34,9696.67,--,--,,3.35,2.42,,3.35,2.42,,--,--,,,--,--,--,,--,--,--
Mar '21,--,26566.86,,15612.06,--,--,--,1021.47,2797.22,--,--,--,--,--,3425.52,3710.59,1672.96,5383.55,1594.34,3789.21,-292.42,3496.79,-982.43,4479.22,--,--,4479.22,9696.67,--,--,,4.62,4.62,,4.62,4.62,,--,--,,,--,--,--,,--,--,--
Jun '21,--,26038.51,,14042.49,--,--,--,1257.78,2675.36,--,--,--,--,--,3299.31,4763.57,763.74,5527.31,1988.55,3538.76,787.38,4326.14,1180.51,3145.63,--,--,3145.63,9696.67,--,--,,3.24,3.24,,3.24,3.24,,--,--,,,--,--,--,,--,--,--
Sep '21,--,28329.01,,16644.37,--,--,--,1334.34,2721.50,--,--,--,--,--,3125.95,4502.85,943.99,5446.84,1716.34,3730.50,441.94,4172.44,960.53,3211.91,--,--,3211.91,9696.67,--,--,,3.31,2.86,,3.31,2.86,,--,--,,,--,--,--,,--,--,--
Dec '21,--,28864.79,,15631.96,--,--,--,1326.49,2891.38,--,--,--,--,--,2844.48,6170.48,972.34,7142.82,1733.81,5409.01,-57.06,5351.95,1219.96,4131.99,--,--,4131.99,9696.67,--,--,,4.26,4.26,,4.26,4.26,,--,--,,,--,--,--,,--,--,--
Mar '22,--,32905.02,,17844.86,--,--,--,1370.90,2945.90,--,--,--,--,--,3568.70,7174.66,1225.03,8399.69,1912.21,6487.48,139.80,6627.28,1005.39,5621.89,--,--,5621.89,9696.67,--,--,,5.80,5.80,,5.80,5.80,,--,--,,,--,--,--,,--,--,--
Jun '22,--,38349.79,,24781.97,--,--,--,1295.82,2911.41,--,--,--,--,--,3189.67,6170.92,852.95,7023.87,1933.08,5090.79,-82.98,5007.81,1331.38,3676.43,--,--,3676.43,9696.67,--,--,,3.79,3.79,,3.79,3.79,,--,--,,,--,--,--,,--,--,--
Sep '22,--,41015.14,,26401.89,--,--,--,1207.36,3287.15,--,--,--,--,--,3884.25,6234.49,795.82,7030.31,2737.09,4293.22,812.11,5105.33,1774.13,3331.20,--,--,3331.20,9696.67,--,--,,3.44,3.44,,3.44,3.44,,--,--,,,--,--,--,,--,--,--
Dec '22,--,41410.52,,20996.80,--,--,--,1497.83,3312.12,--,--,--,--,--,5676.70,9927.07,738.34,10665.41,2874.44,7790.97,-1733.49,6057.48,1581.23,4476.25,--,--,4476.25,9696.67,--,--,,4.62,4.62,,4.62,4.62,,--,--,,,--,--,--,,--,--,--
Mar '23,--,41317.86,,--,1013.42,--,23773.12,1524.38,3393.29,--,--,--,--,--,3897.43,7716.22,1721.06,9437.28,2581.66,6855.62,360.23,7215.85,1543.53,5672.32,--,--,5672.32,9696.67,--,--,,5.85,5.85,,5.85,5.85,,--,--,,,--,--,--,,--,--,--
Jun '23,--,39122.25,,--,1012.59,--,22850.27,1357.62,3260.34,--,--,--,--,--,2532.38,8109.05,558.44,8667.49,2514.94,6152.55,-432.40,5720.15,1654.11,4066.04,--,--,4066.04,9696.67,--,--,,4.19,4.19,,4.19,4.19,,--,--,,,--,--,--,,--,--,--
Sep '23,--,40875.32,,--,983.76,--,24577.73,1297.35,3464.18,--,--,--,--,--,3479.00,7073.30,642.55,7715.85,2464.72,5251.13,75.34,5326.47,1441.46,3885.01,--,--,3885.01,9696.67,--,--,,4.01,4.01,,4.01,4.01,,--,--,,,--,--,--,,--,--,--
Dec '23,--,39455.28,,--,911.39,--,22606.72,1380.35,3490.69,--,--,--,--,--,4615.76,6450.37,832.53,7282.90,2783.12,4499.78,1466.41,5966.19,1394.28,4571.91,--,--,4571.91,9696.67,--,--,,4.71,4.71,,4.71,4.71,,--,--,,,--,--,--,,--,--,--
Mar '24,--,42532.18,,24002.77,--,--,--,1634.78,3727.94,--,--,--,--,--,5560.21,7606.48,1688.72,9295.20,2488.04,6807.16,859.45,7666.61,2110.18,5556.43,--,--,5556.43,9696.67,--,--,,5.73,5.73,,5.73,5.73,,--,--,,,--,--,--,,--,--,--
Jun '24,--,44419.22,,--,--,--,26357.36,1376.03,3654.47,--,--,--,--,--,4239.20,8792.16,633.82,9425.98,2648.97,6777.01,-603.14,6173.87,1662.89,4510.98,--,--,4510.98,9696.67,--,--,,4.65,4.65,,4.65,4.65,,--,--,,,--,--,--,,--,--,--
