0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,24492.62,,693.18,--,-3.82,--,633.18,4657.43,--,--,--,--,--,11477.92,7034.73,2685.33,9720.06,681.76,9038.30,--,9038.30,2775.17,6263.13,--,--,6263.13,6290.15,--,--,,4.98,4.98,,4.98,4.98,,--,--,,,--,--,--,,--,--,--
Dec '19,--,23710.05,,668.12,--,-204.74,--,667.38,5358.22,--,--,--,--,--,11998.64,5222.43,1402.50,6624.93,626.36,5998.57,--,5998.57,1846.94,4151.63,--,--,4151.63,6290.15,--,--,,3.30,3.30,,3.30,3.30,,--,--,,,--,--,--,,--,--,--
Mar '20,--,21456.20,,588.17,--,467.79,--,611.54,4998.62,--,--,--,--,--,14239.21,550.87,1325.64,1876.51,869.48,1007.03,-4899.05,-3892.02,-793.76,-3098.26,--,--,-3098.26,6290.15,--,--,,-2.46,-2.46,,-2.46,-2.46,,--,--,,,--,--,--,,--,--,--
Jun '20,--,13011.29,,396.68,--,-111.53,--,498.50,3822.30,--,--,--,--,--,7446.81,958.53,436.82,1395.35,491.84,903.51,--,903.51,407.54,495.97,--,--,495.97,6290.15,--,--,,0.39,0.39,,0.39,0.39,,--,--,,,--,--,--,,--,--,--
Sep '20,--,16917.09,,538.60,--,-132.03,--,616.05,3679.49,--,--,--,--,--,8905.07,3309.91,2235.50,5545.41,317.21,5228.20,-1238.18,3990.02,1112.18,2877.84,--,--,2877.84,6290.15,--,--,,2.29,2.29,,2.29,2.29,,--,--,,,--,--,--,,--,--,--
Dec '20,--,17023.80,,492.96,--,-46.38,--,562.05,4427.02,--,--,--,--,--,9507.58,2080.57,1218.41,3298.98,477.74,2821.24,--,2821.24,1443.01,1378.23,--,--,1378.23,6290.14,--,--,,1.10,1.10,,1.10,1.10,,--,--,,,--,--,--,,--,--,--
Mar '21,--,21188.91,,552.49,--,-136.41,--,630.65,4398.57,--,--,--,--,--,11992.83,3750.78,3132.39,6883.17,568.79,6314.38,2613.21,8927.59,2193.62,6733.97,--,--,6733.97,6290.14,--,--,,5.35,5.35,,5.35,5.35,,--,--,,,--,--,--,,--,--,--
Jun '21,--,23021.64,,729.80,--,-29.44,--,730.17,4165.57,--,--,--,--,--,10589.33,6836.21,533.67,7369.88,619.71,6750.17,--,6750.17,2415.42,4334.75,--,--,4334.75,6290.14,--,--,,3.45,3.45,,3.45,3.45,,--,--,,,--,--,--,,--,--,--
Sep '21,--,24353.61,,787.49,--,-69.85,--,698.13,3942.95,--,--,--,--,--,10410.31,8584.58,3146.53,11731.11,578.75,11152.36,--,11152.36,-7195.37,18347.73,--,--,18347.73,6290.14,--,--,,14.58,14.58,,14.58,14.58,,--,--,,,--,--,--,,--,--,--
Dec '21,--,28472.91,,872.76,--,-43.07,--,694.98,4338.07,--,--,--,--,--,12097.05,10513.12,1491.64,12004.76,581.60,11423.16,--,11423.16,2659.44,8763.72,--,--,8763.72,6290.14,--,--,,6.97,6.97,,6.97,6.97,,--,--,,,--,--,--,,--,--,--
