0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,8684.98,,--,--,--,--,484.62,2748.16,--,--,--,--,--,643.45,4808.75,498.20,5306.95,2376.14,2930.81,--,2930.81,755.54,2175.27,--,351.87,2527.14,5231.59,--,--,,4.83,4.83,,4.83,4.83,,--,--,,,--,--,--,,--,--,--
Dec '19,--,8991.98,,--,--,--,--,479.10,2802.41,--,--,--,--,--,636.64,5073.83,504.92,5578.75,2474.04,3104.71,--,3104.71,793.31,2311.40,--,362.09,2673.49,5231.59,--,--,,5.11,5.11,,5.11,5.11,,--,--,,,--,--,--,,--,--,--
Mar '20,--,9704.47,,--,--,--,--,497.74,2863.56,--,--,--,--,--,1134.58,5208.59,705.05,5913.64,2604.35,3309.29,--,3309.29,1102.37,2206.92,--,975.74,3182.66,5231.59,--,--,,6.09,6.09,,6.09,6.09,,--,--,,,--,--,--,,--,--,--
Jun '20,--,8988.72,,--,--,--,--,486.06,2797.02,--,--,--,--,--,625.49,5080.15,631.41,5711.56,2278.60,3432.96,-1075.00,2357.96,773.11,1584.85,--,394.06,1978.91,5231.59,--,--,,3.78,3.03,,3.78,3.03,,--,--,,,--,--,--,,--,--,--
Sep '20,--,9057.89,,--,--,--,--,489.43,2896.65,--,--,--,--,--,597.41,5074.40,832.25,5906.65,2095.03,3811.62,-11.86,3799.76,682.35,3117.41,--,--,3117.41,5231.59,--,--,,5.96,5.97,,5.96,5.97,,--,--,,,--,--,--,,--,--,--
Dec '20,--,9676.55,,--,--,--,--,483.16,2992.75,--,--,--,--,--,732.86,5467.78,634.80,6102.58,2151.07,3951.51,379.51,4331.02,1007.17,3323.85,--,--,3323.85,5231.59,--,--,,6.35,6.35,,6.35,6.35,,--,--,,,--,--,--,,--,--,--
Mar '21,--,9942.49,,--,--,--,--,652.09,3025.26,--,--,--,--,--,543.21,5721.93,763.00,6484.93,1976.31,4508.62,-366.50,4142.12,626.51,3515.61,--,--,3515.61,5231.59,--,--,,6.72,6.72,,6.72,6.72,,--,--,,,--,--,--,,--,--,--
Jun '21,--,9776.62,,--,--,--,--,518.25,3026.68,--,--,--,--,--,686.01,5545.68,508.76,6054.44,2297.58,3756.86,3169.58,6926.44,1359.03,5567.41,--,--,5567.41,5231.59,--,--,,8.72,8.72,,8.72,8.72,,--,--,,,--,--,--,,--,--,--
Sep '21,--,9929.24,,--,--,--,--,537.92,3143.45,--,--,--,--,--,606.21,5641.66,542.76,6184.42,1959.02,4225.40,-338.11,3887.29,549.02,3338.27,--,--,3338.27,6975.45,--,--,,4.79,4.79,,4.79,4.79,,--,--,,,--,--,--,,--,--,--
Dec '21,--,10001.00,,--,--,--,--,611.05,3192.96,--,--,--,--,--,701.64,5495.35,635.56,6130.91,1851.68,4279.23,-67.38,4211.85,862.41,3349.44,--,--,3349.44,6975.45,--,--,,4.80,4.90,,4.80,4.90,,--,--,,,--,--,--,,--,--,--
